# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,7150005162.3339329
0.0050000,0.0050000,0.0050000,2754689550.5282044
0.0100000,0.0100000,0.0100000,1139447464.7765582
0.0150000,0.0150000,0.0150000,502155953.7513936
0.0200000,0.0200000,0.0200000,234727379.7016908
0.0250000,0.0250000,0.0250000,116268479.8456494
0.0300000,0.0300000,0.0300000,61204051.2141680
0.0350000,0.0350000,0.0350000,34450469.6987779
0.0400000,0.0400000,0.0400000,20884914.8867871
0.0450000,0.0450000,0.0450000,13557505.7496735
0.0500000,0.0500000,0.0500000,9254713.4254859
0.0550000,0.0550000,0.0550000,6667690.1402364
0.0600000,0.0600000,0.0600000,5005902.8294526
0.0650000,0.0650000,0.0650000,3866523.2637078
0.0700000,0.0700000,0.0700000,3039498.0323573
0.0750000,0.0750000,0.0750000,2412307.4825053
0.0800000,0.0800000,0.0800000,1812481.9384734
0.0850000,0.0850000,0.0850000,1360497.9731045
0.0900000,0.0900000,0.0900000,1040117.8231558
0.0950000,0.0950000,0.0950000,809195.8411062
0.1000000,0.1000000,0.1000000,640663.2972508
0.1050000,0.1050000,0.1050000,507964.0910389
0.1100000,0.1100000,0.1100000,382762.6840436
0.1150000,0.1150000,0.1150000,291309.0858460
0.1200000,0.1200000,0.1200000,223732.1888980
0.1250000,0.1250000,0.1250000,173246.0764400
0.1300000,0.1300000,0.1300000,135126.6559718
0.1350000,0.1350000,0.1350000,106051.5134594
0.1400000,0.1400000,0.1400000,83663.3788403
0.1450000,0.1450000,0.1450000,66275.3710357
0.1500000,0.1500000,0.1500000,52669.0156072
0.1550000,0.1550000,0.1550000,41954.7035835
0.1600000,0.1600000,0.1600000,32803.9238958
0.1650000,0.1650000,0.1650000,25672.2371694
0.1700000,0.1700000,0.1700000,20154.3783284
0.1750000,0.1750000,0.1750000,15864.8299911
0.1800000,0.1800000,0.1800000,12516.2224725
0.1850000,0.1850000,0.1850000,9892.6883523
0.1900000,0.1900000,0.1900000,7784.3817827
0.1950000,0.1950000,0.1950000,6036.5871778
0.2000000,0.2000000,0.2000000,4689.2147863
0.2050000,0.2050000,0.2050000,3648.4409332
0.2100000,0.2100000,0.2100000,2842.8563052
0.2150000,0.2150000,0.2150000,2218.0293610
0.2200000,0.2200000,0.2200000,1744.6503403
0.2250000,0.2250000,0.2250000,1366.4527761
0.2300000,0.2300000,0.2300000,1071.3385569
0.2350000,0.2350000,0.2350000,840.6233053
0.2400000,0.2400000,0.2400000,659.9363473
0.2450000,0.2450000,0.2450000,518.2008056
0.2500000,0.2500000,0.2500000,406.8593968
0.2550000,0.2550000,0.2550000,319.2860208
0.2600000,0.2600000,0.2600000,250.3379045
0.2650000,0.2650000,0.2650000,196.0141526
0.2700000,0.2700000,0.2700000,153.1949354
0.2750000,0.2750000,0.2750000,119.4418602
0.2800000,0.2800000,0.2800000,92.8448339
0.2850000,0.2850000,0.2850000,71.9042748
