# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,23748420.3627620,1265814649.8854799,824377443.5612007,4921720727.9240513,87109767.5798541,3472241131.0528569,1265814606.9905107,1265814692.7804492,1492191426.3023584,943744722.4181476,25479990359.8006439,1265814649.8854799,824377443.5612007,4921720727.9240513,87109767.5798541,3472241131.0528569,1265814606.9905107,1265814692.7804492,1492191426.3023584,943744722.4181476,25479990359.8006439
0.0025000,0.0025000,0.0025000,inf,nan,15360818.5543316,778280587.1502432,506861069.4334903,3026148964.4305196,53556047.9530680,2134925661.3612521,778280537.6813473,778280636.6191391,917467355.5154593,580257304.4560596,15666501988.6187115,778280587.1502432,506861069.4334903,3026148964.4305196,53556047.9530680,2134925661.3612521,778280537.6813473,778280636.6191391,917467355.5154593,580257304.4560596,15666501988.6187115
0.0050000,0.0050000,0.0050000,inf,nan,9630294.4761212,487684251.7254902,317604556.6034797,1896284782.1129787,33556478.6906810,1337812763.2177331,487684196.3700921,487684307.0808882,574901119.3963470,363599393.3345726,9817128259.9424667,487684251.7254902,317604556.6034797,1896284782.1129787,33556478.6906810,1337812763.2177331,487684196.3700921,487684307.0808882,574901119.3963470,363599393.3345726,9817128259.9424667
0.0075000,0.0075000,0.0075000,inf,nan,6217412.5136459,311053096.2693943,202570254.4744509,1209525319.6578126,21400471.9850525,853307853.4169695,311053035.6629593,311053156.8758293,366681459.5801878,231909717.6056725,6261734541.1882458,311053096.2693943,202570254.4744509,1209525319.6578126,21400471.9850525,853307853.4169695,311053035.6629593,311053156.8758293,366681459.5801878,231909717.6056725,6261734541.1882458
0.0100000,0.0100000,0.0100000,inf,nan,4130808.6712979,201727530.1871537,131370114.8192896,784454832.0288018,13876693.3989974,553423103.6079282,201727464.9198182,201727595.4544892,237804240.1560562,150400607.2277626,4061120521.9332743,201727530.1871537,131370114.8192896,784454832.0288018,13876693.3989974,553423103.6079282,201727464.9198182,201727595.4544892,237804240.1560562,150400607.2277626,4061120521.9332743
0.0125000,0.0125000,0.0125000,inf,nan,2831607.9039640,132909540.1929051,86551369.8587639,516880704.6032564,9140785.2709703,364651189.2202903,132909470.8148365,132909609.5709738,156678923.2274920,99092451.7483069,2675874740.6687288,132909540.1929051,86551369.8587639,516880704.6032564,9140785.2709703,364651189.2202903,132909470.8148365,132909609.5709738,156678923.2274920,99092451.7483069,2675874740.6687288
0.0150000,0.0150000,0.0150000,inf,nan,2017089.6037000,88903492.3156902,57891913.2568253,345777137.2558026,6112510.4977975,243938740.4645638,88903419.3414260,88903565.2899544,104802886.4366616,66283165.2999638,1790062954.1297035,88903492.3156902,57891913.2568253,345777137.2558026,6112510.4977975,243938740.4645638,88903419.3414260,88903565.2899544,104802886.4366616,66283165.2999638,1790062954.1297035
0.0175000,0.0175000,0.0175000,inf,nan,1488659.4197414,60346850.2361700,39294201.9022745,234741868.8881750,4147505.0718613,165604160.7602552,60346774.1481347,60346926.3242052,71139208.6787052,44992386.0733452,1215228468.1001756,60346850.2361700,39294201.9022745,234741868.8881750,4147505.0718613,165604160.7602552,60346774.1481347,60346926.3242052,71139208.6787052,44992386.0733452,1215228468.1001756
0.0200000,0.0200000,0.0200000,inf,nan,1034961.0604685,41558592.2775876,27058355.3567728,161686646.4561801,2854782.4783964,114064308.0042386,41558513.5289457,41558671.0262294,48990881.1621212,30984553.8101879,837019067.7566472,41558592.2775876,27058355.3567728,161686646.4561801,2854782.4783964,114064308.0042386,41558513.5289457,41558671.0262294,48990881.1621212,30984553.8101879,837019067.7566472
0.0225000,0.0225000,0.0225000,inf,nan,741236.5927890,29035989.3379155,18903150.4287309,112992594.0488309,1993274.5742818,79711138.9828422,29035908.3548873,29036070.3209437,34228750.9061173,21648162.8651766,584929008.7090905,29035989.3379155,18903150.4287309,112992594.0488309,1993274.5742818,79711138.9828422,29035908.3548873,29036070.3209437,34228750.9061173,21648162.8651766,584929008.7090905
0.0250000,0.0250000,0.0250000,inf,nan,551397.5110250,20586713.1014174,13400788.3875574,80135787.0111462,1412099.2817268,56531070.2277496,20586630.2851613,20586795.9176734,24268416.2238608,15348694.0944766,414829410.4500216,20586713.1014174,13400788.3875574,80135787.0111462,1412099.2817268,56531070.2277496,20586630.2851613,20586795.9176734,24268416.2238608,15348694.0944766,414829410.4500216
