# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,10619932.1164557,1412024.8078459,903780.7440546,5717078.2853821,86021.5521453,4023300.5622817,1412112.0171761,1411937.5985157,1664549.6338540,1052753.6242756,29506946.3020013,1412024.8078459,903780.7440546,5717078.2853821,86021.5521453,4023300.5622817,1412112.0171761,1411937.5985157,1664549.6338540,1052753.6242756,29506946.3020013
0.0025000,0.0025000,0.0025000,inf,nan,7054768.1567370,1163143.8440878,744380.7991600,4710957.4549784,70753.6410253,3315209.6301405,1163226.1491712,1163061.5390045,1371159.0965243,867197.1558951,24313689.5510128,1163143.8440878,744380.7991600,4710957.4549784,70753.6410253,3315209.6301405,1163226.1491712,1163061.5390045,1371159.0965243,867197.1558951,24313689.5510128
0.0050000,0.0050000,0.0050000,inf,nan,5079676.6585294,972177.9974655,622081.5132706,3938836.7174017,59045.8170396,2771808.4884951,972255.8640330,972100.1308980,1146041.1465368,724820.0630654,20328304.1026694,972177.9974655,622081.5132706,3938836.7174017,59045.8170396,2771808.4884951,972255.8640330,972100.1308980,1146041.1465368,724820.0630654,20328304.1026694
0.0075000,0.0075000,0.0075000,inf,nan,4121958.6938787,824485.1833403,527501.9977646,3341572.7940138,49996.9666430,2351471.3804002,824559.0361516,824411.3305290,971935.1263671,614705.7474487,17245496.3098370,824485.1833403,527501.9977646,3341572.7940138,49996.9666430,2351471.3804002,824559.0361516,824411.3305290,971935.1263671,614705.7474487,17245496.3098370
0.0100000,0.0100000,0.0100000,inf,nan,3920313.6600182,709584.6495701,453927.3266860,2876832.7733043,42962.0311885,2024403.7997992,709654.8740095,709514.4251307,836485.9187086,529040.1467555,14846745.7359612,709584.6495701,453927.3266860,2876832.7733043,42962.0311885,2024403.7997992,709654.8740095,709514.4251307,836485.9187086,529040.1467555,14846745.7359612
0.0125000,0.0125000,0.0125000,inf,nan,4423042.3953892,619949.9672731,396535.2444870,2514218.4682766,37477.7184832,1769210.9707547,620016.9107402,619883.0238060,730821.0771498,462211.8331702,12975137.5471007,619949.9672731,396535.2444870,2514218.4682766,37477.7184832,1769210.9707547,620016.9107402,619883.0238060,730821.0771498,462211.8331702,12975137.5471007
0.0150000,0.0150000,0.0150000,inf,nan,5768805.9483274,550172.8742187,351860.4596704,2231888.9276083,33211.0354080,1570520.7353083,550236.8473365,550108.9011010,648565.1323182,410188.6058188,11517928.1845577,550172.8742187,351860.4596704,2231888.9276083,33211.0354080,1570520.7353083,550236.8473365,550108.9011010,648565.1323182,410188.6058188,11517928.1845577
0.0175000,0.0175000,0.0175000,inf,nan,7781539.8926584,496382.3284247,317422.4350777,2014213.9788604,29923.5230350,1417332.0852494,496443.6060814,496321.0507680,585154.7497182,370084.3585551,10394433.0771688,496382.3284247,317422.4350777,2014213.9788604,29923.5230350,1417332.0852494,496443.6060814,496321.0507680,585154.7497182,370084.3585551,10394433.0771688
0.0200000,0.0200000,0.0200000,inf,nan,5177602.6146099,455841.3375561,291467.0637770,1850146.0290008,27446.4271991,1301869.2034643,455900.1597966,455782.5153157,537363.4565827,339858.4908285,9547621.8733941,455841.3375561,291467.0637770,1850146.0290008,27446.4271991,1301869.2034643,455900.1597966,455782.5153157,537363.4565827,339858.4908285,9547621.8733941
0.0225000,0.0225000,0.0225000,inf,nan,3566295.9683787,426669.5849390,272788.9271841,1732100.1830479,25663.6038778,1218793.2566074,426726.1577154,426613.0121626,502974.6626550,318109.1078689,8938337.4962282,426669.5849390,272788.9271841,1732100.1830479,25663.6038778,1218793.2566074,426726.1577154,426613.0121626,502974.6626550,318109.1078689,8938337.4962282
0.0250000,0.0250000,0.0250000,inf,nan,2570897.6700919,405986.9975222,259551.9336539,1648334.0764780,24403.7202252,1159845.3468656,406042.1820198,405931.8130247,478593.2260681,302688.9334206,8506014.7405126,405986.9975222,259551.9336539,1648334.0764780,24403.7202252,1159845.3468656,406042.1820198,405931.8130247,478593.2260681,302688.9334206,8506014.7405126
0.0275000,0.0275000,0.0275000,inf,nan,1976037.6136712,387879.2356502,247977.4529856,1574828.7997542,23309.9703309,1108126.9892822,387934.5005025,387823.9707978,457247.0937433,289188.4539443,8126724.9323677,387879.2356502,247977.4529856,1574828.7997542,23309.9703309,1108126.9892822,387934.5005025,387823.9707978,457247.0937433,289188.4539443,8126724.9323677
0.0300000,0.0300000,0.0300000,inf,nan,1661013.7011411,371419.1472712,237437.9770070,1508218.8232862,22304.8774088,1061248.9697171,371472.6809247,371365.6136176,437843.3028664,276916.4190618,7782918.6252412,371419.1472712,237437.9770070,1508218.8232862,22304.8774088,1061248.9697171,371472.6809247,371365.6136176,437843.3028664,276916.4190618,7782918.6252412
0.0325000,0.0325000,0.0325000,inf,nan,1564984.5194517,352044.7382614,225071.4379738,1429375.8159360,21145.4995707,1005785.5857125,352100.1265497,351989.3499730,415003.9977465,262471.5741908,7376177.1706094,352044.7382614,225071.4379738,1429375.8159360,21145.4995707,1005785.5857125,352100.1265497,351989.3499730,415003.9977465,262471.5741908,7376177.1706094
0.0350000,0.0350000,0.0350000,inf,nan,1670362.2928284,332122.2525577,212321.3696590,1348681.6740987,19932.9209782,948999.4727601,332176.1578253,332068.3472901,391518.5985528,247618.1035488,6959709.3273261,332122.2525577,212321.3696590,1348681.6740987,19932.9209782,948999.4727601,332176.1578253,332068.3472901,391518.5985528,247618.1035488,6959709.3273261
0.0375000,0.0375000,0.0375000,inf,nan,1998264.3730909,316020.9451435,202016.4855448,1283466.0023934,18953.2340816,903105.5108832,316073.4526464,315968.4376406,372537.7525989,235613.5625226,6623124.0983857,316020.9451435,202016.4855448,1283466.0023934,18953.2340816,903105.5108832,316073.4526464,315968.4376406,372537.7525989,235613.5625226,6623124.0983857
0.0400000,0.0400000,0.0400000,inf,nan,2614432.0968323,303324.0936693,193889.7669369,1232045.9082304,18180.7967590,866919.2295922,303375.2787063,303272.9086322,357570.2114091,226147.2582961,6357734.2535719,303324.0936693,193889.7669369,1232045.9082304,18180.7967590,866919.2295922,303375.2787063,303272.9086322,357570.2114091,226147.2582961,6357734.2535719
