# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2100000,0.2100000,0.2100000,1324.9237782
0.2350000,0.2350000,0.2350000,356.5290183
0.2600000,0.2600000,0.2600000,93.5314647
0.2850000,0.2850000,0.2850000,17.9066730
0.3100000,0.3100000,0.3100000,-3.1623116
0.3350000,0.3350000,0.3350000,-7.8698952
0.3600000,0.3600000,0.3600000,-8.3378609
0.3850000,0.3850000,0.3850000,-7.2926291
0.4100000,0.4100000,0.4100000,-5.9024618
0.4350000,0.4350000,0.4350000,-5.0001568
0.4600000,0.4600000,0.4600000,-4.4199984
0.4850000,0.4850000,0.4850000,-3.8744216
0.5100000,0.5100000,0.5100000,-3.4610419
0.5350000,0.5350000,0.5350000,-3.1018893
0.5600000,0.5600000,0.5600000,-2.6976094
0.5850000,0.5850000,0.5850000,-2.3106607
0.6100000,0.6100000,0.6100000,-1.9193199
0.6350000,0.6350000,0.6350000,-1.5533264
0.6600000,0.6600000,0.6600000,-1.2329789
0.6850000,0.6850000,0.6850000,-0.9701098
0.7100000,0.7100000,0.7100000,-0.7652856
0.7350000,0.7350000,0.7350000,-0.6082578
0.7600000,0.7600000,0.7600000,-0.4876884
0.7850000,0.7850000,0.7850000,-0.3943988
0.8100000,0.8100000,0.8100000,-0.3215448
0.8350000,0.8350000,0.8350000,-0.2641194
0.8600000,0.8600000,0.8600000,-0.2184559
0.8850000,0.8850000,0.8850000,-0.1818471
0.9100000,0.9100000,0.9100000,-0.1522746
0.9350000,0.9350000,0.9350000,-0.1282177
0.9600000,0.9600000,0.9600000,-0.1085199
0.9850000,0.9850000,0.9850000,-0.0922930
1.0100000,1.0100000,1.0100000,-0.0788495
1.0350000,1.0350000,1.0350000,-0.0676524
1.0600000,1.0600000,1.0600000,-0.0582796
1.0850000,1.0850000,1.0850000,-0.0503970
1.1100000,1.1100000,1.1100000,-0.0437380
1.1350000,1.1350000,1.1350000,-0.0380889
1.1600000,1.1600000,1.1600000,-0.0332776
1.1850000,1.1850000,1.1850000,-0.0291641
1.2100000,1.2100000,1.2100000,-0.0256346
1.2350000,1.2350000,1.2350000,-0.0225957
1.2600000,1.2600000,1.2600000,-0.0199707
1.2850000,1.2850000,1.2850000,-0.0176962
1.3100000,1.3100000,1.3100000,-0.0157194
1.3350000,1.3350000,1.3350000,-0.0139964
1.3600000,1.3600000,1.3600000,-0.0124906
1.3850000,1.3850000,1.3850000,-0.0111710
1.4100000,1.4100000,1.4100000,-0.0100118
1.4350000,1.4350000,1.4350000,-0.0089909
1.4600000,1.4600000,1.4600000,-0.0080899
1.4850000,1.4850000,1.4850000,-0.0072927
1.5100000,1.5100000,1.5100000,-0.0065859
1.5350000,1.5350000,1.5350000,-0.0059580
1.5600000,1.5600000,1.5600000,-0.0053990
1.5850000,1.5850000,1.5850000,-0.0049004
