# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1700000,0.1700000,0.1700000,1754.1503745,-0.6019097,inf,1754.1503745,1124.8528247,inf,107.2061764,inf,inf,inf,inf
0.1725000,0.1725000,0.1725000,1573.5887712,-0.5922538,inf,1573.5887712,1008.3696483,inf,95.9937571,inf,inf,inf,inf
0.1750000,0.1750000,0.1750000,1411.8776177,-0.5827531,inf,1411.8776177,904.0995840,inf,86.0032577,inf,inf,inf,inf
0.1775000,0.1775000,0.1775000,1267.0392656,-0.5734063,inf,1267.0392656,810.7585853,inf,77.1037442,inf,inf,inf,inf
0.1800000,0.1800000,0.1800000,1137.3021015,-0.5642123,1567.6384426,1137.3021015,727.1965356,inf,69.1782500,inf,inf,inf,inf
0.1825000,0.1825000,0.1825000,1021.0796847,-0.5551699,1305.1842459,1021.0796847,652.3836765,inf,62.1223006,inf,inf,inf,inf
0.1850000,0.1850000,0.1850000,916.9518575,-0.5462776,1091.1699206,916.9518575,585.3983187,inf,55.8425824,inf,inf,inf,inf
0.1875000,0.1875000,0.1875000,823.6476687,-0.5375339,915.7193828,823.6476687,525.4157317,inf,50.2557489,inf,inf,inf,inf
0.1900000,0.1900000,0.1900000,740.0299604,-0.5289374,771.1582426,740.0299604,471.6981109,inf,45.2873514,inf,inf,inf,inf
0.1925000,0.1925000,0.1925000,665.0814748,-0.5204863,651.4834641,665.0814748,423.5855297,inf,40.8708853,inf,inf,inf,inf
0.1950000,0.1950000,0.1950000,597.8923457,-0.5121790,551.9696391,597.8923457,380.4877852,inf,36.9469394,1704.7456494,inf,inf,inf
0.1975000,0.1975000,0.1975000,537.6488472,-0.5040136,468.8745544,537.6488472,341.8770597,inf,33.4624382,1535.1863276,inf,inf,inf
0.2000000,0.2000000,0.2000000,483.6232843,-0.4959882,399.2174733,483.6232843,307.2813218,inf,30.3699662,1382.9242637,inf,inf,inf
0.2025000,0.2025000,0.2025000,435.1649117,-0.4881003,340.6110513,435.1649117,276.2784047,1767.6855902,27.6271653,1246.1597361,inf,inf,inf
0.2050000,0.2050000,0.2050000,391.6917837,-0.4803471,291.1330838,391.6917837,248.4907039,1593.2218777,25.1961960,1123.2828206,inf,inf,inf
0.2075000,0.2075000,0.2075000,352.6834414,-0.4727244,249.2278883,352.6834414,223.5804416,1436.4174791,23.0432549,1012.8533237,inf,inf,inf
0.2100000,0.2100000,0.2100000,317.6743555,-0.4652271,213.6285786,317.6743555,201.2454493,1295.4451424,21.1381369,913.5828077,inf,inf,inf
0.2125000,0.2125000,0.2125000,286.2480540,-0.4578478,183.2907759,286.2480540,181.2154204,1168.6699762,19.4538343,824.3184987,inf,inf,inf
0.2150000,0.2150000,0.2150000,258.0318715,-0.4505770,157.3354943,258.0318715,163.2485825,1054.6290338,17.9661605,744.0288870,inf,inf,inf
0.2175000,0.2175000,0.2175000,232.6922656,-0.4434025,135.0196978,232.6922656,147.1287395,952.0130530,16.6533905,671.7908470,inf,inf,inf
0.2200000,0.2200000,0.2200000,209.9306492,-0.4363102,115.7451065,209.9306492,132.6626355,859.6501289,15.4959136,606.7781207,inf,inf,inf
0.2225000,0.2225000,0.2225000,189.4796922,-0.4292841,99.0626058,189.4796922,119.6775914,776.4911201,14.4759028,548.2510236,inf,inf,inf
0.2250000,0.2250000,0.2250000,171.1000437,-0.4223080,84.6323710,171.1000437,108.0193759,701.5966072,13.5770081,495.5472435,inf,inf,inf
0.2275000,0.2275000,0.2275000,154.5774268,-0.4153666,72.1709519,154.5774268,97.5502765,634.1252418,12.7840896,448.0736173,inf,inf,inf
0.2300000,0.2300000,0.2300000,139.7200581,-0.4084475,61.4238733,139.7200581,88.1473476,573.3233382,12.0830046,405.2987804,inf,inf,inf
0.2325000,0.2325000,0.2325000,126.3563438,-0.4015424,52.1605331,126.3563438,79.7008179,518.5155768,11.4604665,366.7465953,inf,inf,inf
0.2350000,0.2350000,0.2350000,114.3328120,-0.3946484,44.1756514,114.3328120,72.1126487,469.0966989,10.9039942,331.9902757,inf,inf,inf
0.2375000,0.2375000,0.2375000,103.5122428,-0.3877678,37.2898681,103.5122428,65.2952336,424.5240868,10.4019687,300.6471339,inf,inf,inf
0.2400000,0.2400000,0.2400000,93.7719720,-0.3809086,31.3484632,93.7719720,59.1702339,384.3111322,9.9437940,272.3738885,inf,inf,inf
0.2425000,0.2425000,0.2425000,85.0023467,-0.3740829,26.2189529,85.0023467,53.6675414,348.0213071,9.5201304,246.8624787,inf,inf,inf
0.2450000,0.2450000,0.2450000,77.1053218,-0.3673058,21.7883011,77.1053218,48.7243610,315.2628625,9.1231329,223.8363380,inf,inf,inf
0.2475000,0.2475000,0.2475000,69.9931900,-0.3605937,17.9601787,69.9931900,44.2843997,285.6840885,8.7466099,203.0470851,inf,inf,inf
0.2500000,0.2500000,0.2500000,63.5874377,-0.3539630,14.6524678,63.5874377,40.2971538,258.9690816,8.3860402,184.2715903,inf,inf,inf
0.2525000,0.2525000,0.2525000,57.8177239,-0.3474291,11.7950767,57.8177239,36.7172811,234.8339706,8.0384343,167.3093782,inf,inf,inf
0.2550000,0.2550000,0.2550000,52.6209716,-0.3410052,9.3280654,52.6209716,33.5040475,213.0235582,7.7020823,151.9803257,inf,inf,inf
0.2575000,0.2575000,0.2575000,47.9405651,-0.3347023,7.2000519,47.9405651,30.6208391,193.3083416,7.3762541,138.1226164,inf,inf,inf
0.2600000,0.2600000,0.2600000,43.7256427,-0.3285286,5.3668532,43.7256427,28.0347287,175.4818722,7.0609068,125.5909125,inf,inf,inf
0.2625000,0.2625000,0.2625000,39.9304738,-0.3224899,3.7903183,39.9304738,25.7160887,159.3584184,6.7564302,114.2547107,inf,inf,inf
0.2650000,0.2650000,0.2650000,36.5139111,-0.3165897,2.4373103,36.5139111,23.6382414,144.7708928,6.4634390,103.9968542,inf,inf,inf
0.2675000,0.2675000,0.2675000,33.4389076,-0.3108297,1.2788135,33.4389076,21.7771380,131.5690073,6.1826156,94.7121779,1834.0255695,inf,inf
0.2700000,0.2700000,0.2700000,30.6720883,-0.3052098,0.2891550,30.6720883,20.1110582,119.6176187,5.9146065,86.3062731,1675.8514702,inf,inf
0.2725000,0.2725000,0.2725000,28.1833699,-0.2997288,-0.5546534,28.1833699,18.6203246,108.7952374,5.6599718,78.6943612,1531.9116521,inf,inf
0.2750000,0.2750000,0.2750000,25.9456192,-0.2943848,-1.2734257,25.9456192,17.2870301,98.9926706,5.4191775,71.8002711,1400.8714585,inf,inf
0.2775000,0.2775000,0.2775000,23.9343410,-0.2891751,-1.8861298,23.9343410,16.0947808,90.1117843,5.1926085,65.5555149,1281.5262858,inf,inf
0.2800000,0.2800000,0.2800000,22.1273906,-0.2840974,-2.4100034,22.1273906,15.0284579,82.0643696,4.9805771,59.8984594,1172.7885484,inf,inf
0.2825000,0.2825000,0.2825000,20.5047013,-0.2791499,-2.8604625,20.5047013,14.0740100,74.7711094,4.7833062,54.7735866,1073.6759038,inf,inf
0.2850000,0.2850000,0.2850000,19.0480264,-0.2743320,-3.2508691,19.0480264,13.2182869,68.1606373,4.6008772,50.1308375,983.3006980,inf,inf
0.2875000,0.2875000,0.2875000,17.7406918,-0.2696446,-3.5922811,17.7406918,12.4489288,62.1686892,4.4331468,45.9250324,900.8605027,inf,inf
0.2900000,0.2900000,0.2900000,16.5673638,-0.2650908,-3.8933256,16.5673638,11.7543251,56.7373422,4.2796549,42.1153583,825.6296283,inf,inf
0.2925000,0.2925000,0.2925000,15.5138380,-0.2606751,-4.1602958,15.5138380,11.1236493,51.8143358,4.1395526,38.6649177,756.9515086,inf,inf
0.2950000,0.2950000,0.2950000,14.5668572,-0.2564026,-4.3974838,14.5668572,10.5469618,47.3524707,4.0115809,35.5403282,694.2318666,inf,inf
0.2975000,0.2975000,0.2975000,13.7139729,-0.2522774,-4.6076685,13.7139729,10.0153553,43.3090775,3.8941141,32.7113689,636.9325779,inf,inf
0.3000000,0.3000000,0.3000000,12.9434637,-0.2482999,-4.7926361,12.9434637,9.5210999,39.6455474,3.7852670,30.1506636,584.5661587,inf,inf
