# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1675000,0.1675000,0.1675000,1679.0205551
0.1925000,0.1925000,0.1925000,564.9005578
0.2175000,0.2175000,0.2175000,194.3115632
0.2425000,0.2425000,0.2425000,69.1670109
0.2675000,0.2675000,0.2675000,26.3800197
0.2925000,0.2925000,0.2925000,12.1089166
0.3175000,0.3175000,0.3175000,6.9549095
0.3425000,0.3425000,0.3425000,4.0013878
0.3675000,0.3675000,0.3675000,2.5367483
0.3925000,0.3925000,0.3925000,1.7826455
0.4175000,0.4175000,0.4175000,1.1845932
0.4425000,0.4425000,0.4425000,0.2212020
0.4675000,0.4675000,0.4675000,-0.8172323
0.4925000,0.4925000,0.4925000,-1.2633196
0.5175000,0.5175000,0.5175000,-1.2702063
0.5425000,0.5425000,0.5425000,-1.0950333
0.5675000,0.5675000,0.5675000,-0.8996173
0.5925000,0.5925000,0.5925000,-0.7785011
0.6175000,0.6175000,0.6175000,-0.6575206
0.6425000,0.6425000,0.6425000,-0.5282243
0.6675000,0.6675000,0.6675000,-0.4148258
0.6925000,0.6925000,0.6925000,-0.3247062
0.7175000,0.7175000,0.7175000,-0.2553941
0.7425000,0.7425000,0.7425000,-0.2024161
0.7675000,0.7675000,0.7675000,-0.1617738
0.7925000,0.7925000,0.7925000,-0.1303678
0.8175000,0.8175000,0.8175000,-0.1058945
0.8425000,0.8425000,0.8425000,-0.0866598
0.8675000,0.8675000,0.8675000,-0.0714164
0.8925000,0.8925000,0.8925000,-0.0592398
0.9175000,0.9175000,0.9175000,-0.0494402
0.9425000,0.9425000,0.9425000,-0.0414980
0.9675000,0.9675000,0.9675000,-0.0350184
0.9925000,0.9925000,0.9925000,-0.0296992
1.0175000,1.0175000,1.0175000,-0.0253071
1.0425000,1.0425000,1.0425000,-0.0216606
1.0675000,1.0675000,1.0675000,-0.0186173
1.0925000,1.0925000,1.0925000,-0.0160652
1.1175000,1.1175000,1.1175000,-0.0139149
1.1425000,1.1425000,1.1425000,-0.0120954
1.1675000,1.1675000,1.1675000,-0.0105494
1.1925000,1.1925000,1.1925000,-0.0092305
1.2175000,1.2175000,1.2175000,-0.0081012
1.2425000,1.2425000,1.2425000,-0.0071308
1.2675000,1.2675000,1.2675000,-0.0062942
1.2925000,1.2925000,1.2925000,-0.0055704
1.3175000,1.3175000,1.3175000,-0.0049425
1.3425000,1.3425000,1.3425000,-0.0043960
1.3675000,1.3675000,1.3675000,-0.0039191
1.3925000,1.3925000,1.3925000,-0.0035017
1.4175000,1.4175000,1.4175000,-0.0031355
1.4425000,1.4425000,1.4425000,-0.0028134
1.4675000,1.4675000,1.4675000,-0.0025295
1.4925000,1.4925000,1.4925000,-0.0022785
1.5175000,1.5175000,1.5175000,-0.0020562
1.5425000,1.5425000,1.5425000,-0.0018590
1.5675000,1.5675000,1.5675000,-0.0016835
1.5925000,1.5925000,1.5925000,-0.0015271
