# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1975000,0.1975000,0.1975000,1672.5420571,-0.0902234,inf,1672.5420571,1029.9354059,inf,79.4515517,inf,inf,inf,inf
0.2000000,0.2000000,0.2000000,1489.4963618,-0.0867971,1652.7354630,1489.4963618,916.3666108,inf,70.7970377,inf,inf,inf,inf
0.2025000,0.2025000,0.2025000,1327.0268042,-0.0835193,1345.2938764,1327.0268042,815.6758488,inf,63.1810589,inf,inf,inf,inf
0.2050000,0.2050000,0.2050000,1182.7407855,-0.0803832,1100.1148834,1182.7407855,726.3536358,inf,56.4810146,inf,inf,inf,inf
0.2075000,0.2075000,0.2075000,1054.5387106,-0.0773827,903.5614733,1054.5387106,647.0765760,inf,50.5869929,inf,inf,inf,inf
0.2100000,0.2100000,0.2100000,940.5753234,-0.0745114,745.2027371,940.5753234,576.6829299,inf,45.4015909,inf,inf,inf,inf
0.2125000,0.2125000,0.2125000,839.2266290,-0.0717637,617.0107121,839.2266290,514.1514296,inf,40.8389800,inf,inf,inf,inf
0.2150000,0.2150000,0.2150000,749.0615462,-0.0691338,512.7702634,749.0615462,458.5831309,inf,36.8237183,inf,inf,inf,inf
0.2175000,0.2175000,0.2175000,668.8175377,-0.0666165,427.6424855,668.8175377,409.1858289,inf,33.2895026,inf,inf,inf,inf
0.2200000,0.2200000,0.2200000,597.3795987,-0.0642065,357.8395395,597.3795987,365.2606367,inf,30.1779428,inf,inf,inf,inf
0.2225000,0.2225000,0.2225000,533.7620876,-0.0618991,300.3809454,533.7620876,326.1903949,inf,27.4374229,1676.0027111,inf,inf,inf
0.2250000,0.2250000,0.2250000,477.0929747,-0.0596894,252.9098099,477.0929747,291.4296348,inf,25.0221380,1500.2440238,inf,inf,inf
0.2275000,0.2275000,0.2275000,426.6001523,-0.0575731,213.5534417,426.6001523,260.4958661,inf,22.8913844,1343.3232645,inf,inf,inf
0.2300000,0.2300000,0.2300000,381.5995087,-0.0555459,180.8170383,381.5995087,232.9619974,1717.1675647,21.0091216,1203.1826138,inf,inf,inf
0.2325000,0.2325000,0.2325000,341.4845175,-0.0536037,153.5021606,341.4845175,208.4497267,1538.2434965,19.3437269,1077.9942096,inf,inf,inf
0.2350000,0.2350000,0.2350000,305.7171314,-0.0517426,130.6438863,305.7171314,186.6237663,1378.3496710,17.8677979,966.1336210,inf,inf,inf
0.2375000,0.2375000,0.2375000,273.8198024,-0.0499589,111.4620929,273.8198024,167.1867876,1235.4254499,16.5578529,866.1565407,inf,inf,inf
0.2400000,0.2400000,0.2400000,245.3684786,-0.0482491,95.3234325,245.3684786,149.8749866,1107.6377242,15.3938426,776.7782732,inf,inf,inf
0.2425000,0.2425000,0.2425000,219.9864475,-0.0466097,81.7114034,219.9864475,134.4541869,993.3551721,14.3584730,696.8556574,inf,inf,inf
0.2450000,0.2450000,0.2450000,197.3389176,-0.0450377,70.2026644,197.3389176,120.7164097,891.1255383,13.4364217,625.3711150,inf,inf,inf
0.2475000,0.2475000,0.2475000,177.1282425,-0.0435299,60.4484117,177.1282425,108.4768483,799.6555607,12.6135790,561.4185581,inf,inf,inf
0.2500000,0.2500000,0.2500000,159.0897058,-0.0420834,52.1600397,159.0897058,97.5711979,717.7932153,11.8764671,504.1909279,inf,inf,inf
0.2525000,0.2525000,0.2525000,142.9877974,-0.0406953,45.0983356,142.9877974,87.8532959,644.5119995,11.2119759,452.9691650,inf,inf,inf
0.2550000,0.2550000,0.2550000,128.6129189,-0.0393631,39.0652721,128.6129189,79.1930367,578.8970086,10.6074996,407.1124392,inf,inf,inf
0.2575000,0.2575000,0.2575000,115.7784645,-0.0380839,33.8973700,115.7784645,71.4745273,520.1325917,10.0514362,366.0494899,inf,inf,inf
0.2600000,0.2600000,0.2600000,104.3182311,-0.0368553,29.4598165,104.3182311,64.5944461,467.4914026,9.5338538,329.2709450,inf,inf,inf
0.2625000,0.2625000,0.2625000,94.0841188,-0.0356746,25.6410049,94.0841188,58.4605648,420.3246812,9.0470212,296.3225046,inf,inf,inf
0.2650000,0.2650000,0.2650000,84.9440836,-0.0345392,22.3476346,84.9440836,52.9904022,378.0536242,8.5855400,266.7988889,inf,inf,inf
0.2675000,0.2675000,0.2675000,76.7803103,-0.0334463,19.5007061,76.7803103,48.1100100,340.1617196,8.1460040,240.3384635,inf,inf,inf
0.2700000,0.2700000,0.2700000,69.4875663,-0.0323930,17.0326290,69.4875663,43.7529365,306.1879341,7.7263181,216.6184624,inf,inf,inf
0.2725000,0.2725000,0.2725000,62.9717013,-0.0313763,14.8854047,62.9717013,39.8594380,275.7206578,7.3248993,195.3507427,inf,inf,inf
0.2750000,0.2750000,0.2750000,57.1482772,-0.0303932,13.0096197,57.1482772,36.3759781,248.3923191,6.9399344,176.2780097,inf,inf,inf
0.2775000,0.2775000,0.2775000,51.9413507,-0.0294407,11.3638457,51.9413507,33.2549749,223.8745953,6.5688258,159.1704592,inf,inf,inf
0.2800000,0.2800000,0.2800000,47.2824683,-0.0285159,9.9140196,47.2824683,30.4546619,201.8741509,6.2079813,143.8227895,inf,inf,inf
0.2825000,0.2825000,0.2825000,43.1099398,-0.0276167,8.6324769,43.1099398,27.9388881,182.1288463,5.8531210,130.0515406,inf,inf,inf
0.2850000,0.2850000,0.2850000,39.3684080,-0.0267415,7.4965451,39.3684080,25.6767185,164.4043619,5.5001256,117.6927221,inf,inf,inf
0.2875000,0.2875000,0.2875000,36.0086448,-0.0258897,6.4868998,36.0086448,23.6417944,148.4911931,5.1461489,106.5996892,inf,inf,inf
0.2900000,0.2900000,0.2900000,32.9874227,-0.0250613,5.5860840,32.9874227,21.8115149,134.2019721,4.7905008,96.6412279,inf,inf,inf
0.2925000,0.2925000,0.2925000,30.2672909,-0.0242570,4.7775597,30.2672909,20.1661592,121.3690789,4.4348792,87.6998074,inf,inf,inf
0.2950000,0.2950000,0.2950000,27.8161352,-0.0234780,4.0454525,27.8161352,18.6880616,109.8424986,4.0828746,79.6699713,inf,inf,inf
0.2975000,0.2975000,0.2975000,25.6065042,-0.0227249,3.3749024,25.6065042,17.3609201,99.4878854,3.7390282,72.4568627,1711.2000148,inf,inf
0.3000000,0.3000000,0.3000000,23.6147768,-0.0219984,2.7527800,23.6147768,16.1692784,90.1847916,3.4078505,65.9749197,1553.0235076,inf,inf
0.3025000,0.3025000,0.3025000,21.8202911,-0.0212980,2.1684600,21.8202911,15.0981988,81.8250370,3.0931113,60.1467978,1410.0505796,inf,inf
