# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1950000,0.1950000,0.1950000,1549.9489967
0.2200000,0.2200000,0.2200000,486.3067321
0.2450000,0.2450000,0.2450000,158.0841475
0.2700000,0.2700000,0.2700000,54.8087972
0.2950000,0.2950000,0.2950000,21.7127580
0.3200000,0.3200000,0.3200000,10.4816112
0.3450000,0.3450000,0.3450000,5.4354172
0.3700000,0.3700000,0.3700000,1.9145880
0.3950000,0.3950000,0.3950000,0.0958014
0.4200000,0.4200000,0.4200000,-0.6627211
0.4450000,0.4450000,0.4450000,-1.1073324
0.4700000,0.4700000,0.4700000,-1.1586140
0.4950000,0.4950000,0.4950000,-0.9970174
0.5200000,0.5200000,0.5200000,-0.7889581
0.5450000,0.5450000,0.5450000,-0.6063400
0.5700000,0.5700000,0.5700000,-0.4631660
0.5950000,0.5950000,0.5950000,-0.3549660
0.6200000,0.6200000,0.6200000,-0.2739741
0.6450000,0.6450000,0.6450000,-0.2132666
0.6700000,0.6700000,0.6700000,-0.1674900
0.6950000,0.6950000,0.6950000,-0.1326968
0.7200000,0.7200000,0.7200000,-0.1060219
0.7450000,0.7450000,0.7450000,-0.0853909
0.7700000,0.7700000,0.7700000,-0.0692968
0.7950000,0.7950000,0.7950000,-0.0566377
0.8200000,0.8200000,0.8200000,-0.0466017
0.8450000,0.8450000,0.8450000,-0.0385857
0.8700000,0.8700000,0.8700000,-0.0321377
0.8950000,0.8950000,0.8950000,-0.0269162
0.9200000,0.9200000,0.9200000,-0.0226613
0.9450000,0.9450000,0.9450000,-0.0191734
0.9700000,0.9700000,0.9700000,-0.0162980
0.9950000,0.9950000,0.9950000,-0.0139149
1.0200000,1.0200000,1.0200000,-0.0119299
1.0450000,1.0450000,1.0450000,-0.0102686
1.0700000,1.0700000,1.0700000,-0.0088718
1.0950000,1.0950000,1.0950000,-0.0076924
1.1200000,1.1200000,1.1200000,-0.0066925
1.1450000,1.1450000,1.1450000,-0.0058414
1.1700000,1.1700000,1.1700000,-0.0051143
1.1950000,1.1950000,1.1950000,-0.0044909
1.2200000,1.2200000,1.2200000,-0.0039546
1.2450000,1.2450000,1.2450000,-0.0034918
1.2700000,1.2700000,1.2700000,-0.0030911
1.2950000,1.2950000,1.2950000,-0.0027431
1.3200000,1.3200000,1.3200000,-0.0024402
1.3450000,1.3450000,1.3450000,-0.0021756
1.3700000,1.3700000,1.3700000,-0.0019440
1.3950000,1.3950000,1.3950000,-0.0017407
1.4200000,1.4200000,1.4200000,-0.0015618
1.4450000,1.4450000,1.4450000,-0.0014040
1.4700000,1.4700000,1.4700000,-0.0012646
1.4950000,1.4950000,1.4950000,-0.0011411
1.5200000,1.5200000,1.5200000,-0.0010315
1.5450000,1.5450000,1.5450000,-0.0009339
1.5700000,1.5700000,1.5700000,-0.0008470
1.5950000,1.5950000,1.5950000,-0.0007694
