# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,9426416525.0080833
0.0050000,0.0050000,0.0050000,3556081007.0165725
0.0100000,0.0100000,0.0100000,1443233328.2536914
0.0150000,0.0150000,0.0150000,624476254.4339157
0.0200000,0.0200000,0.0200000,286240154.7320559
0.0250000,0.0250000,0.0250000,138466467.7339253
0.0300000,0.0300000,0.0300000,70619102.8037754
0.0350000,0.0350000,0.0350000,38037774.2747260
0.0400000,0.0400000,0.0400000,21721013.5999748
0.0450000,0.0450000,0.0450000,13205027.5412621
0.0500000,0.0500000,0.0500000,8563459.9768067
0.0550000,0.0550000,0.0550000,5908566.4558871
0.0600000,0.0600000,0.0600000,4304131.0863682
0.0650000,0.0650000,0.0650000,3254799.5426258
0.0700000,0.0700000,0.0700000,2438323.6514963
0.0750000,0.0750000,0.0750000,1874705.1085346
0.0800000,0.0800000,0.0800000,1468429.5424122
0.0850000,0.0850000,0.0850000,1165099.4304022
0.0900000,0.0900000,0.0900000,932614.6711973
0.0950000,0.0950000,0.0950000,732336.7277822
0.1000000,0.1000000,0.1000000,582903.3070522
0.1050000,0.1050000,0.1050000,472583.4530214
0.1100000,0.1100000,0.1100000,389988.3869125
0.1150000,0.1150000,0.1150000,327260.7899077
0.1200000,0.1200000,0.1200000,271142.5716926
0.1250000,0.1250000,0.1250000,223749.7701735
0.1300000,0.1300000,0.1300000,185322.6481817
0.1350000,0.1350000,0.1350000,152610.3656115
0.1400000,0.1400000,0.1400000,122806.9062572
0.1450000,0.1450000,0.1450000,99950.7017859
0.1500000,0.1500000,0.1500000,82048.4056772
0.1550000,0.1550000,0.1550000,67654.9111232
0.1600000,0.1600000,0.1600000,51991.4847496
0.1650000,0.1650000,0.1650000,40159.7485761
0.1700000,0.1700000,0.1700000,31150.9249710
0.1750000,0.1750000,0.1750000,24246.2446892
0.1800000,0.1800000,0.1800000,18925.6362022
0.1850000,0.1850000,0.1850000,14807.5327906
0.1900000,0.1900000,0.1900000,11608.5590444
0.1950000,0.1950000,0.1950000,9116.0675665
0.2000000,0.2000000,0.2000000,7169.0979072
0.2050000,0.2050000,0.2050000,5644.9432674
0.2100000,0.2100000,0.2100000,4449.5159239
0.2150000,0.2150000,0.2150000,3510.3326685
0.2200000,0.2200000,0.2200000,2771.3400183
0.2250000,0.2250000,0.2250000,2189.0535762
0.2300000,0.2300000,0.2300000,1741.8957458
0.2350000,0.2350000,0.2350000,1379.0102208
0.2400000,0.2400000,0.2400000,1092.0473653
0.2450000,0.2450000,0.2450000,864.8926578
0.2500000,0.2500000,0.2500000,684.9165622
0.2550000,0.2550000,0.2550000,542.2057374
0.2600000,0.2600000,0.2600000,428.9675027
0.2650000,0.2650000,0.2650000,339.0675030
0.2700000,0.2700000,0.2700000,267.6701077
0.2750000,0.2750000,0.2750000,210.9582457
0.2800000,0.2800000,0.2800000,165.9147938
0.2850000,0.2850000,0.2850000,130.1516937
0.2900000,0.2900000,0.2900000,101.7756993
0.2950000,0.2950000,0.2950000,79.2811660
0.3000000,0.3000000,0.3000000,61.4635075
0.3050000,0.3050000,0.3050000,47.3540725
0.3100000,0.3100000,0.3100000,36.1787892
0.3150000,0.3150000,0.3150000,27.3317321
0.3200000,0.3200000,0.3200000,20.3471896
0.3250000,0.3250000,0.3250000,14.8647674
0.3300000,0.3300000,0.3300000,10.5951072
0.3350000,0.3350000,0.3350000,7.2927298
0.3400000,0.3400000,0.3400000,4.7384567
0.3450000,0.3450000,0.3450000,2.7352338
0.3500000,0.3500000,0.3500000,1.1185888
0.3550000,0.3550000,0.3550000,-0.2277874
0.3600000,0.3600000,0.3600000,-1.3678478
0.3650000,0.3650000,0.3650000,-2.3284547
0.3700000,0.3700000,0.3700000,-3.1240183
0.3750000,0.3750000,0.3750000,-3.7739394
0.3800000,0.3800000,0.3800000,-4.3063762
0.3850000,0.3850000,0.3850000,-4.7515783
0.3900000,0.3900000,0.3900000,-5.1319286
0.3950000,0.3950000,0.3950000,-5.4568932
0.4000000,0.4000000,0.4000000,-5.7263587
0.4050000,0.4050000,0.4050000,-5.9378156
0.4100000,0.4100000,0.4100000,-6.0911747
0.4150000,0.4150000,0.4150000,-6.1896556
0.4200000,0.4200000,0.4200000,-6.2386827
0.4250000,0.4250000,0.4250000,-6.2446910
0.4300000,0.4300000,0.4300000,-6.2145393
0.4350000,0.4350000,0.4350000,-6.1554198
0.4400000,0.4400000,0.4400000,-6.0748810
0.4450000,0.4450000,0.4450000,-5.9806080
0.4500000,0.4500000,0.4500000,-5.8796856
0.4550000,0.4550000,0.4550000,-5.7774815
0.4600000,0.4600000,0.4600000,-5.6767968
0.4650000,0.4650000,0.4650000,-5.5777185
0.4700000,0.4700000,0.4700000,-5.4781521
0.4750000,0.4750000,0.4750000,-5.3749047
0.4800000,0.4800000,0.4800000,-5.2648438
0.4850000,0.4850000,0.4850000,-5.1455250
0.4900000,0.4900000,0.4900000,-5.0153202
0.4950000,0.4950000,0.4950000,-4.8734675
0.5000000,0.5000000,0.5000000,-4.7201753
0.5050000,0.5050000,0.5050000,-4.5566280
0.5100000,0.5100000,0.5100000,-4.3847985
0.5150000,0.5150000,0.5150000,-4.2071292
0.5200000,0.5200000,0.5200000,-4.0261986
0.5250000,0.5250000,0.5250000,-3.8444573
0.5300000,0.5300000,0.5300000,-3.6640619
0.5350000,0.5350000,0.5350000,-3.4867971
0.5400000,0.5400000,0.5400000,-3.3140617
0.5450000,0.5450000,0.5450000,-3.1468952
0.5500000,0.5500000,0.5500000,-2.9860225
0.5550000,0.5550000,0.5550000,-2.8319069
0.5600000,0.5600000,0.5600000,-2.6848014
0.5650000,0.5650000,0.5650000,-2.5447946
0.5700000,0.5700000,0.5700000,-2.4118504
0.5750000,0.5750000,0.5750000,-2.2858407
0.5800000,0.5800000,0.5800000,-2.1665716
0.5850000,0.5850000,0.5850000,-2.0538039
0.5900000,0.5900000,0.5900000,-1.9472693
0.5950000,0.5950000,0.5950000,-1.8466822
0.6000000,0.6000000,0.6000000,-1.7517493
0.6050000,0.6050000,0.6050000,-1.6621761
0.6100000,0.6100000,0.6100000,-1.5776718
0.6150000,0.6150000,0.6150000,-1.4979527
0.6200000,0.6200000,0.6200000,-1.4227451
0.6250000,0.6250000,0.6250000,-1.3517860
0.6300000,0.6300000,0.6300000,-1.2848249
0.6350000,0.6350000,0.6350000,-1.2216235
0.6400000,0.6400000,0.6400000,-1.1619565
0.6450000,0.6450000,0.6450000,-1.1056111
0.6500000,0.6500000,0.6500000,-1.0523868
0.6550000,0.6550000,0.6550000,-1.0020949
0.6600000,0.6600000,0.6600000,-0.9545584
0.6650000,0.6650000,0.6650000,-0.9096111
0.6700000,0.6700000,0.6700000,-0.8670970
0.6750000,0.6750000,0.6750000,-0.8268702
0.6800000,0.6800000,0.6800000,-0.7887938
0.6850000,0.6850000,0.6850000,-0.7527396
0.6900000,0.6900000,0.6900000,-0.7185878
0.6950000,0.6950000,0.6950000,-0.6862258
0.7000000,0.7000000,0.7000000,-0.6555487
0.7050000,0.7050000,0.7050000,-0.6264578
0.7100000,0.7100000,0.7100000,-0.5988611
0.7150000,0.7150000,0.7150000,-0.5726720
0.7200000,0.7200000,0.7200000,-0.5478097
0.7250000,0.7250000,0.7250000,-0.5241984
0.7300000,0.7300000,0.7300000,-0.5017669
0.7350000,0.7350000,0.7350000,-0.4804488
0.7400000,0.7400000,0.7400000,-0.4601816
0.7450000,0.7450000,0.7450000,-0.4409065
0.7500000,0.7500000,0.7500000,-0.4225687
0.7550000,0.7550000,0.7550000,-0.4051165
0.7600000,0.7600000,0.7600000,-0.3885015
0.7650000,0.7650000,0.7650000,-0.3726781
0.7700000,0.7700000,0.7700000,-0.3576036
0.7750000,0.7750000,0.7750000,-0.3432377
0.7800000,0.7800000,0.7800000,-0.3295426
0.7850000,0.7850000,0.7850000,-0.3164829
0.7900000,0.7900000,0.7900000,-0.3040249
0.7950000,0.7950000,0.7950000,-0.2921372
0.8000000,0.8000000,0.8000000,-0.2807902
0.8050000,0.8050000,0.8050000,-0.2699558
0.8100000,0.8100000,0.8100000,-0.2596078
0.8150000,0.8150000,0.8150000,-0.2497213
0.8200000,0.8200000,0.8200000,-0.2402729
0.8250000,0.8250000,0.8250000,-0.2312405
0.8300000,0.8300000,0.8300000,-0.2226034
0.8350000,0.8350000,0.8350000,-0.2143417
0.8400000,0.8400000,0.8400000,-0.2064369
0.8450000,0.8450000,0.8450000,-0.1988716
0.8500000,0.8500000,0.8500000,-0.1916290
0.8550000,0.8550000,0.8550000,-0.1846935
0.8600000,0.8600000,0.8600000,-0.1780502
0.8650000,0.8650000,0.8650000,-0.1716853
0.8700000,0.8700000,0.8700000,-0.1655853
0.8750000,0.8750000,0.8750000,-0.1597376
0.8800000,0.8800000,0.8800000,-0.1541305
0.8850000,0.8850000,0.8850000,-0.1487527
0.8900000,0.8900000,0.8900000,-0.1435934
0.8950000,0.8950000,0.8950000,-0.1386425
0.9000000,0.9000000,0.9000000,-0.1338904
0.9050000,0.9050000,0.9050000,-0.1293281
0.9100000,0.9100000,0.9100000,-0.1249469
0.9150000,0.9150000,0.9150000,-0.1207386
0.9200000,0.9200000,0.9200000,-0.1166954
0.9250000,0.9250000,0.9250000,-0.1128100
0.9300000,0.9300000,0.9300000,-0.1090752
0.9350000,0.9350000,0.9350000,-0.1054846
0.9400000,0.9400000,0.9400000,-0.1020316
0.9450000,0.9450000,0.9450000,-0.0987103
0.9500000,0.9500000,0.9500000,-0.0955151
0.9550000,0.9550000,0.9550000,-0.0924403
0.9600000,0.9600000,0.9600000,-0.0894808
0.9650000,0.9650000,0.9650000,-0.0866318
0.9700000,0.9700000,0.9700000,-0.0838885
0.9750000,0.9750000,0.9750000,-0.0812464
0.9800000,0.9800000,0.9800000,-0.0787012
0.9850000,0.9850000,0.9850000,-0.0762490
0.9900000,0.9900000,0.9900000,-0.0738858
0.9950000,0.9950000,0.9950000,-0.0716079
1.0000000,1.0000000,1.0000000,-0.0694119
1.0050000,1.0050000,1.0050000,-0.0672944
1.0100000,1.0100000,1.0100000,-0.0652522
1.0150000,1.0150000,1.0150000,-0.0632821
1.0200000,1.0200000,1.0200000,-0.0613814
1.0250000,1.0250000,1.0250000,-0.0595472
1.0300000,1.0300000,1.0300000,-0.0577769
1.0350000,1.0350000,1.0350000,-0.0560680
1.0400000,1.0400000,1.0400000,-0.0544179
1.0450000,1.0450000,1.0450000,-0.0528244
1.0500000,1.0500000,1.0500000,-0.0512854
1.0550000,1.0550000,1.0550000,-0.0497985
1.0600000,1.0600000,1.0600000,-0.0483619
1.0650000,1.0650000,1.0650000,-0.0469736
1.0700000,1.0700000,1.0700000,-0.0456318
1.0750000,1.0750000,1.0750000,-0.0443346
1.0800000,1.0800000,1.0800000,-0.0430804
1.0850000,1.0850000,1.0850000,-0.0418676
1.0900000,1.0900000,1.0900000,-0.0406945
1.0950000,1.0950000,1.0950000,-0.0395597
1.1000000,1.1000000,1.1000000,-0.0384619
1.1050000,1.1050000,1.1050000,-0.0373995
1.1100000,1.1100000,1.1100000,-0.0363713
1.1150000,1.1150000,1.1150000,-0.0353761
1.1200000,1.1200000,1.1200000,-0.0344126
1.1250000,1.1250000,1.1250000,-0.0334797
1.1300000,1.1300000,1.1300000,-0.0325763
1.1350000,1.1350000,1.1350000,-0.0317013
1.1400000,1.1400000,1.1400000,-0.0308536
