"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","NTL1","NTL",0.15100000000000002,0.,0.,-0.6,14.007,0.329632525712,0.8368
"2","CTL22","CTL2",0.2014,0.1423,0.,-0.1,12.011,0.358141284692,0.2343
"3","CTL53","CTL5",0.,0.,0.,-0.35,12.011,0.367050271874,0.33472
"4","CTL54","CTL5",0.2013,-0.0713,-0.12330000000000002,-0.35,12.011,0.367050271874,0.33472
"5","CTL55","CTL5",0.2013,-0.0713,0.12330000000000002,-0.35,12.011,0.367050271874,0.33472
"6","HL6","HL",0.3028,0.1394,0.037500000000000006,0.25,1.008,0.12472582054,0.19246
"7","HL7","HL",0.1386,0.2028,0.0637,0.25,1.008,0.12472582054,0.19246
"8","HL8","HL",-0.0337,-0.1025,0.0011,0.25,1.008,0.12472582054,0.19246
"9","HL9","HL",-0.0361,0.0519,0.08760000000000001,0.25,1.008,0.12472582054,0.19246
"10","HL10","HL",-0.0361,0.0499,-0.0887,0.25,1.008,0.12472582054,0.19246
"11","HL11","HL",0.1652,-0.17310000000000003,-0.12330000000000002,0.25,1.008,0.12472582054,0.19246
"12","HL12","HL",0.1653,-0.0204,-0.21150000000000002,0.25,1.008,0.12472582054,0.19246
"13","HL13","HL",0.3093,-0.0714,-0.12330000000000002,0.25,1.008,0.12472582054,0.19246
"14","HL14","HL",0.1652,-0.17310000000000003,0.12330000000000002,0.25,1.008,0.12472582054,0.19246
"15","HL15","HL",0.3093,-0.0714,0.12330000000000002,0.25,1.008,0.12472582054,0.19246
"16","HL16","HL",0.1653,-0.0204,0.21150000000000002,0.25,1.008,0.12472582054,0.19246
"17","CTL217","CTL2",0.3537,0.15700000000000003,0.,0.05,12.011,0.358141284692,0.2343
"18","HAL218","HAL2",0.39670000000000005,0.1087,0.09040000000000001,0.09,1.008,0.238760856462,0.11715
"19","HAL219","HAL2",0.38170000000000004,0.2645,0.,0.09,1.008,0.238760856462,0.11715
"20","OHL20","OHL",0.3895,0.2944,0.,-0.66,15.9994,0.315378146222,0.63639
"21","HOL21","HOL",0.48550000000000004,0.2968,0.,0.43,1.008,0.040001352445,0.19246
