AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.108,-0.003,-0.004,0.071100,12.01000,3.39771e-01,4.51035e-01
2,n42,n4,0.058,0.054,-0.133,-0.144600,14.01000,2.49951e-01,1.62122e+01
3,c33,c3,0.108,-0.029,-0.248,0.071100,12.01000,3.39771e-01,4.51035e-01
4,c34,c3,-0.092,0.054,-0.133,0.071100,12.01000,3.39771e-01,4.51035e-01
5,o5,o,0.104,0.182,-0.147,-0.644997,16.00000,3.04812e-01,6.12119e-01
6,hx6,hx,0.071,-0.105,0.006,0.064033,1.00800,1.88746e-01,8.70272e-02
7,hx7,hx,0.071,0.060,0.077,0.064033,1.00800,1.88746e-01,8.70272e-02
8,hx8,hx,0.218,-0.001,-0.007,0.064033,1.00800,1.88746e-01,8.70272e-02
9,hx9,hx,0.071,-0.131,-0.235,0.064033,1.00800,1.88746e-01,8.70272e-02
10,hx10,hx,0.071,0.016,-0.340,0.064033,1.00800,1.88746e-01,8.70272e-02
11,hx11,hx,0.218,-0.026,-0.245,0.064033,1.00800,1.88746e-01,8.70272e-02
12,hx12,hx,-0.125,0.117,-0.050,0.064033,1.00800,1.88746e-01,8.70272e-02
13,hx13,hx,-0.125,0.097,-0.228,0.064033,1.00800,1.88746e-01,8.70272e-02
14,hx14,hx,-0.126,-0.049,-0.122,0.064033,1.00800,1.88746e-01,8.70272e-02
