"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.20320000000000002,0.14270000000000002,0.,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.1607,0.18710000000000002,-0.09260000000000002,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.15990000000000001,0.1936,0.0888,0.09,1.008,0.238760856462,0.14226
"4","CT24","CT2",0.35750000000000004,0.1522,0.0001,-0.18,12.011,0.358141284692,0.2343
"5","HA25","HA2",0.398,0.1028,0.09100000000000001,0.09,1.008,0.238760856462,0.14226
"6","HA26","HA2",0.39840000000000003,0.09910000000000001,-0.0884,0.09,1.008,0.238760856462,0.14226
"7","CC7","CC",0.4132,0.2952,-0.0026,0.55,12.011,0.356359487256,0.29288
"8","O8","O",0.5344000000000001,0.31560000000000005,-0.004900000000000001,-0.55,15.999,0.302905564168,0.50208
"9","NH29","NH2",0.3247,0.39740000000000003,-0.0022,-0.62,14.007,0.329632525712,0.8368
"10","H10","H",0.3628,0.4895,-0.0031000000000000003,0.32,1.008,0.040001352445,0.19246
"11","H11","H",0.22730000000000003,0.37820000000000004,-0.0007000000000000001,0.3,1.008,0.040001352445,0.19246
"12","HA312","HA3",0.1733,0.0357,0.0038,0.,1.008,0.238760856462,0.10042
