AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.226,-0.009,-0.000,-0.024800,12.01000,3.39771e-01,4.51035e-01
2,cc2,cc,0.079,-0.008,0.000,-0.214900,12.01000,3.31521e-01,4.13379e-01
3,cd3,cd,-0.014,-0.110,0.001,0.294200,12.01000,3.31521e-01,4.13379e-01
4,nd4,nd,-0.142,-0.060,0.001,-0.666001,14.01000,3.38417e-01,3.93714e-01
5,cc5,cc,-0.128,0.070,0.000,0.384400,12.01000,3.31521e-01,4.13379e-01
6,na6,na,0.004,0.107,-0.000,-0.319900,14.01000,3.20581e-01,8.54373e-01
7,hc7,hc,0.265,0.042,-0.089,0.049367,1.00800,2.60018e-01,8.70272e-02
8,hc8,hc,0.265,0.042,0.089,0.049367,1.00800,2.60018e-01,8.70272e-02
9,hc9,hc,0.265,-0.111,-0.000,0.049367,1.00800,2.60018e-01,8.70272e-02
10,h410,h4,0.005,-0.217,0.001,0.041100,1.00800,2.53639e-01,6.73624e-02
11,h511,h5,-0.209,0.143,0.001,0.059100,1.00800,2.44730e-01,6.73624e-02
12,hn12,hn,0.039,0.202,-0.000,0.298700,1.00800,1.10650e-01,4.18400e-02
