"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.2061,0.1472,0.,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.16970000000000002,0.19610000000000002,-0.09290000000000001,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.1716,0.2053,0.0882,0.09,1.008,0.238760856462,0.14226
"4","CA4","CA",0.35600000000000004,0.1422,-0.0011,0.,12.011,0.355005321205,0.29288
"5","CA5","CA",0.4267000000000001,0.13870000000000002,-0.12250000000000001,-0.115,12.011,0.355005321205,0.29288
"6","HP6","HP",0.37240000000000006,0.14070000000000002,-0.2158,0.115,1.008,0.242003727796,0.12552
"7","CA7","CA",0.5666000000000001,0.1319,-0.12350000000000001,-0.115,12.011,0.355005321205,0.29288
"8","HP8","HP",0.6199,0.129,-0.2174,0.115,1.008,0.242003727796,0.12552
"9","CA9","CA",0.6373000000000001,0.1283,-0.0026,-0.115,12.011,0.355005321205,0.29288
"10","HP10","HP",0.7451,0.12250000000000001,-0.0032,0.115,1.008,0.242003727796,0.12552
"11","CA11","CA",0.42800000000000005,0.13870000000000002,0.1196,-0.115,12.011,0.355005321205,0.29288
"12","HP12","HP",0.37470000000000003,0.1408,0.2134,0.115,1.008,0.242003727796,0.12552
"13","CA13","CA",0.568,0.1318,0.119,-0.115,12.011,0.355005321205,0.29288
"14","HP14","HP",0.6223000000000001,0.1289,0.21240000000000003,0.115,1.008,0.242003727796,0.12552
"15","HA315","HA3",0.1676,0.0431,0.005600000000000001,0.,1.008,0.238760856462,0.10042
