AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,na1,na,-0.111,0.001,-0.000,-0.182100,14.01000,3.20581e-01,8.54373e-01
2,cc2,cc,-0.030,0.112,0.000,-0.170300,12.01000,3.31521e-01,4.13379e-01
3,cd3,cd,0.101,0.070,-0.000,-0.196000,12.01000,3.31521e-01,4.13379e-01
4,cd4,cd,0.099,-0.072,-0.000,-0.196000,12.01000,3.31521e-01,4.13379e-01
5,cc5,cc,-0.032,-0.112,0.000,-0.170300,12.01000,3.31521e-01,4.13379e-01
6,hn6,hn,-0.212,0.002,-0.000,0.290700,1.00800,1.10650e-01,4.18400e-02
7,h47,h4,-0.073,0.211,0.000,0.162000,1.00800,2.53639e-01,6.73624e-02
8,ha8,ha,0.188,0.134,-0.000,0.150000,1.00800,2.62548e-01,6.73624e-02
9,ha9,ha,0.185,-0.137,-0.000,0.150000,1.00800,2.62548e-01,6.73624e-02
10,h410,h4,-0.077,-0.210,0.000,0.162000,1.00800,2.53639e-01,6.73624e-02
