AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,-0.334,-0.042,0.005,0.009600,12.01000,3.39771e-01,4.51035e-01
2,na2,na,-0.211,0.033,0.001,-0.147900,14.01000,3.20581e-01,8.54373e-01
3,cc3,cc,-0.200,0.170,-0.001,0.444400,12.01000,3.31521e-01,4.13379e-01
4,nd4,nd,-0.074,0.209,-0.002,-0.684000,14.01000,3.38417e-01,3.93714e-01
5,cd5,cd,-0.003,0.094,-0.000,0.486200,12.01000,3.31521e-01,4.13379e-01
6,cc6,cc,-0.083,-0.016,0.000,-0.351200,12.01000,3.31521e-01,4.13379e-01
7,c7,c,-0.032,-0.149,-0.001,0.765100,12.01000,3.31521e-01,4.13379e-01
8,o8,o,-0.100,-0.251,-0.003,-0.629500,16.00000,3.04812e-01,6.12119e-01
9,ns9,ns,0.106,-0.152,0.001,-0.580500,14.01000,3.26995e-01,4.91202e-01
10,c10,c,0.192,-0.044,0.001,0.816501,12.01000,3.31521e-01,4.13379e-01
11,o11,o,0.314,-0.064,0.002,-0.638500,16.00000,3.04812e-01,6.12119e-01
12,n12,n,0.135,0.083,-0.000,-0.417300,14.01000,3.18086e-01,6.84502e-01
13,c313,c3,0.221,0.200,-0.002,0.090300,12.01000,3.39771e-01,4.51035e-01
14,h114,h1,-0.337,-0.108,-0.082,0.072033,1.00800,2.42200e-01,8.70272e-02
15,h115,h1,-0.336,-0.099,0.098,0.072033,1.00800,2.42200e-01,8.70272e-02
16,h116,h1,-0.418,0.028,0.002,0.072033,1.00800,2.42200e-01,8.70272e-02
17,h517,h5,-0.286,0.236,-0.002,0.071100,1.00800,2.44730e-01,6.73624e-02
18,hn18,hn,0.149,-0.243,0.000,0.358500,1.00800,1.10650e-01,4.18400e-02
19,h119,h1,0.286,0.198,0.086,0.063700,1.00800,2.42200e-01,8.70272e-02
20,h120,h1,0.283,0.196,-0.092,0.063700,1.00800,2.42200e-01,8.70272e-02
21,h121,h1,0.163,0.292,-0.002,0.063700,1.00800,2.42200e-01,8.70272e-02
