"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma","epsilon"
1,"AG1","AG",-1.9500357142857139,-1.7361500000000005,-1.589,0.,107.868,0.26326057121,19.07904
2,"AG2","AG",-1.806035714285714,-1.9411500000000006,-1.444,0.,107.868,0.26326057121,19.07904
3,"AG3","AG",-1.9500357142857139,-1.7361500000000005,-1.3,0.,107.868,0.26326057121,19.07904
4,"AG4","AG",-1.5170357142857138,-1.9411500000000006,-1.444,0.,107.868,0.26326057121,19.07904
5,"AG5","AG",-1.661035714285714,-1.7361500000000005,-1.3,0.,107.868,0.26326057121,19.07904
6,"AG6","AG",-1.806035714285714,-1.9411500000000006,-1.156,0.,107.868,0.26326057121,19.07904
7,"AG7","AG",-1.5170357142857138,-1.9411500000000006,-1.156,0.,107.868,0.26326057121,19.07904
8,"AG8","AG",-1.661035714285714,-1.7361500000000005,-1.589,0.,107.868,0.26326057121,19.07904
9,"AG9","AG",-1.9500357142857139,-1.3281500000000006,-1.589,0.,107.868,0.26326057121,19.07904
10,"AG10","AG",-1.806035714285714,-1.5321500000000006,-1.444,0.,107.868,0.26326057121,19.07904
11,"AG11","AG",-1.9500357142857139,-1.3281500000000006,-1.3,0.,107.868,0.26326057121,19.07904
12,"AG12","AG",-1.5170357142857138,-1.5321500000000006,-1.444,0.,107.868,0.26326057121,19.07904
13,"AG13","AG",-1.661035714285714,-1.3281500000000006,-1.3,0.,107.868,0.26326057121,19.07904
14,"AG14","AG",-1.806035714285714,-1.5321500000000006,-1.156,0.,107.868,0.26326057121,19.07904
15,"AG15","AG",-1.5170357142857138,-1.5321500000000006,-1.156,0.,107.868,0.26326057121,19.07904
16,"AG16","AG",-1.661035714285714,-1.3281500000000006,-1.589,0.,107.868,0.26326057121,19.07904
17,"AG17","AG",-1.9500357142857139,-0.9191500000000006,-1.589,0.,107.868,0.26326057121,19.07904
18,"AG18","AG",-1.806035714285714,-1.1231500000000005,-1.444,0.,107.868,0.26326057121,19.07904
19,"AG19","AG",-1.9500357142857139,-0.9191500000000006,-1.3,0.,107.868,0.26326057121,19.07904
20,"AG20","AG",-1.5170357142857138,-1.1231500000000005,-1.444,0.,107.868,0.26326057121,19.07904
21,"AG21","AG",-1.661035714285714,-0.9191500000000006,-1.3,0.,107.868,0.26326057121,19.07904
22,"AG22","AG",-1.806035714285714,-1.1231500000000005,-1.156,0.,107.868,0.26326057121,19.07904
23,"AG23","AG",-1.5170357142857138,-1.1231500000000005,-1.156,0.,107.868,0.26326057121,19.07904
24,"AG24","AG",-1.661035714285714,-0.9191500000000006,-1.589,0.,107.868,0.26326057121,19.07904
25,"AG25","AG",-1.9500357142857139,-0.5111500000000007,-1.589,0.,107.868,0.26326057121,19.07904
26,"AG26","AG",-1.806035714285714,-0.7151500000000006,-1.444,0.,107.868,0.26326057121,19.07904
27,"AG27","AG",-1.9500357142857139,-0.5111500000000007,-1.3,0.,107.868,0.26326057121,19.07904
28,"AG28","AG",-1.5170357142857138,-0.7151500000000006,-1.444,0.,107.868,0.26326057121,19.07904
29,"AG29","AG",-1.661035714285714,-0.5111500000000007,-1.3,0.,107.868,0.26326057121,19.07904
30,"AG30","AG",-1.806035714285714,-0.7151500000000006,-1.156,0.,107.868,0.26326057121,19.07904
31,"AG31","AG",-1.5170357142857138,-0.7151500000000006,-1.156,0.,107.868,0.26326057121,19.07904
32,"AG32","AG",-1.661035714285714,-0.5111500000000007,-1.589,0.,107.868,0.26326057121,19.07904
33,"AG33","AG",-1.9500357142857139,-0.10215000000000041,-1.589,0.,107.868,0.26326057121,19.07904
34,"AG34","AG",-1.806035714285714,-0.3061500000000006,-1.444,0.,107.868,0.26326057121,19.07904
35,"AG35","AG",-1.9500357142857139,-0.10215000000000041,-1.3,0.,107.868,0.26326057121,19.07904
36,"AG36","AG",-1.5170357142857138,-0.3061500000000006,-1.444,0.,107.868,0.26326057121,19.07904
37,"AG37","AG",-1.661035714285714,-0.10215000000000041,-1.3,0.,107.868,0.26326057121,19.07904
38,"AG38","AG",-1.806035714285714,-0.3061500000000006,-1.156,0.,107.868,0.26326057121,19.07904
39,"AG39","AG",-1.5170357142857138,-0.3061500000000006,-1.156,0.,107.868,0.26326057121,19.07904
40,"AG40","AG",-1.661035714285714,-0.10215000000000041,-1.589,0.,107.868,0.26326057121,19.07904
41,"AG41","AG",-1.9500357142857139,0.3068499999999994,-1.589,0.,107.868,0.26326057121,19.07904
42,"AG42","AG",-1.806035714285714,0.10184999999999933,-1.444,0.,107.868,0.26326057121,19.07904
43,"AG43","AG",-1.9500357142857139,0.3068499999999994,-1.3,0.,107.868,0.26326057121,19.07904
44,"AG44","AG",-1.5170357142857138,0.10184999999999933,-1.444,0.,107.868,0.26326057121,19.07904
45,"AG45","AG",-1.661035714285714,0.3068499999999994,-1.3,0.,107.868,0.26326057121,19.07904
46,"AG46","AG",-1.806035714285714,0.10184999999999933,-1.156,0.,107.868,0.26326057121,19.07904
