AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,IFE1,IFE,-1.515611111111097,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
2,IFE2,IFE,-1.337611111111097,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
3,IFE3,IFE,-1.515611111111097,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
4,IFE4,IFE,-1.337611111111097,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
5,IFE5,IFE,-1.515611111111097,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
6,IFE6,IFE,-1.337611111111097,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
7,IFE7,IFE,-1.515611111111097,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
8,IFE8,IFE,-1.337611111111097,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
9,IFE9,IFE,-1.515611111111097,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
10,IFE10,IFE,-1.337611111111097,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
11,IFE11,IFE,-1.515611111111097,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
12,IFE12,IFE,-1.337611111111097,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
13,IFE13,IFE,-1.515611111111097,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
14,IFE14,IFE,-1.337611111111097,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
15,IFE15,IFE,-1.515611111111097,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
16,IFE16,IFE,-1.337611111111097,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
17,IFE17,IFE,-1.515611111111097,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
18,IFE18,IFE,-1.337611111111097,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
19,IFE19,IFE,-1.515611111111097,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
20,IFE20,IFE,-1.337611111111097,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
21,IFE21,IFE,-1.515611111111097,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
22,IFE22,IFE,-1.337611111111097,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
23,IFE23,IFE,-1.515611111111097,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
24,IFE24,IFE,-1.337611111111097,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
25,IFE25,IFE,-1.158611111111097,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
26,IFE26,IFE,-0.980611111111097,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
27,IFE27,IFE,-1.158611111111097,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
28,IFE28,IFE,-0.980611111111097,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
29,IFE29,IFE,-1.158611111111097,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
30,IFE30,IFE,-0.980611111111097,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
31,IFE31,IFE,-1.158611111111097,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
32,IFE32,IFE,-0.980611111111097,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
33,IFE33,IFE,-1.158611111111097,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
34,IFE34,IFE,-0.980611111111097,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
35,IFE35,IFE,-1.158611111111097,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
36,IFE36,IFE,-0.980611111111097,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
37,IFE37,IFE,-1.158611111111097,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
38,IFE38,IFE,-0.980611111111097,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
39,IFE39,IFE,-1.158611111111097,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
40,IFE40,IFE,-0.980611111111097,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
41,IFE41,IFE,-1.158611111111097,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
42,IFE42,IFE,-0.980611111111097,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
43,IFE43,IFE,-1.158611111111097,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
44,IFE44,IFE,-0.980611111111097,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
45,IFE45,IFE,-1.158611111111097,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
46,IFE46,IFE,-0.980611111111097,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
47,IFE47,IFE,-1.158611111111097,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
48,IFE48,IFE,-0.980611111111097,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
49,IFE49,IFE,-0.8026111111110971,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
50,IFE50,IFE,-0.623611111111097,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
51,IFE51,IFE,-0.8026111111110971,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
52,IFE52,IFE,-0.623611111111097,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
53,IFE53,IFE,-0.8026111111110971,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
54,IFE54,IFE,-0.623611111111097,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
55,IFE55,IFE,-0.8026111111110971,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
56,IFE56,IFE,-0.623611111111097,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
57,IFE57,IFE,-0.8026111111110971,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
58,IFE58,IFE,-0.623611111111097,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
59,IFE59,IFE,-0.8026111111110971,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
60,IFE60,IFE,-0.623611111111097,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
61,IFE61,IFE,-0.8026111111110971,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
