# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
-0.0078780,-0.0078780,0.0000000,24460.7420930,24460.7420930
0.0021220,0.0021220,0.0100000,21920.2069833,21920.2069833
0.0121220,0.0121220,0.0200000,20854.4821234,20854.4821234
0.0221220,0.0221220,0.0300000,20035.7141492,20035.7141492
0.0321220,0.0321220,0.0400000,18199.3092259,18199.3092259
0.0421220,0.0421220,0.0500000,16751.2615773,16751.2615773
0.0521220,0.0521220,0.0600000,15426.5216873,15426.5216873
0.0621220,0.0621220,0.0700000,10583.1378797,10583.1378797
0.0721220,0.0721220,0.0800000,7147.0095810,7147.0095810
0.0821220,0.0821220,0.0900000,4973.2446223,4973.2446223
0.0921220,0.0921220,0.1000000,3550.4974490,3550.4974490
0.1021220,0.1021220,0.1100000,2583.5077924,2583.5077924
0.1121220,0.1121220,0.1200000,1855.0976068,1855.0976068
0.1221220,0.1221220,0.1300000,1378.6020989,1354.5029142
0.1321220,0.1321220,0.1400000,1023.8098497,999.7192546
0.1421220,0.1421220,0.1500000,760.7097879,735.8479032
0.1521220,0.1521220,0.1600000,550.0803573,525.2217361
0.1621220,0.1621220,0.1700000,396.3656697,372.2233231
0.1721220,0.1721220,0.1800000,282.6040355,259.2208187
0.1821220,0.1821220,0.1900000,197.7146088,175.0204476
0.1921220,0.1921220,0.2000000,134.3375256,112.2240196
0.2021220,0.2021220,0.2100000,87.3257552,65.6937834
0.2121220,0.2121220,0.2200000,52.7463275,31.6746574
0.2221220,0.2221220,0.2300000,27.0446193,7.3017850
0.2321220,0.2321220,0.2400000,6.5204409,-9.6731011
0.2421220,0.2421220,0.2500000,-8.7705289,-24.0133490
0.2521220,0.2521220,0.2600000,-18.6336126,-32.1420250
0.2621220,0.2621220,0.2700000,-24.5342158,-36.3519351
0.2721220,0.2721220,0.2800000,-27.8097747,-37.6358085
0.2821220,0.2821220,0.2900000,-29.3687778,-37.1777336
0.2921220,0.2921220,0.3000000,-29.7682011,-35.7059649
0.3021220,0.3021220,0.3100000,-29.3659194,-33.6951065
0.3121220,0.3121220,0.3200000,-28.4181509,-31.4274623
0.3221220,0.3221220,0.3300000,-27.1142353,-29.2340117
0.3321220,0.3321220,0.3400000,-25.5985577,-27.0456859
0.3421220,0.3421220,0.3500000,-23.9777129,-25.0124793
0.3521220,0.3521220,0.3600000,-22.3234822,-23.0527520
0.3621220,0.3621220,0.3700000,-20.6838668,-21.2308521
0.3721220,0.3721220,0.3800000,-19.0948693,-19.5217378
0.3821220,0.3821220,0.3900000,-17.5843382,-17.9337370
0.3921220,0.3921220,0.4000000,-16.1708242,-16.4817035
0.4021220,0.4021220,0.4100000,-14.8635081,-15.1720087
0.4121220,0.4121220,0.4200000,-13.6641409,-13.9608701
0.4221220,0.4221220,0.4300000,-12.5695422,-12.8542751
0.4321220,0.4321220,0.4400000,-11.5736949,-11.8572785
0.4421220,0.4421220,0.4500000,-10.6692058,-10.9374778
0.4521220,0.4521220,0.4600000,-9.8482302,-10.0935842
0.4621220,0.4621220,0.4700000,-9.1030159,-9.3231214
0.4721220,0.4721220,0.4800000,-8.4262024,-8.6214756
0.4821220,0.4821220,0.4900000,-7.8109679,-7.9831524
0.4921220,0.4921220,0.5000000,-7.2510853,-7.4024676
0.5021220,0.5021220,0.5100000,-6.7409263,-6.8739128
0.5121220,0.5121220,0.5200000,-6.2754356,-6.3923359
0.5221220,0.5221220,0.5300000,-5.8500913,-5.9530179
0.5321220,0.5321220,0.5400000,-5.4608583,-5.5516897
0.5421220,0.5421220,0.5500000,-5.1041406,-5.1845193
0.5521220,0.5521220,0.5600000,-4.7767356,-4.8480825
0.5621220,0.5621220,0.5700000,-4.4757911,-4.5393275
0.5721220,0.5721220,0.5800000,-4.1987654,-4.2555374
0.5821220,0.5821220,0.5900000,-3.9433922,-3.9942942
0.5921220,0.5921220,0.6000000,-3.7076488,-3.7534451
0.6021220,0.6021220,0.6100000,-3.4897275,-3.5310720
0.6121220,0.6121220,0.6200000,-3.2880115,-3.3254978
0.6221220,0.6221220,0.6300000,-3.1010519,-3.1352117
0.6321220,0.6321220,0.6400000,-2.9275492,-2.9587796
0.6421220,0.6421220,0.6500000,-2.7663360,-2.7949742
0.6521220,0.6521220,0.6600000,-2.6163619,-2.6427007
0.6621220,0.6621220,0.6700000,-2.4766806,-2.5009805
0.6721220,0.6721220,0.6800000,-2.3464382,-2.3689450
0.6821220,0.6821220,0.6900000,-2.2248633,-2.2457639
0.6921220,0.6921220,0.7000000,-2.1112577,-2.1307167
0.7021220,0.7021220,0.7100000,-2.0049889,-2.0231511
0.7121220,0.7121220,0.7200000,-1.9054830,-1.9224762
0.7221220,0.7221220,0.7300000,-1.8122183,-1.8281554
0.7321220,0.7321220,0.7400000,-1.7247202,-1.7397014
0.7421220,0.7421220,0.7500000,-1.6425565,-1.6566705
0.7521220,0.7521220,0.7600000,-1.5653327,-1.5786582
0.7621220,0.7621220,0.7700000,-1.4926886,-1.5052956
0.7721220,0.7721220,0.7800000,-1.4242946,-1.4362457
0.7821220,0.7821220,0.7900000,-1.3598491,-1.3711999
0.7921220,0.7921220,0.8000000,-1.2990755,-1.3098759
0.8021220,0.8021220,0.8100000,-1.2417200,-1.2520145
0.8121220,0.8121220,0.8200000,-1.1875492,-1.1973780
0.8221220,0.8221220,0.8300000,-1.1363487,-1.1457476
