# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.0648882,-0.0648882,0.0000000,103044.7085682,103044.7085682
-0.0548882,-0.0548882,0.0100000,127454.4835602,127454.4835602
-0.0448882,-0.0448882,0.0200000,143413.0549596,143413.0549596
-0.0348882,-0.0348882,0.0300000,94722.8641590,94722.8641590
-0.0248882,-0.0248882,0.0400000,61966.8949410,61966.8949410
-0.0148882,-0.0148882,0.0500000,39045.5588521,39045.5588521
-0.0048882,-0.0048882,0.0600000,25853.9148377,25853.9148377
0.0051118,0.0051118,0.0700000,18104.1672747,18104.1672747
0.0151118,0.0151118,0.0800000,13372.7281874,13372.7281874
0.0251118,0.0251118,0.0900000,10307.4153883,10307.4153883
0.0351118,0.0351118,0.1000000,8166.9726080,8166.9726080
0.0451118,0.0451118,0.1100000,6552.9196321,6552.9196321
0.0551118,0.0551118,0.1200000,4815.7807732,4815.7807732
0.0651118,0.0651118,0.1300000,2975.0812290,2975.0812290
0.0751118,0.0751118,0.1400000,1873.3179163,1873.3179163
0.0851118,0.0851118,0.1500000,1234.4753012,1215.8396210
0.0951118,0.0951118,0.1600000,822.1455480,803.6935822
0.1051118,0.1051118,0.1700000,551.7003366,533.4905598
0.1151118,0.1151118,0.1800000,367.5957816,349.7066319
0.1251118,0.1251118,0.1900000,238.8067229,221.3425470
0.1351118,0.1351118,0.2000000,147.1964293,130.2673132
0.1451118,0.1451118,0.2100000,81.6122538,65.2968631
0.1551118,0.1551118,0.2200000,34.8137920,19.1382926
0.1651118,0.1651118,0.2300000,1.8392400,-13.2153115
0.1751118,0.1751118,0.2400000,-20.8727324,-35.3487222
0.1851118,0.1851118,0.2500000,-35.9641196,-49.9063721
0.1951118,0.1951118,0.2600000,-45.4353998,-58.8750305
0.2051118,0.2051118,0.2700000,-50.8210330,-63.7606185
0.2151118,0.2151118,0.2800000,-53.3070186,-65.7067227
0.2251118,0.2251118,0.2900000,-53.8061887,-65.5791485
0.2351118,0.2351118,0.3000000,-52.9996831,-64.0291565
0.2451118,0.2451118,0.3100000,-51.3628169,-61.5696947
0.2551118,0.2551118,0.3200000,-49.2047278,-58.5362914
0.2651118,0.2651118,0.3300000,-46.7303523,-55.1695616
0.2751118,0.2751118,0.3400000,-44.0997078,-51.6597238
0.2851118,0.2851118,0.3500000,-41.4563643,-48.1397313
0.2951118,0.2951118,0.3600000,-38.9300998,-44.7012790
0.3051118,0.3051118,0.3700000,-36.5862009,-41.4037251
0.3151118,0.3151118,0.3800000,-34.4189603,-38.4648038
0.3251118,0.3251118,0.3900000,-32.4464096,-38.6004139
0.3351118,0.3351118,0.4000000,-30.7217538,-37.9226578
0.3451118,0.3451118,0.4100000,-29.2372487,-36.6782701
0.3551118,0.3551118,0.4200000,-27.9028930,-35.0908392
0.3651118,0.3651118,0.4300000,-26.6184172,-33.2765058
0.3751118,0.3751118,0.4400000,-25.3358465,-31.3457903
0.3851118,0.3851118,0.4500000,-24.0660443,-29.3786269
0.3951118,0.3951118,0.4600000,-22.8775026,-27.4312667
0.4051118,0.4051118,0.4700000,-21.8976250,-28.3736509
