# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-0.7944167,-0.7944167,-0.7295285,53265.8774946
-0.7844167,-0.7844167,-0.7195285,44515.9507438
-0.7744167,-0.7744167,-0.7095285,40082.8140624
-0.7644167,-0.7644167,-0.6995285,40129.2320763
-0.7544167,-0.7544167,-0.6895285,41515.3021317
-0.7444167,-0.7444167,-0.6795285,30783.6130652
-0.7344167,-0.7344167,-0.6695285,25140.1406822
-0.7244167,-0.7244167,-0.6595285,23480.3338927
-0.7144167,-0.7144167,-0.6495285,24389.9927223
-0.7044167,-0.7044167,-0.6395285,27443.2395263
-0.6944167,-0.6944167,-0.6295285,32735.8927842
-0.6844167,-0.6844167,-0.6195285,41033.1566506
-0.6744167,-0.6744167,-0.6095285,37501.3139683
-0.6644167,-0.6644167,-0.5995285,38317.0958275
-0.6544167,-0.6544167,-0.5895285,45535.7330807
-0.6444167,-0.6444167,-0.5795285,44457.3873700
-0.6344167,-0.6344167,-0.5695285,37899.0123580
-0.6244167,-0.6244167,-0.5595285,37881.4944838
-0.6144167,-0.6144167,-0.5495285,40014.4289022
-0.6044167,-0.6044167,-0.5395285,32104.5687599
-0.5944167,-0.5944167,-0.5295285,26998.7805461
-0.5844167,-0.5844167,-0.5195285,24093.9925722
-0.5744167,-0.5744167,-0.5095285,23393.3344140
-0.5644167,-0.5644167,-0.4995285,25526.7844999
-0.5544167,-0.5544167,-0.4895285,32048.3031732
-0.5444167,-0.5444167,-0.4795285,41183.3882848
-0.5344167,-0.5344167,-0.4695285,40611.9475551
-0.5244167,-0.5244167,-0.4595285,40319.5154201
-0.5144167,-0.5144167,-0.4495285,45816.0589991
-0.5044167,-0.5044167,-0.4395285,52224.5325414
-0.4944167,-0.4944167,-0.4295285,43665.1017647
-0.4844167,-0.4844167,-0.4195285,40177.2440469
-0.4744167,-0.4744167,-0.4095285,40141.6697572
-0.4644167,-0.4644167,-0.3995285,41510.1958540
-0.4544167,-0.4544167,-0.3895285,29978.0644236
-0.4444167,-0.4444167,-0.3795285,24828.0897776
-0.4344167,-0.4344167,-0.3695285,23474.6889616
-0.4244167,-0.4244167,-0.3595285,24603.9622361
-0.4144167,-0.4144167,-0.3495285,27869.0060955
-0.4044167,-0.4044167,-0.3395285,33410.5202046
-0.3944167,-0.3944167,-0.3295285,42093.9536280
-0.3844167,-0.3844167,-0.3195285,37262.1750022
-0.3744167,-0.3744167,-0.3095285,38765.8356742
-0.3644167,-0.3644167,-0.2995285,46607.5847905
-0.3544167,-0.3544167,-0.2895285,43527.0037311
-0.3444167,-0.3444167,-0.2795285,37590.0150234
-0.3344167,-0.3344167,-0.2695285,38311.5525208
-0.3244167,-0.3244167,-0.2595285,39057.6452547
-0.3144167,-0.3144167,-0.2495285,31499.5852808
-0.3044167,-0.3044167,-0.2395285,26619.8304346
-0.2944167,-0.2944167,-0.2295285,23927.4677156
-0.2844167,-0.2844167,-0.2195285,23470.3560769
-0.2744167,-0.2744167,-0.2095285,25954.2181037
-0.2644167,-0.2644167,-0.1995285,33052.8523906
-0.2544167,-0.2544167,-0.1895285,40828.0950838
-0.2444167,-0.2444167,-0.1795285,40911.1809897
-0.2344167,-0.2344167,-0.1695285,40460.2628213
-0.2244167,-0.2244167,-0.1595285,46800.5790556
-0.2144167,-0.2144167,-0.1495285,51254.3806829
-0.2044167,-0.2044167,-0.1395285,42916.9531933
-0.1944167,-0.1944167,-0.1295285,40398.1097605
-0.1844167,-0.1844167,-0.1195285,40231.5318965
-0.1744167,-0.1744167,-0.1095285,39974.8083586
-0.1644167,-0.1644167,-0.0995285,29254.2630562
-0.1544167,-0.1544167,-0.0895285,24573.7055026
-0.1444167,-0.1444167,-0.0795285,23507.6621257
-0.1344167,-0.1344167,-0.0695285,24859.8464660
-0.1244167,-0.1244167,-0.0595285,28337.2721244
-0.1144167,-0.1144167,-0.0495285,34132.7163565
-0.1044167,-0.1044167,-0.0395285,42644.2057348
-0.0944167,-0.0944167,-0.0295285,36872.3104623
-0.0844167,-0.0844167,-0.0195285,38836.6721458
-0.0744167,-0.0744167,-0.0095285,46917.4895495
-0.0644167,-0.0644167,0.0004715,39888.6528697
-0.0544167,-0.0544167,0.0104715,31828.1551195
-0.0444167,-0.0444167,0.0204715,27601.8263166
-0.0344167,-0.0344167,0.0304715,26850.9656343
-0.0244167,-0.0244167,0.0404715,28917.1891373
-0.0144167,-0.0144167,0.0504715,23031.0813894
-0.0044167,-0.0044167,0.0604715,18542.2084421
0.0055833,0.0055833,0.0704715,14975.5874922
0.0155833,0.0155833,0.0804715,12075.1267248
0.0255833,0.0255833,0.0904715,9699.6710970
0.0355833,0.0355833,0.1004715,7764.0727741
0.0455833,0.0455833,0.1104715,5553.3123975
0.0555833,0.0555833,0.1204715,3792.2222886
0.0655833,0.0655833,0.1304715,2719.7749823
0.0755833,0.0755833,0.1404715,1745.4312182
0.0855833,0.0855833,0.1504715,1152.5223453
0.0955833,0.0955833,0.1604715,792.9579004
0.1055833,0.1055833,0.1704715,560.9065588
0.1155833,0.1155833,0.1804715,401.9133088
0.1255833,0.1255833,0.1904715,287.5082795
0.1355833,0.1355833,0.2004715,202.4040690
0.1455833,0.1455833,0.2104715,137.3260268
0.1555833,0.1555833,0.2204715,86.0967463
0.1655833,0.1655833,0.2304715,44.3859504
0.1755833,0.1755833,0.2404715,14.4613669
0.1855833,0.1855833,0.2504715,-4.9160169
0.1955833,0.1955833,0.2604715,-17.2314187
0.2055833,0.2055833,0.2704715,-24.7273722
0.2155833,0.2155833,0.2804715,-28.9235516
0.2255833,0.2255833,0.2904715,-30.9832223
0.2355833,0.2355833,0.3004715,-31.7058709
0.2455833,0.2455833,0.3104715,-31.5932052
0.2555833,0.2555833,0.3204715,-30.9473770
0.2655833,0.2655833,0.3304715,-29.9663254
0.2755833,0.2755833,0.3404715,-28.7835903
0.2855833,0.2855833,0.3504715,-27.4960064
0.2955833,0.2955833,0.3604715,-26.1849361
0.3055833,0.3055833,0.3704715,-24.8854156
0.3155833,0.3155833,0.3804715,-23.5762692
0.3255833,0.3255833,0.3904715,-22.2312129
0.3355833,0.3355833,0.4004715,-20.8539655
0.3455833,0.3455833,0.4104715,-19.4670793
0.3555833,0.3555833,0.4204715,-18.0941433
0.3655833,0.3655833,0.4304715,-16.7566209
0.3755833,0.3755833,0.4404715,-15.4751257
0.3855833,0.3855833,0.4504715,-14.2669004
0.3955833,0.3955833,0.4604715,-13.1428023
0.4055833,0.4055833,0.4704715,-12.1070336
0.4155833,0.4155833,0.4804715,-11.1587407
0.4255833,0.4255833,0.4904715,-10.2939138
0.4355833,0.4355833,0.5004715,-9.5068789
0.4455833,0.4455833,0.5104715,-8.7912849
0.4555833,0.4555833,0.5204715,-8.1406966
0.4655833,0.4655833,0.5304715,-7.5489240
0.4755833,0.4755833,0.5404715,-7.0101889
0.4855833,0.4855833,0.5504715,-6.5191948
0.4955833,0.4955833,0.5604715,-6.0711418
0.5055833,0.5055833,0.5704715,-5.6617113
0.5155833,0.5155833,0.5804715,-5.2870347
0.5255833,0.5255833,0.5904715,-4.9436562
0.5355833,0.5355833,0.6004715,-4.6284933
0.5455833,0.5455833,0.6104715,-4.3387975
0.5555833,0.5555833,0.6204715,-4.0721188
0.5655833,0.5655833,0.6304715,-3.8262720
0.5755833,0.5755833,0.6404715,-3.5993068
0.5855833,0.5855833,0.6504715,-3.3894805
0.5955833,0.5955833,0.6604715,-3.1952345
0.6055833,0.6055833,0.6704715,-3.0151729
0.6155833,0.6155833,0.6804715,-2.8480440
0.6255833,0.6255833,0.6904715,-2.6927236
0.6355833,0.6355833,0.7004715,-2.5482007
0.6455833,0.6455833,0.7104715,-2.4135650
0.6555833,0.6555833,0.7204715,-2.2879951
0.6655833,0.6655833,0.7304715,-2.1707496
0.6755833,0.6755833,0.7404715,-2.0611574
0.6855833,0.6855833,0.7504715,-1.9586109
0.6955833,0.6955833,0.7604715,-1.8625587
0.7055833,0.7055833,0.7704715,-1.7725001
