# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.5891667,-0.5891667,-0.6075881,5998.2472196,3524.0269335,28820.6156583,154.8265895,20082.7780717,498339.8866414,6127847.2488645,48587722.7448218
-0.5841667,-0.5841667,-0.6025881,6078.1206101,3572.2758401,29188.4078485,158.0103908,20339.5706961,504470.0418653,6202707.7471374,49180238.8593744
-0.5791667,-0.5791667,-0.5975881,6333.2878444,3726.4259577,30363.2296798,168.1012441,21159.8364497,524049.1592936,6441799.8050723,51072627.0440096
-0.5741667,-0.5741667,-0.5925881,6765.5235295,3987.5667117,32353.0418125,185.1790225,22549.1404556,557206.7659827,6846697.7754768,54277333.0624713
-0.5691667,-0.5691667,-0.5875881,7377.5373774,4357.3634170,35169.9775322,209.3644204,24515.9655807,604139.9411309,7419796.2639530,58813285.3607185
-0.5641667,-0.5641667,-0.5825881,8172.4772148,4837.7554655,38828.0735648,226.2242226,27070.1274506,665075.7835581,8163852.4660811,64702274.0805321
-0.5591667,-0.5591667,-0.5775881,9153.2363954,5430.5356822,43340.1084107,264.9008648,30220.5660622,740219.1262884,9081348.6321145,71963906.9812167
-0.5541667,-0.5541667,-0.5725881,10321.5773002,6136.8179038,48713.6020861,311.0936327,33972.5516179,829686.3977266,10173685.6466217,80609229.2403116
-0.5491667,-0.5491667,-0.5675881,11677.0940922,6956.4067951,54946.0836459,364.8336771,38324.3788588,933427.3978674,11440229.3084039,90633177.9583032
-0.5441667,-0.5441667,-0.5625881,13216.0542955,7887.0938875,62019.8077579,426.0186193,43263.6764945,1051137.9967736,12877246.0014462,102006161.7045976
-0.5391667,-0.5391667,-0.5575881,14930.1796213,8923.9164894,69896.1967067,494.3604997,48763.5247547,1182168.3342506,14476783.6093695,114665207.0414382
-0.5341667,-0.5341667,-0.5525881,16805.4501612,10058.4305252,78510.3922577,569.3344633,54778.6495712,1325432.8844091,16225575.2829314,128505286.0903040
-0.5291667,-0.5291667,-0.5475881,18821.0397807,11278.0627794,87766.4098219,650.1327202,61242.0373464,1479330.5316184,18104065.4007017,143371611.1180704
-0.5241667,-0.5241667,-0.5425881,20948.5101574,12565.6199572,97533.4766274,735.6291672,68062.3766276,1641684.2763996,20085675.0023189,159053824.0327142
-0.5191667,-0.5191667,-0.5375881,23151.4013985,13899.0383673,107644.1831753,824.3605225,75122.7662420,1809710.9718934,22136433.4991293,175283084.0194554
-0.5141667,-0.5141667,-0.5325881,25385.3532356,15251.4556674,117895.0589956,914.5296848,82281.1167036,1980031.1851548,24215099.7207095,191733026.8867736
-0.5091667,-0.5091667,-0.5275881,27598.8679239,16591.6722431,128050.0790925,1004.0360770,89372.5986283,2148727.5437097,26273874.2063970,208025402.3441272
