# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-0.5891667,-0.5891667,-0.6075881,5998.2472196,3524.0269335,28820.6156583,154.8265895,20082.7780717,5998.2472196,5998.2472196,7070.9665706,4472.0719244,5998.2472196,3524.0269335,28820.6156583,140.8571576,20082.7780717,5998.2472196,5998.2472196,7070.9665706,4472.0719244
-0.5841667,-0.5841667,-0.6025881,6078.1206101,3572.2758401,29188.4078485,158.0103908,20339.5706961,6078.1206101,6078.1206101,7165.1244226,4531.6225788,6078.1206101,3572.2758401,29188.4078485,143.9811970,20339.5706961,6078.1206101,6078.1206101,7165.1244226,4531.6225788
-0.5791667,-0.5791667,-0.5975881,6333.2878444,3726.4259577,30363.2296798,168.1012441,21159.8364497,6333.2878444,6333.2878444,7465.9254595,4721.8658586,6333.2878444,3726.4259577,30363.2296798,153.9726539,21159.8364497,6333.2878444,6333.2878444,7465.9254595,4721.8658586
-0.5741667,-0.5741667,-0.5925881,6765.5235295,3987.5667117,32353.0418125,185.1790225,22549.1404556,6765.5235295,6765.5235295,7975.4616571,5044.1248455,6765.5235295,3987.5667117,32353.0418125,170.9174028,22549.1404556,6765.5235295,6765.5235295,7975.4616571,5044.1248455
-0.5691667,-0.5691667,-0.5875881,7377.5373774,4357.3634170,35169.9775322,209.3644204,24515.9655807,7377.5373774,7377.5373774,8696.9273288,5500.4198008,7377.5373774,4357.3634170,35169.9775322,194.9482968,24515.9655807,7377.5373774,7377.5373774,8696.9273288,5500.4198008
-0.5641667,-0.5641667,-0.5825881,8172.4772148,4837.7554655,38828.0735648,240.8037648,27070.1274506,8172.4772148,8172.4772148,9634.0332550,6093.0976279,8172.4772148,4837.7554655,38828.0735648,226.2242226,27070.1274506,8172.4772148,8172.4772148,9634.0332550,6093.0976279
-0.5591667,-0.5591667,-0.5775881,9153.2363954,5430.5356822,43340.1084107,279.6435536,30220.5660622,9153.2363954,9153.2363954,10790.1902331,6824.3155046,9153.2363954,5430.5356822,43340.1084107,264.9008648,30220.5660622,9153.2363954,9153.2363954,10790.1902331,6824.3155046
-0.5541667,-0.5541667,-0.5725881,10321.5773002,6136.8179038,48713.6020861,325.9937186,33972.5516179,10321.5773002,10321.5773002,12167.4758265,7695.3873974,10321.5773002,6136.8179038,48713.6020861,311.0936327,33972.5516179,10321.5773002,10321.5773002,12167.4758265,7695.3873974
-0.5491667,-0.5491667,-0.5675881,11677.0940922,6956.4067951,54946.0836459,379.8818598,38324.3788588,11677.0940922,11677.0940922,13765.4116186,8706.0107289,11677.0940922,6956.4067951,54946.0836459,364.8336771,38324.3788588,11677.0940922,11677.0940922,13765.4116186,8706.0107289
-0.5441667,-0.5441667,-0.5625881,13216.0542955,7887.0938875,62019.8077579,441.2021501,43263.6764945,13216.0542955,13216.0542955,15579.5976221,9853.4027029,13216.0542955,7887.0938875,62019.8077579,426.0186193,43263.6764945,13216.0542955,13216.0542955,15579.5976221,9853.4027029
