# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1308333,0.1308333,0.1124119,1148.1854169
0.1408333,0.1408333,0.1224119,771.2905884
0.1508333,0.1508333,0.1324119,511.1556598
0.1608333,0.1608333,0.1424119,333.7091507
0.1708333,0.1708333,0.1524119,213.8552825
0.1808333,0.1808333,0.1624119,133.5695876
0.1908333,0.1908333,0.1724119,80.1482137
0.2008333,0.2008333,0.1824119,44.6898336
0.2108333,0.2108333,0.1924119,21.2010200
0.2208333,0.2208333,0.2024119,5.7142326
0.2308333,0.2308333,0.2124119,-4.5015516
0.2408333,0.2408333,0.2224119,-11.1608155
0.2508333,0.2508333,0.2324119,-15.2972209
0.2608333,0.2608333,0.2424119,-17.6228819
0.2708333,0.2708333,0.2524119,-18.6816842
0.2808333,0.2808333,0.2624119,-18.8855943
0.2908333,0.2908333,0.2724119,-18.5180941
0.3008333,0.3008333,0.2824119,-17.7698743
0.3108333,0.3108333,0.2924119,-16.7853451
0.3208333,0.3208333,0.3024119,-15.6786813
0.3308333,0.3308333,0.3124119,-14.5335397
0.3408333,0.3408333,0.3224119,-13.4053059
0.3508333,0.3508333,0.3324119,-12.3272252
0.3608333,0.3608333,0.3424119,-11.3170661
0.3708333,0.3708333,0.3524119,-10.3825271
0.3808333,0.3808333,0.3624119,-9.5250874
0.3908333,0.3908333,0.3724119,-8.7425736
0.4008333,0.4008333,0.3824119,-8.0308083
0.4108333,0.4108333,0.3924119,-7.3846405
0.4208333,0.4208333,0.4024119,-6.7985761
0.4308333,0.4308333,0.4124119,-6.2671504
0.4408333,0.4408333,0.4224119,-5.7851402
0.4508333,0.4508333,0.4324119,-5.3476738
0.4608333,0.4608333,0.4424119,-4.9502794
0.4708333,0.4708333,0.4524119,-4.5888951
0.4808333,0.4808333,0.4624119,-4.2598584
0.4908333,0.4908333,0.4724119,-3.9598820
0.5008333,0.5008333,0.4824119,-3.6860253
0.5108333,0.5108333,0.4924119,-3.4356629
0.5208333,0.5208333,0.5024119,-3.2064533
0.5308333,0.5308333,0.5124119,-2.9963097
0.5408333,0.5408333,0.5224119,-2.8033715
0.5508333,0.5508333,0.5324119,-2.6259800
0.5608333,0.5608333,0.5424119,-2.4626553
0.5708333,0.5708333,0.5524119,-2.3120755
0.5808333,0.5808333,0.5624119,-2.1730594
0.5908333,0.5908333,0.5724119,-2.0445498
0.6008333,0.6008333,0.5824119,-1.9255996
0.6108333,0.6108333,0.5924119,-1.8153591
0.6208333,0.6208333,0.6024119,-1.7130652
0.6308333,0.6308333,0.6124119,-1.6180314
0.6408333,0.6408333,0.6224119,-1.5296397
0.6508333,0.6508333,0.6324119,-1.4473324
0.6608333,0.6608333,0.6424119,-1.3706060
0.6708333,0.6708333,0.6524119,-1.2990053
0.6808333,0.6808333,0.6624119,-1.2321179
0.6908333,0.6908333,0.6724119,-1.1695699
0.7008333,0.7008333,0.6824119,-1.1110220
0.7108333,0.7108333,0.6924119,-1.0561656
0.7208333,0.7208333,0.7024119,-1.0047197
0.7308333,0.7308333,0.7124119,-0.9564284
0.7408333,0.7408333,0.7224119,-0.9110579
0.7508333,0.7508333,0.7324119,-0.8683949
