# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
-1.5180625,-1.5180625,-1.5088005,521825.4307740
-1.5080625,-1.5080625,-1.4988005,452546.8276069
-1.4980625,-1.4980625,-1.4888005,376004.3667689
-1.4880625,-1.4880625,-1.4788005,328635.1148391
-1.4780625,-1.4780625,-1.4688005,314830.5666985
-1.4680625,-1.4680625,-1.4588005,331281.3749635
-1.4580625,-1.4580625,-1.4488005,324225.6767417
-1.4480625,-1.4480625,-1.4388005,312356.0017436
-1.4380625,-1.4380625,-1.4288005,352399.4882464
-1.4280625,-1.4280625,-1.4188005,330988.3720716
-1.4180625,-1.4180625,-1.4088005,296768.3634611
-1.4080625,-1.4080625,-1.3988005,317906.9702403
-1.3980625,-1.3980625,-1.3888005,371760.5215079
-1.3880625,-1.3880625,-1.3788005,312768.6428467
-1.3780625,-1.3780625,-1.3688005,311687.6898548
-1.3680625,-1.3680625,-1.3588005,335663.7051201
-1.3580625,-1.3580625,-1.3488005,311898.9144165
-1.3480625,-1.3480625,-1.3388005,313761.7139545
-1.3380625,-1.3380625,-1.3288005,358417.1482992
-1.3280625,-1.3280625,-1.3188005,427744.4364247
-1.3180625,-1.3180625,-1.3088005,506856.7640891
-1.3080625,-1.3080625,-1.2988005,470987.9057724
-1.2980625,-1.2980625,-1.2888005,386973.1488133
-1.2880625,-1.2880625,-1.2788005,329898.8919088
-1.2780625,-1.2780625,-1.2688005,308046.5608775
-1.2680625,-1.2680625,-1.2588005,319618.1795557
-1.2580625,-1.2580625,-1.2488005,329070.4035876
-1.2480625,-1.2480625,-1.2388005,306934.3461353
-1.2380625,-1.2380625,-1.2288005,332321.1501684
-1.2280625,-1.2280625,-1.2188005,347208.4510856
-1.2180625,-1.2180625,-1.2088005,299933.3654102
-1.2080625,-1.2080625,-1.1988005,306098.8729271
-1.1980625,-1.1980625,-1.1888005,360246.2175638
-1.1880625,-1.1880625,-1.1788005,325201.2444845
-1.1780625,-1.1780625,-1.1688005,313075.7252365
-1.1680625,-1.1680625,-1.1588005,344146.3600497
-1.1580625,-1.1580625,-1.1488005,320284.7227665
-1.1480625,-1.1480625,-1.1388005,316293.8542834
-1.1380625,-1.1380625,-1.1288005,352334.8143297
-1.1280625,-1.1280625,-1.1188005,408381.5896577
-1.1180625,-1.1180625,-1.1088005,503627.3299446
-1.1080625,-1.1080625,-1.0988005,500897.6986329
-1.0980625,-1.0980625,-1.0888005,408910.2358597
-1.0880625,-1.0880625,-1.0788005,353247.8557108
-1.0780625,-1.0780625,-1.0688005,316773.6755165
-1.0680625,-1.0680625,-1.0588005,319882.6317567
-1.0580625,-1.0580625,-1.0488005,344084.9516165
-1.0480625,-1.0480625,-1.0388005,313068.2366320
-1.0380625,-1.0380625,-1.0288005,324644.1882766
-1.0280625,-1.0280625,-1.0188005,359755.2913930
-1.0180625,-1.0180625,-1.0088005,307610.8817843
-1.0080625,-1.0080625,-0.9988005,300730.2718035
-0.9980625,-0.9980625,-0.9888005,348548.4500715
-0.9880625,-0.9880625,-0.9788005,333985.9278393
-0.9780625,-0.9780625,-0.9688005,306389.6947515
-0.9680625,-0.9680625,-0.9588005,326573.1629647
-0.9580625,-0.9580625,-0.9488005,320186.7297791
-0.9480625,-0.9480625,-0.9388005,308590.6762827
-0.9380625,-0.9380625,-0.9288005,329230.6727422
-0.9280625,-0.9280625,-0.9188005,387880.1736630
-0.9180625,-0.9180625,-0.9088005,473522.6482530
-0.9080625,-0.9080625,-0.8988005,505558.8251996
-0.8980625,-0.8980625,-0.8888005,425813.2513314
-0.8880625,-0.8880625,-0.8788005,360071.3965846
-0.8780625,-0.8780625,-0.8688005,313733.6465220
-0.8680625,-0.8680625,-0.8588005,310952.6224709
-0.8580625,-0.8580625,-0.8488005,334827.5494581
-0.8480625,-0.8480625,-0.8388005,313219.9637395
-0.8380625,-0.8380625,-0.8288005,312270.4728348
-0.8280625,-0.8280625,-0.8188005,368892.2672856
-0.8180625,-0.8180625,-0.8088005,317954.9820172
-0.8080625,-0.8080625,-0.7988005,296147.6298943
-0.7980625,-0.7980625,-0.7888005,330681.6469839
-0.7880625,-0.7880625,-0.7788005,353346.3949384
-0.7780625,-0.7780625,-0.7688005,312536.6759602
-0.7680625,-0.7680625,-0.7588005,324208.2411060
-0.7580625,-0.7580625,-0.7488005,332270.8724174
-0.7480625,-0.7480625,-0.7388005,314744.9758327
-0.7380625,-0.7380625,-0.7288005,327879.8563399
-0.7280625,-0.7280625,-0.7188005,376648.3293685
-0.7180625,-0.7180625,-0.7088005,452357.2798446
-0.7080625,-0.7080625,-0.6988005,521827.3525939
-0.6980625,-0.6980625,-0.6888005,452548.7190579
-0.6880625,-0.6880625,-0.6788005,376006.3422221
-0.6780625,-0.6780625,-0.6688005,328637.2124391
-0.6680625,-0.6680625,-0.6588005,314832.7666126
-0.6580625,-0.6580625,-0.6488005,331283.6757706
-0.6480625,-0.6480625,-0.6388005,324228.2270161
-0.6380625,-0.6380625,-0.6288005,312358.6812042
-0.6280625,-0.6280625,-0.6188005,352402.3265604
-0.6180625,-0.6180625,-0.6088005,330991.4323984
-0.6080625,-0.6080625,-0.5988005,296771.5871249
-0.5980625,-0.5980625,-0.5888005,317910.3557973
-0.5880625,-0.5880625,-0.5788005,371763.9916975
-0.5780625,-0.5780625,-0.5688005,312772.2738130
-0.5680625,-0.5680625,-0.5588005,311691.5143031
-0.5580625,-0.5580625,-0.5488005,335667.4666300
-0.5480625,-0.5480625,-0.5388005,311902.8859960
-0.5380625,-0.5380625,-0.5288005,313765.8959005
-0.5280625,-0.5280625,-0.5188005,358421.5538994
-0.5180625,-0.5180625,-0.5088005,427749.0823234
-0.5080625,-0.5080625,-0.4988005,506861.6530576
-0.4980625,-0.4980625,-0.4888005,470993.0452949
-0.4880625,-0.4880625,-0.4788005,386978.5607554
-0.4780625,-0.4780625,-0.4688005,329904.6568224
-0.4680625,-0.4680625,-0.4588005,308052.6557186
-0.4580625,-0.4580625,-0.4488005,319624.6164800
-0.4480625,-0.4480625,-0.4388005,329077.8905343
-0.4380625,-0.4380625,-0.4288005,306942.3123685
-0.4280625,-0.4280625,-0.4188005,332329.6397816
-0.4180625,-0.4180625,-0.4088005,347218.2801043
-0.4080625,-0.4080625,-0.3988005,299943.8913446
-0.3980625,-0.3980625,-0.3888005,306110.3544193
-0.3880625,-0.3880625,-0.3788005,360259.1565892
-0.3780625,-0.3780625,-0.3688005,325214.0147316
-0.3680625,-0.3680625,-0.3588005,313090.0453681
-0.3580625,-0.3580625,-0.3488005,344162.8027071
-0.3480625,-0.3480625,-0.3388005,320297.7453959
-0.3380625,-0.3380625,-0.3288005,316308.0333774
-0.3280625,-0.3280625,-0.3188005,352350.3443272
-0.3180625,-0.3180625,-0.3088005,408399.0470481
-0.3080625,-0.3080625,-0.2988005,503647.8902608
-0.2980625,-0.2980625,-0.2888005,500922.4534467
-0.2880625,-0.2880625,-0.2788005,408939.1884862
-0.2780625,-0.2780625,-0.2688005,353282.3642764
-0.2680625,-0.2680625,-0.2588005,316819.1469024
-0.2580625,-0.2580625,-0.2488005,319943.5085371
-0.2480625,-0.2480625,-0.2388005,344552.4164849
-0.2380625,-0.2380625,-0.2288005,313862.9966538
-0.2280625,-0.2280625,-0.2188005,326014.6018231
-0.2180625,-0.2180625,-0.2088005,361417.9556631
-0.2080625,-0.2080625,-0.1988005,309128.9226381
-0.1980625,-0.1980625,-0.1888005,301952.0711345
-0.1880625,-0.1880625,-0.1788005,351561.1152151
-0.1780625,-0.1780625,-0.1688005,336792.1063675
-0.1680625,-0.1680625,-0.1588005,310237.9224516
-0.1580625,-0.1580625,-0.1488005,331592.6656603
-0.1480625,-0.1480625,-0.1388005,322797.8300156
-0.1380625,-0.1380625,-0.1288005,312904.1046256
-0.1280625,-0.1280625,-0.1188005,337277.6400107
-0.1180625,-0.1180625,-0.1088005,398797.0001324
