# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
-0.1527207,-0.1527207,0.0000000,10031.3368093
-0.1427207,-0.1427207,0.0100000,10146.2067782
-0.1327207,-0.1327207,0.0200000,12160.3372828
-0.1227207,-0.1227207,0.0300000,16977.5100120
-0.1127207,-0.1127207,0.0400000,26954.2581012
-0.1027207,-0.1027207,0.0500000,29625.0547065
-0.0927207,-0.0927207,0.0600000,20061.9962675
-0.0827207,-0.0827207,0.0700000,14417.9823656
-0.0727207,-0.0727207,0.0800000,11360.0727188
-0.0627207,-0.0627207,0.0900000,9725.7862702
-0.0527207,-0.0527207,0.1000000,8745.4215222
-0.0427207,-0.0427207,0.1100000,7522.7158909
-0.0327207,-0.0327207,0.1200000,6611.5617218
-0.0227207,-0.0227207,0.1300000,5865.4011524
-0.0127207,-0.0127207,0.1400000,5180.5394763
-0.0027207,-0.0027207,0.1500000,4578.6561132
0.0072793,0.0072793,0.1600000,4024.5906832
0.0172793,0.0172793,0.1700000,3482.0663653
0.0272793,0.0272793,0.1800000,2746.3216158
0.0372793,0.0372793,0.1900000,1842.2659765
0.0472793,0.0472793,0.2000000,1239.1515773
0.0572793,0.0572793,0.2100000,840.0697512
0.0672793,0.0672793,0.2200000,572.8872834
0.0772793,0.0772793,0.2300000,391.5804494
0.0872793,0.0872793,0.2400000,265.8749210
0.0972793,0.0972793,0.2500000,179.4467799
0.1072793,0.1072793,0.2600000,120.3844585
0.1172793,0.1172793,0.2700000,79.9417451
0.1272793,0.1272793,0.2800000,52.2102630
0.1372793,0.1372793,0.2900000,33.2101998
0.1472793,0.1472793,0.3000000,20.2408249
0.1572793,0.1572793,0.3100000,11.4493710
0.1672793,0.1672793,0.3200000,5.5574836
0.1772793,0.1772793,0.3300000,1.6496042
0.1872793,0.1872793,0.3400000,-0.9510446
0.1972793,0.1972793,0.3500000,-2.6843111
0.2072793,0.2072793,0.3600000,-3.7921352
0.2172793,0.2172793,0.3700000,-4.4475621
0.2272793,0.2272793,0.3800000,-4.8187733
0.2372793,0.2372793,0.3900000,-5.0509028
0.2472793,0.2472793,0.4000000,-5.2140577
0.2572793,0.2572793,0.4100000,-5.2823874
0.2672793,0.2672793,0.4200000,-5.2269722
0.2772793,0.2772793,0.4300000,-5.0709442
0.2872793,0.2872793,0.4400000,-4.8660341
0.2972793,0.2972793,0.4500000,-4.6608641
0.3072793,0.3072793,0.4600000,-4.4843055
0.3172793,0.3172793,0.4700000,-4.3435785
0.3272793,0.3272793,0.4800000,-4.2324807
0.3372793,0.3372793,0.4900000,-4.1430736
0.3472793,0.3472793,0.5000000,-4.0717397
0.3572793,0.3572793,0.5100000,-4.0159484
0.3672793,0.3672793,0.5200000,-3.9662936
0.3772793,0.3772793,0.5300000,-3.9057467
0.3872793,0.3872793,0.5400000,-3.8247064
0.3972793,0.3972793,0.5500000,-3.7268665
0.4072793,0.4072793,0.5600000,-3.6207610
0.4172793,0.4172793,0.5700000,-3.5124638
0.4272793,0.4272793,0.5800000,-3.4043100
0.4372793,0.4372793,0.5900000,-3.2972371
0.4472793,0.4472793,0.6000000,-3.1922677
0.4572793,0.4572793,0.6100000,-3.0879381
0.4672793,0.4672793,0.6200000,-2.9771354
0.4772793,0.4772793,0.6300000,-2.8527898
0.4872793,0.4872793,0.6400000,-2.7145245
0.4972793,0.4972793,0.6500000,-2.5673214
0.5072793,0.5072793,0.6600000,-2.4174083
0.5172793,0.5172793,0.6700000,-2.2698724
0.5272793,0.5272793,0.6800000,-2.1280867
0.5372793,0.5372793,0.6900000,-1.9939543
0.5472793,0.5472793,0.7000000,-1.8683369
0.5572793,0.5572793,0.7100000,-1.7514304
0.5672793,0.5672793,0.7200000,-1.6430344
0.5772793,0.5772793,0.7300000,-1.5427314
0.5872793,0.5872793,0.7400000,-1.4499977
0.5972793,0.5972793,0.7500000,-1.3642711
0.6072793,0.6072793,0.7600000,-1.2849905
0.6172793,0.6172793,0.7700000,-1.2116171
0.6272793,0.6272793,0.7800000,-1.1436462
0.6372793,0.6372793,0.7900000,-1.0806113
0.6472793,0.6472793,0.8000000,-1.0220855
0.6572793,0.6572793,0.8100000,-0.9676801
0.6672793,0.6672793,0.8200000,-0.9170429
0.6772793,0.6772793,0.8300000,-0.8698547
0.6872793,0.6872793,0.8400000,-0.8258271
0.6972793,0.6972793,0.8500000,-0.7846992
0.7072793,0.7072793,0.8600000,-0.7462352
0.7172793,0.7172793,0.8700000,-0.7102214
0.7272793,0.7272793,0.8800000,-0.6764646
0.7372793,0.7372793,0.8900000,-0.6447892
0.7472793,0.7472793,0.9000000,-0.6150360
0.7572793,0.7572793,0.9100000,-0.5870602
0.7672793,0.7672793,0.9200000,-0.5607299
0.7772793,0.7772793,0.9300000,-0.5359251
0.7872793,0.7872793,0.9400000,-0.5125359
0.7972793,0.7972793,0.9500000,-0.4904622
0.8072793,0.8072793,0.9600000,-0.4696122
