# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
-0.1527207,-0.1527207,-0.0000001,17075.1033594,17075.1033594
-0.1427207,-0.1427207,0.0099999,14792.4167862,14792.4167862
-0.1327207,-0.1327207,0.0199999,9676.3774208,9676.3774208
-0.1227207,-0.1227207,0.0299999,6551.4683977,6551.4683977
-0.1127207,-0.1127207,0.0399999,4675.0348269,4675.0348269
-0.1027207,-0.1027207,0.0499999,3473.2767514,3473.2767514
-0.0927207,-0.0927207,0.0599999,2479.3515756,2479.3515756
-0.0827207,-0.0827207,0.0699999,1921.6443578,1921.6443578
-0.0727207,-0.0727207,0.0799999,1601.1767261,1577.1639973
-0.0627207,-0.0627207,0.0899999,1371.6575985,1347.6770876
-0.0527207,-0.0527207,0.0999999,1209.5791700,1185.6313857
-0.0427207,-0.0427207,0.1099999,1089.0693515,1065.1525598
-0.0327207,-0.0327207,0.1199999,862.1455884,839.1441604
-0.0227207,-0.0227207,0.1299999,640.2252363,617.0200737
-0.0127207,-0.0127207,0.1399999,482.3778638,459.4010319
-0.0027207,-0.0027207,0.1499999,371.2896810,349.2890186
0.0072793,0.0072793,0.1599999,289.4639295,269.4185574
0.0172793,0.0172793,0.1699999,225.5190242,204.0388914
0.0272793,0.0272793,0.1799999,176.4049048,155.2731208
0.0372793,0.0372793,0.1899999,138.5422658,117.9100961
0.0472793,0.0472793,0.1999999,108.8850781,88.7152517
0.0572793,0.0572793,0.2099999,82.7741006,65.0202879
0.0672793,0.0672793,0.2199999,58.5029993,40.2699251
0.0772793,0.0772793,0.2299999,41.7658478,24.0866711
0.0872793,0.0872793,0.2399999,30.3900895,13.1144576
0.0972793,0.0972793,0.2499999,22.5212230,5.3493709
0.1072793,0.1072793,0.2599999,16.8791581,-0.0562662
0.1172793,0.1172793,0.2699999,12.5379224,-3.7281863
0.1272793,0.1272793,0.2799999,8.9492274,-6.1843654
0.1372793,0.1372793,0.2899999,5.9021265,-7.7796895
0.1472793,0.1472793,0.2999999,3.3668225,-8.7623083
0.1572793,0.1572793,0.3099999,1.3148468,-9.4570388
0.1672793,0.1672793,0.3199999,-0.3314530,-9.8328870
0.1772793,0.1772793,0.3299999,-1.6401547,-9.8738829
0.1872793,0.1872793,0.3399999,-2.6632484,-9.6860895
