# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.1354785,-0.1354785,-0.0000001,34078.3318980,34078.3318980
-0.1254785,-0.1254785,0.0099999,26451.3209496,26451.3209496
-0.1154785,-0.1154785,0.0199999,22287.3868881,22287.3868881
-0.1054785,-0.1054785,0.0299999,20401.8923713,20401.8923713
-0.0954785,-0.0954785,0.0399999,20105.1478750,20105.1478750
-0.0854785,-0.0854785,0.0499999,17993.7886007,17993.7886007
-0.0754785,-0.0754785,0.0599999,16801.3671882,16801.3671882
-0.0654785,-0.0654785,0.0699999,18023.3536553,18023.3536553
-0.0554785,-0.0554785,0.0799999,18241.9696267,18241.9696267
-0.0454785,-0.0454785,0.0899999,15297.8800560,15297.8800560
-0.0354785,-0.0354785,0.0999999,12456.0846365,12456.0846365
-0.0254785,-0.0254785,0.1099999,10387.1833488,10387.1833488
-0.0154785,-0.0154785,0.1199999,8901.3107929,8901.3107929
-0.0054785,-0.0054785,0.1299999,7804.1922742,7804.1922742
0.0045215,0.0045215,0.1399999,6931.9588701,6931.9588701
0.0145215,0.0145215,0.1499999,5675.1165320,5675.1165320
0.0245215,0.0245215,0.1599999,4256.2869669,4256.2869669
0.0345215,0.0345215,0.1699999,3118.9738402,3118.9738402
0.0445215,0.0445215,0.1799999,2271.2017451,2271.2017451
0.0545215,0.0545215,0.1899999,1666.4377867,1648.2613987
0.0645215,0.0645215,0.1999999,1205.4199434,1187.3162991
0.0745215,0.0745215,0.2099999,864.1717131,846.2304048
0.0845215,0.0845215,0.2199999,613.0793726,595.3455924
0.0945215,0.0945215,0.2299999,430.1062468,412.6464476
0.1045215,0.1045215,0.2399999,298.2714088,281.1999716
0.1145215,0.1145215,0.2499999,204.3910966,187.8275209
0.1245215,0.1245215,0.2599999,136.4944345,122.3353948
0.1345215,0.1345215,0.2699999,87.5136424,74.0198883
0.1445215,0.1445215,0.2799999,54.8287933,42.2783742
0.1545215,0.1545215,0.2899999,33.3185587,21.7184353
0.1645215,0.1645215,0.2999999,19.1343865,8.4648184
0.1745215,0.1745215,0.3099999,9.7878726,0.0172186
0.1845215,0.1845215,0.3199999,3.6971380,-5.2553320
0.1945215,0.1945215,0.3299999,-0.1950310,-8.4266581
0.2045215,0.2045215,0.3399999,-2.6241398,-10.2091813
0.2145215,0.2145215,0.3499999,-4.1010257,-11.0785991
0.2245215,0.2245215,0.3599999,-4.9750164,-11.3544895
0.2345215,0.2345215,0.3699999,-5.4834122,-11.2560610
0.2445215,0.2445215,0.3799999,-5.7736757,-10.9201276
0.2545215,0.2545215,0.3899999,-5.8915121,-10.4415696
0.2645215,0.2645215,0.3999999,-5.8413533,-9.8905310
0.2745215,0.2745215,0.4099999,-5.6555478,-9.3043430
0.2845215,0.2845215,0.4199999,-5.3942767,-8.7829085
0.2945215,0.2945215,0.4299999,-5.1215465,-8.8034737
0.3045215,0.3045215,0.4399999,-4.8867169,-8.6370027
0.3145215,0.3145215,0.4499999,-4.7134141,-8.3489931
0.3245215,0.3245215,0.4599999,-4.5971063,-7.9857742
0.3345215,0.3345215,0.4699999,-4.5165931,-7.5808565
0.3445215,0.3445215,0.4799999,-4.4521015,-7.1565385
0.3545215,0.3545215,0.4899999,-4.3923142,-6.7279022
0.3645215,0.3645215,0.4999999,-4.3295385,-6.3058170
0.3745215,0.3745215,0.5099999,-4.2528825,-6.5708990
0.3845215,0.3845215,0.5199999,-4.1557320,-6.7519126
0.3945215,0.3945215,0.5299999,-4.0437653,-6.7412520
0.4045215,0.4045215,0.5399999,-3.9289009,-6.6045701
0.4145215,0.4145215,0.5499999,-3.8196106,-6.3821576
0.4245215,0.4245215,0.5599999,-3.7170548,-6.1058914
0.4345215,0.4345215,0.5699999,-3.6179361,-5.7989109
0.4445215,0.4445215,0.5799999,-3.5186661,-5.4776111
0.4545215,0.4545215,0.5899999,-3.4159861,-5.1534623
0.4645215,0.4645215,0.5999999,-3.3039932,-4.8343373
0.4745215,0.4745215,0.6099999,-3.1761054,-4.5254851
0.4845215,0.4845215,0.6199999,-3.0312123,-4.2359323
0.4945215,0.4945215,0.6299999,-2.8740711,-3.9813893
0.5045215,0.5045215,0.6399999,-2.7115492,-3.7336968
0.5145215,0.5145215,0.6499999,-2.5497261,-3.4940272
0.5245215,0.5245215,0.6599999,-2.3928985,-3.2727995
0.5345215,0.5345215,0.6699999,-2.2436639,-3.0623199
0.5445215,0.5445215,0.6799999,-2.1033436,-2.8710277
0.5545215,0.5545215,0.6899999,-1.9724064,-2.6938391
0.5645215,0.5645215,0.6999999,-1.8507938,-2.5242633
0.5745215,0.5745215,0.7099999,-1.7381434,-2.3631190
0.5845215,0.5845215,0.7199999,-1.6339335,-2.2117204
0.5945215,0.5945215,0.7299999,-1.5375722,-2.0700768
0.6045215,0.6045215,0.7399999,-1.4484517,-1.9383738
0.6145215,0.6145215,0.7499999,-1.3659787,-1.8163701
0.6245215,0.6245215,0.7599999,-1.2895911,-1.7035901
0.6345215,0.6345215,0.7699999,-1.2187662,-1.5994423
0.6445215,0.6445215,0.7799999,-1.1530234,-1.5032907
0.6545215,0.6545215,0.7899999,-1.0919241,-1.4145706
0.6645215,0.6645215,0.7999999,-1.0350697,-1.3326544
0.6745215,0.6745215,0.8099999,-0.9820993,-1.2568786
0.6845215,0.6845215,0.8199999,-0.9326860,-1.1867288
0.6945215,0.6945215,0.8299999,-0.8865345,-1.1217519
0.7045215,0.7045215,0.8399999,-0.8433779,-1.0614326
0.7145215,0.7145215,0.8499999,-0.8029744,-1.0053680
0.7245215,0.7245215,0.8599999,-0.7651052,-0.9531932
0.7345215,0.7345215,0.8699999,-0.7295723,-0.9045779
0.7445215,0.7445215,0.8799999,-0.6961956,-0.8592234
0.7545215,0.7545215,0.8899999,-0.6648118,-0.8169348
0.7645215,0.7645215,0.8999999,-0.6352722,-0.7773872
0.7745215,0.7745215,0.9099999,-0.6074415,-0.7403511
0.7845215,0.7845215,0.9199999,-0.5811962,-0.7056288
0.7945215,0.7945215,0.9299999,-0.5564235,-0.6730713
0.8045215,0.8045215,0.9399999,-0.5330202,-0.6425227
0.8145215,0.8145215,0.9499999,-0.5108919,-0.6137912
0.8245215,0.8245215,0.9599999,-0.4899518,-0.5867405
0.8345215,0.8345215,0.9699999,-0.4701205,-0.5612559
0.8445215,0.8445215,0.9799999,-0.4513247,-0.5372110
0.8545215,0.8545215,0.9899999,-0.4334972,-0.5145048
0.8645215,0.8645215,0.9999999,-0.4165758,-0.4930449
0.8745215,0.8745215,1.0099999,-0.4005032,-0.4727465
0.8845215,0.8845215,1.0199999,-0.3852266,-0.4535315
0.8945215,0.8945215,1.0299999,-0.3706969,-0.4353280
0.9045215,0.9045215,1.0399999,-0.3568688,-0.4180732
0.9145215,0.9145215,1.0499999,-0.3437003,-0.4017053
0.9245215,0.9245215,1.0599999,-0.3311523,-0.3861644
0.9345215,0.9345215,1.0699999,-0.3191887,-0.3713987
0.9445215,0.9445215,1.0799999,-0.3077758,-0.3573601
0.9545215,0.9545215,1.0899999,-0.2968821,-0.3440042
0.9645215,0.9645215,1.0999999,-0.2864786,-0.3312898
0.9745215,0.9745215,1.1099999,-0.2765379,-0.3191786
0.9845215,0.9845215,1.1199999,-0.2670347,-0.3076353
0.9945215,0.9945215,1.1299999,-0.2579452,-0.2966267
1.0045215,1.0045215,1.1399999,-0.2492472,-0.2861221
1.0145215,1.0145215,1.1499999,-0.2409199,-0.2760930
1.0245215,1.0245215,1.1599999,-0.2329439,-0.2665126
1.0345215,1.0345215,1.1699999,-0.2253010,-0.2573562
1.0445215,1.0445215,1.1799999,-0.2179741,-0.2486004
1.0545215,1.0545215,1.1899999,-0.2109471,-0.2402236
1.0645215,1.0645215,1.1999999,-0.2042049,-0.2322055
1.0745215,1.0745215,1.2099999,-0.1977335,-0.2245271
1.0845215,1.0845215,1.2199999,-0.1915194,-0.2171706
1.0945215,1.0945215,1.2299999,-0.1855502,-0.2101194
1.1045215,1.1045215,1.2399999,-0.1798140,-0.2033578
1.1145215,1.1145215,1.2499999,-0.1742997,-0.1968712
1.1245215,1.1245215,1.2599999,-0.1689969,-0.1906458
1.1345215,1.1345215,1.2699999,-0.1638956,-0.1846686
1.1445215,1.1445215,1.2799999,-0.1589865,-0.1789274
1.1545215,1.1545215,1.2899999,-0.1542607,-0.1734108
1.1645215,1.1645215,1.2999999,-0.1497100,-0.1681080
1.1745215,1.1745215,1.3099999,-0.1453263,-0.1630088
1.1845215,1.1845215,1.3199999,-0.1411023,-0.1581036
1.1945215,1.1945215,1.3299999,-0.1370309,-0.1533833
1.2045215,1.2045215,1.3399999,-0.1331053,-0.1488395
1.2145215,1.2145215,1.3499999,-0.1293193,-0.1444639
1.2245215,1.2245215,1.3599999,-0.1256668,-0.1402491
1.2345215,1.2345215,1.3699999,-0.1221421,-0.1361877
1.2445215,1.2445215,1.3799999,-0.1187397,-0.1322730
1.2545215,1.2545215,1.3899999,-0.1154546,-0.1284984
1.2645215,1.2645215,1.3999999,-0.1122819,-0.1248579
1.2745215,1.2745215,1.4099999,-0.1092168,-0.1213456
1.2845215,1.2845215,1.4199999,-0.1062550,-0.1179561
1.2945215,1.2945215,1.4299999,-0.1033922,-0.1146840
1.3045215,1.3045215,1.4399999,-0.1006246,-0.1115246
1.3145215,1.3145215,1.4499999,-0.0979481,-0.1084729
1.3245215,1.3245215,1.4599999,-0.0953593,-0.1055246
1.3345215,1.3345215,1.4699999,-0.0928547,-0.1026755
1.3445215,1.3445215,1.4799999,-0.0904309,-0.0999214
1.3545215,1.3545215,1.4899999,-0.0880849,-0.0972585
1.3645215,1.3645215,1.4999999,-0.0858135,-0.0946832
1.3745215,1.3745215,1.5099999,-0.0836141,-0.0921920
1.3845215,1.3845215,1.5199999,-0.0814837,-0.0897815
1.3945215,1.3945215,1.5299999,-0.0794199,-0.0874486
1.4045215,1.4045215,1.5399999,-0.0774201,-0.0851903
1.4145215,1.4145215,1.5499999,-0.0754819,-0.0830036
