# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol],UMincarbring(d)[kj/mol]
-0.0069147,-0.0069147,-0.0000000,318669.5862265,318669.5862265
0.0030853,0.0030853,0.0100000,271954.6152670,271954.6152670
0.0130853,0.0130853,0.0200000,267303.2297331,267303.2297331
0.0230853,0.0230853,0.0300000,302763.6871617,302763.6871617
0.0330853,0.0330853,0.0400000,261553.4185403,261553.4185403
0.0430853,0.0430853,0.0500000,236229.2475195,236229.2475195
0.0530853,0.0530853,0.0600000,222786.0378883,222786.0378883
0.0630853,0.0630853,0.0700000,207383.4144360,207383.4144360
0.0730853,0.0730853,0.0800000,202332.4853660,202332.4853660
0.0830853,0.0830853,0.0900000,179710.2055234,179710.2055234
0.0930853,0.0930853,0.1000000,139805.2872817,139805.2872817
0.1030853,0.1030853,0.1100000,106640.1735001,106640.1735001
0.1130853,0.1130853,0.1200000,79587.1303175,79587.1303175
0.1230853,0.1230853,0.1300000,58119.3751511,58119.3751511
0.1330853,0.1330853,0.1400000,41584.4767793,41584.4767793
0.1430853,0.1430853,0.1500000,29208.2196359,29208.2196359
0.1530853,0.1530853,0.1600000,19636.7266498,19636.7266498
0.1630853,0.1630853,0.1700000,13048.3543093,13048.3543093
0.1730853,0.1730853,0.1800000,8594.9034858,8594.9034858
0.1830853,0.1830853,0.1900000,5612.1679533,5612.1679533
0.1930853,0.1930853,0.2000000,3629.2851875,3629.2851875
0.2030853,0.2030853,0.2100000,2319.2058301,2319.2058301
0.2130853,0.2130853,0.2200000,1453.6656725,1427.9278552
0.2230853,0.2230853,0.2300000,880.6624354,855.4256725
0.2330853,0.2330853,0.2400000,517.6387070,493.6942858
0.2430853,0.2430853,0.2500000,287.5906482,265.3803973
0.2530853,0.2530853,0.2600000,142.7326880,122.0066598
0.2630853,0.2630853,0.2700000,52.6417516,32.9500306
0.2730853,0.2730853,0.2800000,-2.3677842,-21.3673963
0.2830853,0.2830853,0.2900000,-35.1420736,-53.3219668
0.2930853,0.2930853,0.3000000,-54.0116510,-70.9750434
0.3030853,0.3030853,0.3100000,-64.2448777,-79.5364607
0.3130853,0.3130853,0.3200000,-69.0602183,-82.3613315
0.3230853,0.3230853,0.3300000,-70.4091846,-81.6591960
0.3330853,0.3330853,0.3400000,-69.5626630,-78.8622376
0.3430853,0.3430853,0.3500000,-67.3183770,-74.9207600
0.3530853,0.3530853,0.3600000,-64.1966724,-70.4772675
0.3630853,0.3630853,0.3700000,-60.7633070,-66.4545663
0.3730853,0.3730853,0.3800000,-57.9097291,-64.9238520
0.3830853,0.3830853,0.3900000,-55.8848571,-62.2178806
0.3930853,0.3930853,0.4000000,-53.9923579,-59.9315105
0.4030853,0.4030853,0.4100000,-51.8421981,-57.2999540
0.4130853,0.4130853,0.4200000,-49.3876987,-54.1296608
0.4230853,0.4230853,0.4300000,-46.6872745,-50.7249943
0.4330853,0.4330853,0.4400000,-43.8330173,-47.2888174
0.4430853,0.4430853,0.4500000,-40.9221577,-43.9254988
0.4530853,0.4530853,0.4600000,-38.0426856,-40.7078721
0.4630853,0.4630853,0.4700000,-35.2642560,-37.6760892
0.4730853,0.4730853,0.4800000,-32.6339452,-34.8488895
0.4830853,0.4830853,0.4900000,-30.1779412,-32.2312238
0.4930853,0.4930853,0.5000000,-27.9064066,-29.8193975
0.5030853,0.5030853,0.5100000,-25.8186582,-27.6201396
0.5130853,0.5130853,0.5200000,-23.9073650,-25.6007819
0.5230853,0.5230853,0.5300000,-22.1615417,-23.7467845
0.5330853,0.5330853,0.5400000,-20.5685286,-22.0530875
0.5430853,0.5430853,0.5500000,-19.1152329,-20.5004753
