# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
-0.9410872,-0.9410872,-0.7392143,998344.5679790
-0.9310872,-0.9310872,-0.7292143,688027.5272633
-0.9210872,-0.9210872,-0.7192143,560571.6007859
-0.9110872,-0.9110872,-0.7092143,582287.9208401
-0.9010872,-0.9010872,-0.6992143,764040.3199308
-0.8910872,-0.8910872,-0.6892143,1144444.3095477
-0.8810872,-0.8810872,-0.6792143,1276310.3783071
-0.8710872,-0.8710872,-0.6692143,1413639.2502480
-0.8610872,-0.8610872,-0.6592143,1523681.5748638
-0.8510872,-0.8510872,-0.6492143,1596127.7951648
-0.8410872,-0.8410872,-0.6392143,1633438.7183757
-0.8310872,-0.8310872,-0.6292143,1651733.1785370
-0.8210872,-0.8210872,-0.6192143,1660128.7745131
-0.8110872,-0.8110872,-0.6092143,1660891.3826814
-0.8010872,-0.8010872,-0.5992143,1652920.7638970
-0.7910872,-0.7910872,-0.5892143,1635729.5398798
-0.7810872,-0.7810872,-0.5792143,1601143.0994107
-0.7710872,-0.7710872,-0.5692143,1532461.8032868
-0.7610872,-0.7610872,-0.5592143,1426282.9976778
-0.7510872,-0.7510872,-0.5492143,1289901.7952279
-0.7410872,-0.7410872,-0.5392143,1156295.2866879
-0.7310872,-0.7310872,-0.5292143,791547.2481746
-0.7210872,-0.7210872,-0.5192143,592524.5037580
-0.7110872,-0.7110872,-0.5092143,556286.8073102
-0.7010872,-0.7010872,-0.4992143,577735.9120846
-0.6910872,-0.6910872,-0.4892143,768644.2772413
-0.6810872,-0.6810872,-0.4792143,1190605.0674659
-0.6710872,-0.6710872,-0.4692143,1365371.4358645
-0.6610872,-0.6610872,-0.4592143,1485039.1097599
-0.6510872,-0.6510872,-0.4492143,1572545.4624934
-0.6410872,-0.6410872,-0.4392143,1622308.5232708
-0.6310872,-0.6310872,-0.4292143,1645648.1390356
-0.6210872,-0.6210872,-0.4192143,1658312.2009025
-0.6110872,-0.6110872,-0.4092143,1665246.5399599
-0.6010872,-0.6010872,-0.3992143,1657993.8211232
-0.5910872,-0.5910872,-0.3892143,1643524.1794125
-0.5810872,-0.5810872,-0.3792143,1618007.0887284
-0.5710872,-0.5710872,-0.3692143,1563916.2215921
-0.5610872,-0.5610872,-0.3592143,1471822.1878876
-0.5510872,-0.5510872,-0.3492143,1349379.8877437
-0.5410872,-0.5410872,-0.3392143,1217561.2354161
-0.5310872,-0.5310872,-0.3292143,911864.2170993
-0.5210872,-0.5210872,-0.3192143,645814.0255130
-0.5110872,-0.5110872,-0.3092143,545969.3943810
-0.5010872,-0.5010872,-0.2992143,467681.5272560
-0.4910872,-0.4910872,-0.2892143,471417.9912241
-0.4810872,-0.4810872,-0.2792143,561276.2958033
-0.4710872,-0.4710872,-0.2692143,828433.5556914
-0.4610872,-0.4610872,-0.2592143,1367408.4070213
-0.4510872,-0.4510872,-0.2492143,1428958.7269793
-0.4410872,-0.4410872,-0.2392143,1420497.2533289
