# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
-0.1210872,-0.1210872,0.0802297,1804.5869191,1036.4304390,inf
-0.1160872,-0.1160872,0.0852297,1602.0577512,916.1649859,inf
-0.1110872,-0.1110872,0.0902297,1415.0873295,805.2803800,inf
-0.1060872,-0.1060872,0.0952297,1243.8614469,703.8796729,inf
-0.1010872,-0.1010872,0.1002297,1088.2369063,611.8675032,inf
-0.0960872,-0.0960872,0.1052297,947.7983744,528.9843542,inf
-0.0910872,-0.0910872,0.1102297,821.9152076,454.8405217,inf
-0.0860872,-0.0860872,0.1152297,709.7951858,388.9481337,inf
-0.0810872,-0.0810872,0.1202297,610.5329568,330.7505030,inf
-0.0760872,-0.0760872,0.1252297,523.1519060,279.6488111,inf
-0.0710872,-0.0710872,0.1302297,446.6393207,235.0261454,inf
-0.0660872,-0.0660872,0.1352297,379.9759559,196.2681848,inf
-0.0610872,-0.0610872,0.1402297,322.1616531,162.7791647,inf
-0.0560872,-0.0560872,0.1452297,272.2376611,133.9922317,1635.5286177
-0.0510872,-0.0510872,0.1502297,229.3041836,109.3748698,1416.7119428
-0.0460872,-0.0460872,0.1552297,192.5306984,88.4313473,1227.1645887
-0.0410872,-0.0410872,0.1602297,161.1585852,70.7040096,1064.1212257
-0.0360872,-0.0360872,0.1652297,134.4987377,55.7741839,924.2924543
-0.0310872,-0.0310872,0.1702297,111.9277083,43.2625546,804.6312578
-0.0260872,-0.0260872,0.1752297,92.8842685,32.8285493,702.3946219
-0.0210872,-0.0210872,0.1802297,76.8663547,24.1682427,615.1360811
-0.0160872,-0.0160872,0.1852297,63.4268768,17.0103717,540.6889267
-0.0110872,-0.0110872,0.1902297,52.1635126,11.1111275,477.1465731
-0.0060872,-0.0060872,0.1952297,42.6942798,6.2507881,422.8412432
-0.0010872,-0.0010872,0.2002297,34.6294744,2.2360168,376.0750858
0.0039128,0.0039128,0.2052297,27.6041336,-1.0930523,329.4319475
0.0089128,0.0089128,0.2102297,21.3954498,-3.8585937,285.3918412
0.0139128,0.0139128,0.2152297,15.9521446,-6.1503782,247.9540805
0.0189128,0.0189128,0.2202297,11.2710264,-8.0386947,216.1086652
0.0239128,0.0239128,0.2252297,7.3072402,-9.5902251,188.8895024
0.0289128,0.0289128,0.2302297,3.9591432,-10.8857158,165.4915319
0.0339128,0.0339128,0.2352297,1.0283546,-12.0278929,145.2486607
0.0389128,0.0389128,0.2402297,-1.8391517,-13.1083987,127.5458073
0.0439128,0.0439128,0.2452297,-4.8913163,-14.1467662,107.4333363
0.0489128,0.0489128,0.2502297,-7.8998338,-15.0886827,83.1691579
0.0539128,0.0539128,0.2552297,-10.5264513,-15.8700267,62.6429216
0.0589128,0.0589128,0.2602297,-12.6463762,-16.4606979,45.7681068
0.0639128,0.0639128,0.2652297,-14.2789432,-16.8647952,31.9274284
0.0689128,0.0689128,0.2702297,-15.4911684,-17.1055883,20.5645799
0.0739128,0.0739128,0.2752297,-16.3568483,-17.2131337,11.2189970
0.0789128,0.0789128,0.2802297,-16.9436105,-17.2172513,3.5171107
0.0839128,0.0839128,0.2852297,-17.3099884,-17.1441540,-2.8421677
0.0889128,0.0889128,0.2902297,-17.5057624,-17.0150858,-8.1009583
0.0939128,0.0939128,0.2952297,-17.5731522,-16.8460453,-12.4538047
0.0989128,0.0989128,0.3002297,-17.5479236,-16.6481468,-16.0570111
0.1039128,0.1039128,0.3052297,-17.4600133,-16.4283807,-19.0362255
0.1089128,0.1089128,0.3102297,-17.3335736,-16.1905900,-21.4925761
0.1139128,0.1139128,0.3152297,-17.1866218,-15.9364975,-23.5076292
0.1189128,0.1189128,0.3202297,-17.0307310,-15.6666428,-25.1473890
0.1239128,0.1239128,0.3252297,-16.8712585,-15.3811447,-26.4655226
0.1289128,0.1289128,0.3302297,-16.7083747,-15.0802741,-27.5059607
0.1339128,0.1339128,0.3352297,-16.5387436,-14.7648831,-28.3050026
0.1389128,0.1389128,0.3402297,-16.3574037,-14.4367670,-28.8930393
0.1439128,0.1439128,0.3452297,-16.1593922,-14.0990019,-29.2960041
0.1489128,0.1489128,0.3502297,-15.9408702,-13.7562157,-29.5366731
0.1539128,0.1539128,0.3552297,-15.6997727,-13.4146418,-29.6359644
0.1589128,0.1589128,0.3602297,-15.4361599,-13.0817783,-29.6144158
0.1639128,0.1639128,0.3652297,-15.1524389,-12.7655363,-29.4939569
0.1689128,0.1689128,0.3702297,-14.8534853,-12.4729081,-29.2997687
0.1739128,0.1739128,0.3752297,-14.5465191,-12.2084034,-29.0612699
0.1789128,0.1789128,0.3802297,-14.2405145,-11.9728158,-28.8103627
0.1839128,0.1839128,0.3852297,-13.9449868,-11.7631118,-28.5753499
0.1889128,0.1889128,0.3902297,-13.6682097,-11.5739643,-28.3720794
0.1939128,0.1939128,0.3952297,-13.4152799,-11.4005505,-28.1981707
0.1989128,0.1989128,0.4002297,-13.1869030,-11.2412547,-28.0355285
0.2039128,0.2039128,0.4052297,-12.9798511,-11.0987782,-27.8594595
0.2089128,0.2089128,0.4102297,-12.7893047,-10.9792429,-27.6479565
0.2139128,0.2139128,0.4152297,-12.6120127,-10.8902794,-27.3869704
0.2189128,0.2189128,0.4202297,-12.4485250,-10.8391391,-27.0718043
0.2239128,0.2239128,0.4252297,-12.3035022,-10.8308440,-26.7064054
0.2289128,0.2289128,0.4302297,-12.1846080,-10.8664460,-26.3016943
0.2339128,0.2339128,0.4352297,-12.1009243,-10.9425304,-25.8730952
0.2389128,0.2389128,0.4402297,-12.0609465,-11.0527647,-25.4371065
0.2439128,0.2439128,0.4452297,-12.0700519,-11.1894473,-25.0072741
0.2489128,0.2489128,0.4502297,-12.1286111,-11.3422721,-24.5910137
0.2539128,0.2539128,0.4552297,-12.2318154,-11.4962359,-24.1892322
0.2589128,0.2589128,0.4602297,-12.3697904,-11.6328903,-23.7993896
0.2639128,0.2639128,0.4652297,-12.5268390,-11.7347387,-23.4203058
0.2689128,0.2689128,0.4702297,-12.6821454,-11.7889863,-23.0562436
0.2739128,0.2739128,0.4752297,-12.8137135,-11.7883432,-22.7192563
0.2789128,0.2789128,0.4802297,-12.9031834,-11.7297861,-22.4295654
0.2839128,0.2839128,0.4852297,-12.9382736,-11.6133474,-22.2120119
0.2889128,0.2889128,0.4902297,-12.9124864,-11.4417140,-22.0864884
0.2939128,0.2939128,0.4952297,-12.8238755,-11.2200600,-22.0557460
0.2989128,0.2989128,0.5002297,-12.6741561,-10.9555286,-22.0992845
0.3039128,0.3039128,0.5052297,-12.4680978,-10.6563745,-22.1786873
0.3089128,0.3089128,0.5102297,-12.2127785,-10.3310685,-22.2505656
0.3139128,0.3139128,0.5152297,-11.9166367,-9.9876019,-22.2783410
0.3189128,0.3189128,0.5202297,-11.5885265,-9.6330634,-22.2375334
0.3239128,0.3239128,0.5252297,-11.2369699,-9.2734531,-22.1154205
0.3289128,0.3289128,0.5302297,-10.8696776,-8.9136633,-21.9084578
0.3339128,0.3339128,0.5352297,-10.4933103,-8.5575562,-21.6196535
0.3389128,0.3389128,0.5402297,-10.1134172,-8.2080888,-21.2564289
0.3439128,0.3439128,0.5452297,-9.7344841,-7.8674534,-20.8288664
0.3489128,0.3489128,0.5502297,-9.3600402,-7.5372126,-20.3482738
0.3539128,0.3539128,0.5552297,-8.9927883,-7.2184223,-19.8260859
