# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
-0.9218813,-0.9218813,-0.9143947,603117.9618542
-0.9118813,-0.9118813,-0.9043947,603445.6412175
-0.9018813,-0.9018813,-0.8943947,482018.1959180
-0.8918813,-0.8918813,-0.8843947,397738.8458066
-0.8818813,-0.8818813,-0.8743947,368905.3607029
-0.8718813,-0.8718813,-0.8643947,382044.5275206
-0.8618813,-0.8618813,-0.8543947,424912.1601053
-0.8518813,-0.8518813,-0.8443947,382926.3252353
-0.8418813,-0.8418813,-0.8343947,393612.7421621
-0.8318813,-0.8318813,-0.8243947,403601.8863807
-0.8218813,-0.8218813,-0.8143947,375148.7394429
-0.8118813,-0.8118813,-0.8043947,371653.1613103
-0.8018813,-0.8018813,-0.7943947,394336.9995521
-0.7918813,-0.7918813,-0.7843947,407694.6192875
-0.7818813,-0.7818813,-0.7743947,382250.6522339
-0.7718813,-0.7718813,-0.7643947,413953.3392751
-0.7618813,-0.7618813,-0.7543947,393156.0269885
-0.7518813,-0.7518813,-0.7443947,370954.0486601
-0.7418813,-0.7418813,-0.7343947,389113.8415926
-0.7318813,-0.7318813,-0.7243947,458618.5356055
-0.7218813,-0.7218813,-0.7143947,552844.6797769
-0.7118813,-0.7118813,-0.7043947,623414.4996298
-0.7018813,-0.7018813,-0.6943947,513484.5281233
-0.6918813,-0.6918813,-0.6843947,439885.9585906
-0.6818813,-0.6818813,-0.6743947,378890.5745925
-0.6718813,-0.6718813,-0.6643947,374040.6194299
-0.6618813,-0.6618813,-0.6543947,407484.2258025
-0.6518813,-0.6518813,-0.6443947,390823.4311831
-0.6418813,-0.6418813,-0.6343947,378580.7229143
-0.6318813,-0.6318813,-0.6243947,432341.6556648
-0.6218813,-0.6218813,-0.6143947,378749.2080756
-0.6118813,-0.6118813,-0.6043947,365199.3482465
-0.6018813,-0.6018813,-0.5943947,377240.3617180
-0.5918813,-0.5918813,-0.5843947,424915.5766714
-0.5818813,-0.5818813,-0.5743947,377901.2422815
-0.5718813,-0.5718813,-0.5643947,387215.7021055
-0.5618813,-0.5618813,-0.5543947,406467.1037076
-0.5518813,-0.5518813,-0.5443947,372305.2704841
-0.5418813,-0.5418813,-0.5343947,375274.0767568
-0.5318813,-0.5318813,-0.5243947,431262.7103695
-0.5218813,-0.5218813,-0.5143947,515132.4942987
-0.5118813,-0.5118813,-0.5043947,616575.4652741
-0.5018813,-0.5018813,-0.4943947,567931.0268496
-0.4918813,-0.4918813,-0.4843947,466783.5609235
-0.4818813,-0.4818813,-0.4743947,386644.2209173
-0.4718813,-0.4718813,-0.4643947,368639.5861567
-0.4618813,-0.4618813,-0.4543947,390008.3424894
-0.4518813,-0.4518813,-0.4443947,413510.9908043
-0.4418813,-0.4418813,-0.4343947,379863.4218934
-0.4318813,-0.4318813,-0.4243947,405938.2914074
-0.4218813,-0.4218813,-0.4143947,393118.2732823
-0.4118813,-0.4118813,-0.4043947,373606.4382475
-0.4018813,-0.4018813,-0.3943947,372559.8506363
-0.3918813,-0.3918813,-0.3843947,405545.1449714
-0.3818813,-0.3818813,-0.3743947,395547.1716186
-0.3718813,-0.3718813,-0.3643947,385456.5653359
-0.3618813,-0.3618813,-0.3543947,418737.9482437
-0.3518813,-0.3518813,-0.3443947,384945.2345518
-0.3418813,-0.3418813,-0.3343947,371359.8914458
-0.3318813,-0.3318813,-0.3243947,400330.8199877
-0.3218813,-0.3218813,-0.3143947,472586.2538971
-0.3118813,-0.3118813,-0.3043947,585637.2804124
-0.3018813,-0.3018813,-0.2943947,608621.8307235
-0.2918813,-0.2918813,-0.2843947,494518.9559050
-0.2818813,-0.2818813,-0.2743947,419788.3941412
-0.2718813,-0.2718813,-0.2643947,374001.9063087
-0.2618813,-0.2618813,-0.2543947,378477.0873052
-0.2518813,-0.2518813,-0.2443947,412238.2305790
-0.2418813,-0.2418813,-0.2343947,383613.4843922
-0.2318813,-0.2318813,-0.2243947,384109.7306856
-0.2218813,-0.2218813,-0.2143947,416085.5246318
-0.2118813,-0.2118813,-0.2043947,373158.7692520
-0.2018813,-0.2018813,-0.1943947,363220.1433453
-0.1918813,-0.1918813,-0.1843947,379622.9540947
-0.1818813,-0.1818813,-0.1743947,402096.7411154
-0.1718813,-0.1718813,-0.1643947,353174.2181814
-0.1618813,-0.1618813,-0.1543947,367252.4292438
-0.1518813,-0.1518813,-0.1443947,384624.0845667
-0.1418813,-0.1418813,-0.1343947,347992.7245185
-0.1318813,-0.1318813,-0.1243947,343303.7671600
-0.1218813,-0.1218813,-0.1143947,382476.2289859
-0.1118813,-0.1118813,-0.1043947,453221.9698926
-0.1018813,-0.1018813,-0.0943947,541563.5141954
-0.0918813,-0.0918813,-0.0843947,502554.9543618
-0.0818813,-0.0818813,-0.0743947,416452.3143274
-0.0718813,-0.0718813,-0.0643947,354767.9156621
-0.0618813,-0.0618813,-0.0543947,343477.5700732
-0.0518813,-0.0518813,-0.0443947,372807.9342923
-0.0418813,-0.0418813,-0.0343947,343536.0156803
-0.0318813,-0.0318813,-0.0243947,339436.2062763
-0.0218813,-0.0218813,-0.0143947,361791.7334860
-0.0118813,-0.0118813,-0.0043947,301179.5306879
-0.0018813,-0.0018813,0.0056053,267259.0279892
0.0081187,0.0081187,0.0156053,246352.1372725
0.0181187,0.0181187,0.0256053,259560.9710140
0.0281187,0.0281187,0.0356053,272030.5916575
0.0381187,0.0381187,0.0456053,225389.0369393
0.0481187,0.0481187,0.0556053,190348.1833975
0.0581187,0.0581187,0.0656053,171600.0146556
0.0681187,0.0681187,0.0756053,165366.3624234
0.0781187,0.0781187,0.0856053,133729.9613129
0.0881187,0.0881187,0.0956053,103275.4250348
0.0981187,0.0981187,0.1056053,74747.7557486
0.1081187,0.1081187,0.1156053,52909.0191040
0.1181187,0.1181187,0.1256053,37375.1066568
0.1281187,0.1281187,0.1356053,26286.8518762
0.1381187,0.1381187,0.1456053,18372.9459533
0.1481187,0.1481187,0.1556053,12742.7411341
0.1581187,0.1581187,0.1656053,8759.7239821
0.1681187,0.1681187,0.1756053,5962.4079011
0.1781187,0.1781187,0.1856053,4013.8202659
0.1881187,0.1881187,0.1956053,2667.9562422
0.1981187,0.1981187,0.2056053,1766.8183197
0.2081187,0.2081187,0.2156053,1138.1645797
0.2181187,0.2181187,0.2256053,706.5643847
0.2281187,0.2281187,0.2356053,422.9578542
0.2381187,0.2381187,0.2456053,239.8152943
0.2481187,0.2481187,0.2556053,122.5252077
0.2581187,0.2581187,0.2656053,48.2317438
0.2681187,0.2681187,0.2756053,1.7126167
0.2781187,0.2781187,0.2856053,-26.8404409
