# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
-0.0074866,-0.0074866,0.0000000,4116.0181659,4116.0181659
0.0025134,0.0025134,0.0100000,3596.7225373,3596.7225373
0.0125134,0.0125134,0.0200000,3224.7379465,3224.7379465
0.0225134,0.0225134,0.0300000,2893.1452269,2893.1452269
0.0325134,0.0325134,0.0400000,2561.6860125,2561.6860125
0.0425134,0.0425134,0.0500000,2223.0833812,2223.0833812
0.0525134,0.0525134,0.0600000,1885.0613059,1885.0613059
0.0625134,0.0625134,0.0700000,1585.2007917,1560.2197994
0.0725134,0.0725134,0.0800000,1282.5536551,1258.7128066
0.0825134,0.0825134,0.0900000,1013.5903361,989.3078771
0.0925134,0.0925134,0.1000000,783.9368182,759.5701253
0.1025134,0.1025134,0.1100000,594.0507576,569.6893718
0.1125134,0.1125134,0.1200000,441.3300060,417.0786102
0.1225134,0.1225134,0.1300000,321.3868861,297.4664924
0.1325134,0.1325134,0.1400000,229.1397395,205.8354246
0.1425134,0.1425134,0.1500000,159.6390489,137.1111919
0.1525134,0.1525134,0.1600000,108.3217729,86.6001931
0.1625134,0.1625134,0.1700000,71.0331064,50.2172776
0.1725134,0.1725134,0.1800000,43.7358173,24.5625710
0.1825134,0.1825134,0.1900000,23.2470248,6.9024939
0.1925134,0.1925134,0.2000000,8.4350901,-5.4327446
0.2025134,0.2025134,0.2100000,-1.7854520,-14.5203365
0.2125134,0.2125134,0.2200000,-8.6652033,-20.0042346
0.2225134,0.2225134,0.2300000,-13.1600742,-22.9967975
0.2325134,0.2325134,0.2400000,-15.9680681,-24.3170332
0.2425134,0.2425134,0.2500000,-17.6243118,-24.6280531
0.2525134,0.2525134,0.2600000,-18.5206436,-24.5331715
0.2625134,0.2625134,0.2700000,-18.8991338,-24.0333288
0.2725134,0.2725134,0.2800000,-18.8770834,-23.0931211
0.2825134,0.2825134,0.2900000,-18.5213190,-21.8532363
0.2925134,0.2925134,0.3000000,-17.8871250,-20.4584048
0.3025134,0.3025134,0.3100000,-17.0299469,-19.0087955
0.3125134,0.3125134,0.3200000,-16.0187219,-17.5694569
0.3225134,0.3225134,0.3300000,-14.9275778,-16.1810243
0.3325134,0.3325134,0.3400000,-13.8191887,-14.8673611
0.3425134,0.3425134,0.3500000,-12.7376768,-13.6409720
0.3525134,0.3525134,0.3600000,-11.7100368,-12.5299319
0.3625134,0.3625134,0.3700000,-10.7505008,-11.5033251
0.3725134,0.3725134,0.3800000,-9.8647817,-10.5695363
0.3825134,0.3825134,0.3900000,-9.0532950,-9.7147980
