# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
-0.1169568,-0.1169568,0.0931129,1658.1106985,0.0000000
-0.1119568,-0.1119568,0.0981129,1465.4447916,0.0000000
-0.1069568,-0.1069568,0.1031129,1288.7817526,0.0000000
-0.1019568,-0.1019568,0.1081129,1128.0140595,0.0000000
-0.0969568,-0.0969568,0.1131129,982.7487333,0.0000000
-0.0919568,-0.0919568,0.1181129,852.3654426,0.0000000
-0.0869568,-0.0869568,0.1231129,736.0710181,0.0000000
-0.0819568,-0.0819568,0.1281129,632.9477455,0.0000000
-0.0769568,-0.0769568,0.1331129,541.9938144,0.0000000
-0.0719568,-0.0719568,0.1381129,462.1557563,0.0000000
-0.0669568,-0.0669568,0.1431129,392.3554579,0.0000000
-0.0619568,-0.0619568,0.1481129,331.5195679,0.0000000
-0.0569568,-0.0569568,0.1531129,278.6230279,0.0000000
-0.0519568,-0.0519568,0.1581129,232.7434785,0.0000000
-0.0469568,-0.0469568,0.1631129,193.0895565,0.0000000
-0.0419568,-0.0419568,0.1681129,158.9771218,0.0000000
-0.0369568,-0.0369568,0.1731129,129.7864988,0.0000000
-0.0319568,-0.0319568,0.1781129,104.9398857,0.0000000
-0.0269568,-0.0269568,0.1831129,83.8993939,0.0000000
-0.0219568,-0.0219568,0.1881129,66.1710020,0.0000000
-0.0169568,-0.0169568,0.1931129,51.3057750,0.0000000
-0.0119568,-0.0119568,0.1981129,38.8964706,0.0000000
-0.0069568,-0.0069568,0.2031129,28.5723922,0.0000000
-0.0019568,-0.0019568,0.2081129,19.9985033,0.0000000
0.0030432,0.0030432,0.2131129,12.8823359,0.0000000
0.0080432,0.0080432,0.2181129,6.9831897,0.0000000
0.0130432,0.0130432,0.2231129,2.1124484,0.0000000
0.0180432,0.0180432,0.2281129,-1.8785897,0.0000000
0.0230432,0.0230432,0.2331129,-5.1151442,0.0000000
0.0280432,0.0280432,0.2381129,-7.7102639,0.0000000
0.0330432,0.0330432,0.2431129,-9.7694730,0.0000000
0.0380432,0.0380432,0.2481129,-11.3937933,0.0000000
0.0430432,0.0430432,0.2531129,-12.6837982,0.0000000
0.0480432,0.0480432,0.2581129,-13.7370203,0.0000000
0.0530432,0.0530432,0.2631129,-14.6302283,0.0000000
0.0580432,0.0580432,0.2681129,-15.3994656,0.0000000
