# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.9175600,-0.9175600,-0.9106453,25956.6303031,15569.3113015,120881.3162411,913.5871835,84353.4609765,2036835.3973595,24941784.8652935,197631398.5757742
-0.9125600,-0.9125600,-0.9056453,26429.2062493,15855.8049924,123045.4354331,933.0799057,85864.8304782,2072756.5328754,25380386.6625850,201104169.9930607
-0.9075600,-0.9075600,-0.9006453,27855.0194012,16720.2055778,129574.6026222,991.9084362,90424.6531563,2181127.6615817,26703604.7184624,211581160.6509293
-0.9025600,-0.9025600,-0.8956453,30245.9878514,18169.7907747,140522.7604318,1090.6138782,98070.6224354,2362834.5722067,28922232.0121844,229147781.1901563
-0.8975600,-0.8975600,-0.8906453,33618.7737005,20214.7451676,155965.2028414,1229.9621173,108855.3554687,2619111.8237184,32051306.7580415,253923028.0785449
-0.8925600,-0.8925600,-0.8856453,37753.6624239,22719.7471767,174921.4384931,1398.8895903,122093.2445393,2934071.8143764,35897753.3240387,284380032.1476124
-0.8875600,-0.8875600,-0.8806453,39909.8872017,24027.2867328,184791.4031782,1488.1622049,128986.3361817,3097834.0010142,37897159.0362112,300210661.5572730
-0.8825600,-0.8825600,-0.8756453,42136.8230488,25380.8974794,194946.4319277,1583.3717066,136079.8016428,3265743.5238964,39945824.4818421,316428498.8062828
-0.8775600,-0.8775600,-0.8706453,38752.8549631,23328.7802942,179457.4228716,1443.2004782,125262.3928380,3008763.3205290,36808331.8657514,291586938.7183864
-0.8725600,-0.8725600,-0.8656453,36505.0980909,21967.3809213,169148.5720018,1351.6895693,118063.4510070,2837418.8882824,34715643.6613473,275016278.7151012
-0.8675600,-0.8675600,-0.8606453,32454.8774161,19524.5793512,150448.5575670,1196.5041138,105008.8848518,2524728.8549884,30892231.0048866,244732076.0385783
-0.8625600,-0.8625600,-0.8556453,26655.8084455,16010.0370554,123879.2240918,958.3197475,86453.9266318,2083521.4625126,25504567.1275668,202072558.8984741
