# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
-1.5140909,-1.5140909,-1.4501266,247107.6236049
-1.5040909,-1.5040909,-1.4401266,269113.4519494
-1.4940909,-1.4940909,-1.4301266,318180.3660365
-1.4840909,-1.4840909,-1.4201266,352127.3733548
-1.4740909,-1.4740909,-1.4101266,312794.2889996
-1.4640909,-1.4640909,-1.4001266,212108.1899087
-1.4540909,-1.4540909,-1.3901266,165951.2945643
-1.4440909,-1.4440909,-1.3801266,138334.2740482
-1.4340909,-1.4340909,-1.3701266,149786.0907242
-1.4240909,-1.4240909,-1.3601266,187732.7476519
-1.4140909,-1.4140909,-1.3501266,262096.0797967
-1.4040909,-1.4040909,-1.3401266,330399.6528683
-1.3940909,-1.3940909,-1.3301266,348598.0423911
-1.3840909,-1.3840909,-1.3201266,290323.1643612
-1.3740909,-1.3740909,-1.3101266,254092.3014266
-1.3640909,-1.3640909,-1.3001266,253043.6430235
-1.3540909,-1.3540909,-1.2901266,291518.9594498
-1.3440909,-1.3440909,-1.2801266,357606.2114824
-1.3340909,-1.3340909,-1.2701266,321144.4980724
-1.3240909,-1.3240909,-1.2601266,239215.2293746
-1.3140909,-1.3140909,-1.2501266,179323.0331134
-1.3040909,-1.3040909,-1.2401266,144500.9889177
-1.2940909,-1.2940909,-1.2301266,139898.2063088
-1.2840909,-1.2840909,-1.2201266,171596.5254772
-1.2740909,-1.2740909,-1.2101266,221826.2411809
-1.2640909,-1.2640909,-1.2001266,313064.1601086
-1.2540909,-1.2540909,-1.1901266,362424.7993441
-1.2440909,-1.2440909,-1.1801266,310575.0715117
-1.2340909,-1.2340909,-1.1701266,265280.0355083
-1.2240909,-1.2240909,-1.1601266,248659.7468683
-1.2140909,-1.2140909,-1.1501266,270785.5953054
-1.2040909,-1.2040909,-1.1401266,322558.8809881
-1.1940909,-1.1940909,-1.1301266,338031.6368655
-1.1840909,-1.1840909,-1.1201266,285626.3564991
-1.1740909,-1.1740909,-1.1101266,198331.9357910
-1.1640909,-1.1640909,-1.1001266,157850.2094356
-1.1540909,-1.1540909,-1.0901266,136146.3089923
-1.1440909,-1.1440909,-1.0801266,153188.2087323
-1.1340909,-1.1340909,-1.0701266,194329.8531106
-1.1240909,-1.1240909,-1.0601266,276648.6984803
-1.1140909,-1.1140909,-1.0501266,334992.3829306
-1.1040909,-1.1040909,-1.0401266,330242.6175720
-1.0940909,-1.0940909,-1.0301266,275794.4540967
-1.0840909,-1.0840909,-1.0201266,249433.7709674
-1.0740909,-1.0740909,-1.0101266,258291.7849224
-1.0640909,-1.0640909,-1.0001266,300498.6053804
-1.0540909,-1.0540909,-0.9901266,367334.7294268
-1.0440909,-1.0440909,-0.9801266,314211.2562899
-1.0340909,-1.0340909,-0.9701266,224599.0533334
-1.0240909,-1.0240909,-0.9601266,172256.2770752
-1.0140909,-1.0140909,-0.9501266,138510.5238834
-1.0040909,-1.0040909,-0.9401266,139961.7053776
-0.9940909,-0.9940909,-0.9301266,173857.2395122
-0.9840909,-0.9840909,-0.9201266,228450.4182635
-0.9740909,-0.9740909,-0.9101266,314515.9224166
-0.9640909,-0.9640909,-0.9001266,368237.5922296
-0.9540909,-0.9540909,-0.8901266,296890.9365190
-0.9440909,-0.9440909,-0.8801266,255921.2309480
-0.9340909,-0.9340909,-0.8701266,251717.6886463
-0.9240909,-0.9240909,-0.8601266,282863.6730233
-0.9140909,-0.9140909,-0.8501266,337859.8224318
-0.9040909,-0.9040909,-0.8401266,333913.8000024
-0.8940909,-0.8940909,-0.8301266,273613.9599299
-0.8840909,-0.8840909,-0.8201266,193075.7906688
-0.8740909,-0.8740909,-0.8101266,154199.7912149
-0.8640909,-0.8640909,-0.8001266,138122.5465083
-0.8540909,-0.8540909,-0.7901266,163155.5697730
-0.8440909,-0.8440909,-0.7801266,204255.7863674
-0.8340909,-0.8340909,-0.7701266,296840.0141637
-0.8240909,-0.8240909,-0.7601266,344995.9448294
-0.8140909,-0.8140909,-0.7501266,317598.6928311
-0.8040909,-0.8040909,-0.7401266,267402.0644690
-0.7940909,-0.7940909,-0.7301266,249233.3269068
-0.7840909,-0.7840909,-0.7201266,268165.7592618
-0.7740909,-0.7740909,-0.7101266,314841.3701232
-0.7640909,-0.7640909,-0.7001266,359105.6356837
-0.7540909,-0.7540909,-0.6901266,312262.3653475
-0.7440909,-0.7440909,-0.6801266,216851.5692321
-0.7340909,-0.7340909,-0.6701266,169677.8503599
-0.7240909,-0.7240909,-0.6601266,139098.7396422
-0.7140909,-0.7140909,-0.6501266,146969.2685811
-0.7040909,-0.7040909,-0.6401266,182591.7973594
-0.6940909,-0.6940909,-0.6301266,246366.5227833
-0.6840909,-0.6840909,-0.6201266,324279.1293974
-0.6740909,-0.6740909,-0.6101266,358513.8619701
-0.6640909,-0.6640909,-0.6001266,294259.9611388
-0.6540909,-0.6540909,-0.5901266,256631.3559928
-0.6440909,-0.6440909,-0.5801266,255996.3581199
-0.6340909,-0.6340909,-0.5701266,293612.7999531
-0.6240909,-0.6240909,-0.5601266,356379.3208903
-0.6140909,-0.6140909,-0.5501266,327217.1625824
-0.6040909,-0.6040909,-0.5401266,253896.3094311
-0.5940909,-0.5940909,-0.5301266,183758.1982677
-0.5840909,-0.5840909,-0.5201266,147028.6305083
-0.5740909,-0.5740909,-0.5101266,138834.4664233
-0.5640909,-0.5640909,-0.5001266,168156.7506481
-0.5540909,-0.5540909,-0.4901266,217999.5344522
-0.5440909,-0.5440909,-0.4801266,315619.0091934
-0.5340909,-0.5340909,-0.4701266,357553.0062828
-0.5240909,-0.5240909,-0.4601266,314629.9058620
-0.5140909,-0.5140909,-0.4501266,266714.3160555
-0.5040909,-0.5040909,-0.4401266,247128.4976947
-0.4940909,-0.4940909,-0.4301266,272010.1285306
-0.4840909,-0.4840909,-0.4201266,317122.1128092
-0.4740909,-0.4740909,-0.4101266,345540.6497778
-0.4640909,-0.4640909,-0.4001266,291063.1411609
-0.4540909,-0.4540909,-0.3901266,203991.0388519
-0.4440909,-0.4440909,-0.3801266,164773.2714887
-0.4340909,-0.4340909,-0.3701266,138064.3206590
-0.4240909,-0.4240909,-0.3601266,154231.9022776
-0.4140909,-0.4140909,-0.3501266,191262.7531024
-0.4040909,-0.4040909,-0.3401266,265071.2966184
-0.3940909,-0.3940909,-0.3301266,331599.1908827
-0.3840909,-0.3840909,-0.3201266,339695.3935739
-0.3740909,-0.3740909,-0.3101266,282706.0259551
-0.3640909,-0.3640909,-0.3001266,254418.1110717
-0.3540909,-0.3540909,-0.2901266,256004.6164271
-0.3440909,-0.3440909,-0.2801266,295702.1502075
-0.3340909,-0.3340909,-0.2701266,366297.8743157
-0.3240909,-0.3240909,-0.2601266,317963.2952557
-0.3140909,-0.3140909,-0.2501266,234850.8560074
-0.3040909,-0.3040909,-0.2401266,174329.5610042
-0.2940909,-0.2940909,-0.2301266,140159.3463409
-0.2840909,-0.2840909,-0.2201266,138113.3649124
-0.2740909,-0.2740909,-0.2101266,171756.4804807
-0.2640909,-0.2640909,-0.2001266,227929.5498430
-0.2540909,-0.2540909,-0.1901266,316832.1689464
-0.2440909,-0.2440909,-0.1801266,365505.4042901
-0.2340909,-0.2340909,-0.1701266,297623.7873693
-0.2240909,-0.2240909,-0.1601266,246413.0695140
-0.2140909,-0.2140909,-0.1501266,186441.3620245
-0.2040909,-0.2040909,-0.1401266,168389.6533693
-0.1940909,-0.1940909,-0.1301266,171590.0385909
-0.1840909,-0.1840909,-0.1201266,152054.2079708
-0.1740909,-0.1740909,-0.1101266,141052.1336897
-0.1640909,-0.1640909,-0.1001266,140297.2772237
-0.1540909,-0.1540909,-0.0901266,136461.7090599
-0.1440909,-0.1440909,-0.0801266,127094.7810700
-0.1340909,-0.1340909,-0.0701266,115960.6686292
-0.1240909,-0.1240909,-0.0601266,104711.9860526
-0.1140909,-0.1140909,-0.0501266,78276.1282210
-0.1040909,-0.1040909,-0.0401266,65032.5988286
-0.0940909,-0.0940909,-0.0301266,60399.9740796
-0.0840909,-0.0840909,-0.0201266,61993.7333637
-0.0740909,-0.0740909,-0.0101266,68833.3404822
-0.0640909,-0.0640909,-0.0001266,80385.1511829
-0.0540909,-0.0540909,0.0098734,96429.5103673
-0.0440909,-0.0440909,0.0198734,101204.3923413
-0.0340909,-0.0340909,0.0298734,104873.9074032
-0.0240909,-0.0240909,0.0398734,98205.8249096
-0.0140909,-0.0140909,0.0498734,86948.9035201
-0.0040909,-0.0040909,0.0598734,71136.1718392
0.0059091,0.0059091,0.0698734,54324.4969295
0.0159091,0.0159091,0.0798734,36413.4201171
0.0259091,0.0259091,0.0898734,27445.1930953
0.0359091,0.0359091,0.0998734,20032.4779891
0.0459091,0.0459091,0.1098734,15473.0834031
0.0559091,0.0559091,0.1198734,12377.8770431
0.0659091,0.0659091,0.1298734,10554.4223200
0.0759091,0.0759091,0.1398734,9771.1247756
0.0859091,0.0859091,0.1498734,9979.9042784
0.0959091,0.0959091,0.1598734,11296.5826524
0.1059091,0.1059091,0.1698734,8555.4258982
0.1159091,0.1159091,0.1798734,5982.3324326
0.1259091,0.1259091,0.1898734,4121.3957004
0.1359091,0.1359091,0.1998734,2799.4238968
0.1459091,0.1459091,0.2098734,1874.1970833
0.1559091,0.1559091,0.2198734,1252.4918359
0.1659091,0.1659091,0.2298734,814.8124905
0.1759091,0.1759091,0.2398734,518.0551856
0.1859091,0.1859091,0.2498734,318.1384593
0.1959091,0.1959091,0.2598734,184.9164282
0.2059091,0.2059091,0.2698734,97.5369397
0.2159091,0.2159091,0.2798734,40.9726425
0.2259091,0.2259091,0.2898734,4.9359012
0.2359091,0.2359091,0.2998734,-17.3696633
0.2459091,0.2459091,0.3098734,-30.5654242
0.2559091,0.2559091,0.3198734,-37.8397326
0.2659091,0.2659091,0.3298734,-41.3390207
0.2759091,0.2759091,0.3398734,-42.4515244
0.2859091,0.2859091,0.3498734,-42.0840217
0.2959091,0.2959091,0.3598734,-40.8373870
0.3059091,0.3059091,0.3698734,-39.0576393
0.3159091,0.3159091,0.3798734,-37.0049461
0.3259091,0.3259091,0.3898734,-35.0020698
0.3359091,0.3359091,0.3998734,-33.2841723
0.3459091,0.3459091,0.4098734,-31.8185125
0.3559091,0.3559091,0.4198734,-30.4493738
0.3659091,0.3659091,0.4298734,-29.0693246
0.3759091,0.3759091,0.4398734,-27.6470666
0.3859091,0.3859091,0.4498734,-26.2095490
0.3959091,0.3959091,0.4598734,-24.8376620
0.4059091,0.4059091,0.4698734,-23.6817464
0.4159091,0.4159091,0.4798734,-22.8762811
0.4259091,0.4259091,0.4898734,-22.3349174
0.4359091,0.4359091,0.4998734,-21.8424097
0.4459091,0.4459091,0.5098734,-21.2734413
0.4559091,0.4559091,0.5198734,-20.5932800
0.4659091,0.4659091,0.5298734,-19.8087989
0.4759091,0.4759091,0.5398734,-18.9567019
0.4859091,0.4859091,0.5498734,-18.0892556
0.4959091,0.4959091,0.5598734,-17.2416327
0.5059091,0.5059091,0.5698734,-16.4106242
0.5159091,0.5159091,0.5798734,-15.5635314
0.5259091,0.5259091,0.5898734,-14.6683792
0.5359091,0.5359091,0.5998734,-13.7246278
0.5459091,0.5459091,0.6098734,-12.7599998
0.5559091,0.5559091,0.6198734,-11.8092302
0.5659091,0.5659091,0.6298734,-10.9002047
0.5759091,0.5759091,0.6398734,-10.0503081
0.5859091,0.5859091,0.6498734,-9.2677734
0.5959091,0.5959091,0.6598734,-8.5543402
0.6059091,0.6059091,0.6698734,-7.9076983
0.6159091,0.6159091,0.6798734,-7.3233160
0.6259091,0.6259091,0.6898734,-6.7956676
0.6359091,0.6359091,0.6998734,-6.3189953
0.6459091,0.6459091,0.7098734,-5.8877442
0.6559091,0.6559091,0.7198734,-5.4967844
0.6659091,0.6659091,0.7298734,-5.1415009
0.6759091,0.6759091,0.7398734,-4.8178084
0.6859091,0.6859091,0.7498734,-4.5221249
0.6959091,0.6959091,0.7598734,-4.2513256
0.7059091,0.7059091,0.7698734,-4.0026914
0.7159091,0.7159091,0.7798734,-3.7738564
0.7259091,0.7259091,0.7898734,-3.5627604
0.7359091,0.7359091,0.7998734,-3.3676053
0.7459091,0.7459091,0.8098734,-3.1868182
0.7559091,0.7559091,0.8198734,-3.0190190
0.7659091,0.7659091,0.8298734,-2.8629928
0.7759091,0.7759091,0.8398734,-2.7176669
0.7859091,0.7859091,0.8498734,-2.5820910
0.7959091,0.7959091,0.8598734,-2.4554202
0.8059091,0.8059091,0.8698734,-2.3369017
0.8159091,0.8159091,0.8798734,-2.2258622
0.8259091,0.8259091,0.8898734,-2.1216976
0.8359091,0.8359091,0.8998734,-2.0238650
0.8459091,0.8459091,0.9098734,-1.9318748
0.8559091,0.8559091,0.9198734,-1.8452844
0.8659091,0.8659091,0.9298734,-1.7636928
0.8759091,0.8759091,0.9398734,-1.6867359
0.8859091,0.8859091,0.9498734,-1.6140823
0.8959091,0.8959091,0.9598734,-1.5454298
0.9059091,0.9059091,0.9698734,-1.4805025
0.9159091,0.9159091,0.9798734,-1.4190475
0.9259091,0.9259091,0.9898734,-1.3608333
