# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol],UMinwaterUCD(d)[kj/mol]
0.0191488,0.0191488,-0.0000000,28571.0914379,28571.0914379
0.0291488,0.0291488,0.0100000,25342.2281954,25342.2281954
0.0391488,0.0391488,0.0200000,21444.4187724,21444.4187724
0.0491488,0.0491488,0.0300000,17499.0539914,17499.0539914
0.0591488,0.0591488,0.0400000,13816.9138206,13816.9138206
0.0691488,0.0691488,0.0500000,10592.9126126,10592.9126126
0.0791488,0.0791488,0.0600000,7911.9471102,7911.9471102
0.0891488,0.0891488,0.0700000,5774.6247479,5774.6247479
0.0991488,0.0991488,0.0800000,4128.8427408,4128.8427408
0.1091488,0.1091488,0.0900000,2893.7281835,2893.7281835
0.1191488,0.1191488,0.1000000,1975.5668435,1975.5668435
0.1291488,0.1291488,0.1100000,1349.6127934,1326.8647878
0.1391488,0.1391488,0.1200000,899.3181297,876.5786303
0.1491488,0.1491488,0.1300000,591.1416833,568.4636857
0.1591488,0.1591488,0.1400000,382.5936926,360.1772356
0.1691488,0.1691488,0.1500000,242.5891058,220.9288190
0.1791488,0.1791488,0.1600000,149.0866600,128.8677542
0.1891488,0.1891488,0.1700000,87.2183551,68.7564155
0.1991488,0.1991488,0.1800000,46.7851863,30.1041511
0.2091488,0.2091488,0.1900000,20.6258822,5.7194848
0.2191488,0.2191488,0.2000000,3.7635588,-9.2765637
0.2291488,0.2291488,0.2100000,-7.1002830,-17.9767178
0.2391488,0.2391488,0.2200000,-13.9854997,-22.6136872
0.2491488,0.2491488,0.2300000,-18.1418615,-24.6626935
0.2591488,0.2591488,0.2400000,-20.4077295,-25.0952642
0.2691488,0.2691488,0.2500000,-21.3753614,-24.6306278
0.2791488,0.2791488,0.2600000,-21.4695324,-23.7281212
0.2891488,0.2891488,0.2700000,-20.9782115,-22.4881345
0.2991488,0.2991488,0.2800000,-20.0931258,-21.2601731
0.3091488,0.3091488,0.2900000,-18.9596773,-19.9262939
0.3191488,0.3191488,0.3000000,-17.6963580,-18.5278669
0.3291488,0.3291488,0.3100000,-16.3930128,-17.1230924
0.3391488,0.3391488,0.3200000,-15.1105775,-15.7629547
0.3491488,0.3491488,0.3300000,-13.8861416,-14.4761271
0.3591488,0.3591488,0.3400000,-12.7396472,-13.2769653
0.3691488,0.3691488,0.3500000,-11.6797114,-12.1710595
0.3791488,0.3791488,0.3600000,-10.7079059,-11.1595167
0.3891488,0.3891488,0.3700000,-9.8216544,-10.2414230
0.3991488,0.3991488,0.3800000,-9.0161069,-9.4068519
0.4091488,0.4091488,0.3900000,-8.2853168,-8.6458050
0.4191488,0.4191488,0.4000000,-7.6229591,-7.9537905
0.4291488,0.4291488,0.4100000,-7.0227560,-7.3254941
0.4391488,0.4391488,0.4200000,-6.4787169,-6.7553765
0.4491488,0.4491488,0.4300000,-5.9852625,-6.2380128
0.4591488,0.4591488,0.4400000,-5.5372778,-5.7682749
0.4691488,0.4691488,0.4500000,-5.1301228,-5.3414757
0.4791488,0.4791488,0.4600000,-4.7596175,-4.9533012
0.4891488,0.4891488,0.4700000,-4.4220149,-4.5997497
0.4991488,0.4991488,0.4800000,-4.1139657,-4.2773096
0.5091488,0.5091488,0.4900000,-3.8324827,-3.9828379
0.5191488,0.5191488,0.5000000,-3.5749040,-3.7135278
0.5291488,0.5291488,0.5100000,-3.3388587,-3.4668761
0.5391488,0.5391488,0.5200000,-3.1222352,-3.2406919
0.5491488,0.5491488,0.5300000,-2.9231520,-3.0330050
0.5591488,0.5591488,0.5400000,-2.7399314,-2.8420463
0.5691488,0.5691488,0.5500000,-2.5710762,-2.6661553
0.5791488,0.5791488,0.5600000,-2.4152492,-2.5039063
0.5891488,0.5891488,0.5700000,-2.2712541,-2.3540421
0.5991488,0.5991488,0.5800000,-2.1380200,-2.2154369
0.6091488,0.6091488,0.5900000,-2.0145866,-2.0870816
0.6191488,0.6191488,0.6000000,-1.9000917,-1.9680703
0.6291488,0.6291488,0.6100000,-1.7937605,-1.8575888
0.6391488,0.6391488,0.6200000,-1.6948952,-1.7549045
0.6491488,0.6491488,0.6300000,-1.6028668,-1.6593571
0.6591488,0.6591488,0.6400000,-1.5171075,-1.5703507
0.6691488,0.6691488,0.6500000,-1.4371043,-1.4873470
0.6791488,0.6791488,0.6600000,-1.3623923,-1.4098589
0.6891488,0.6891488,0.6700000,-1.2925507,-1.3374451
0.6991488,0.6991488,0.6800000,-1.2271972,-1.2697052
0.7091488,0.7091488,0.6900000,-1.1659843,-1.2062755
0.7191488,0.7191488,0.7000000,-1.1085962,-1.1468253
0.7291488,0.7291488,0.7100000,-1.0547447,-1.0910533
0.7391488,0.7391488,0.7200000,-1.0041671,-1.0386848
0.7491488,0.7491488,0.7300000,-0.9566234,-0.9894691
0.7591488,0.7591488,0.7400000,-0.9118943,-0.9431768
0.7691488,0.7691488,0.7500000,-0.8697786,-0.8995983
0.7791488,0.7791488,0.7600000,-0.8300923,-0.8585413
0.7891488,0.7891488,0.7700000,-0.7926663,-0.8198296
0.7991488,0.7991488,0.7800000,-0.7573454,-0.7833013
0.8091488,0.8091488,0.7900000,-0.7239867,-0.7488075
0.8191488,0.8191488,0.8000000,-0.6924587,-0.7162113
0.8291488,0.8291488,0.8100000,-0.6626404,-0.6853866
0.8391488,0.8391488,0.8200000,-0.6344198,-0.6562171
0.8491488,0.8491488,0.8300000,-0.6076939,-0.6285953
0.8591488,0.8591488,0.8400000,-0.5823671,-0.6024220
0.8691488,0.8691488,0.8500000,-0.5583511,-0.5776056
0.8791488,0.8791488,0.8600000,-0.5355643,-0.5540610
0.8891488,0.8891488,0.8700000,-0.5139308,-0.5317095
0.8991488,0.8991488,0.8800000,-0.4933803,-0.5104781
0.9091488,0.9091488,0.8900000,-0.4738475,-0.4902991
0.9191488,0.9191488,0.9000000,-0.4552718,-0.4711096
0.9291488,0.9291488,0.9100000,-0.4375966,-0.4528510
0.9391488,0.9391488,0.9200000,-0.4207696,-0.4354688
0.9491488,0.9491488,0.9300000,-0.4047417,-0.4189123
0.9591488,0.9591488,0.9400000,-0.3894673,-0.4031342
0.9691488,0.9691488,0.9500000,-0.3749037,-0.3880905
0.9791488,0.9791488,0.9600000,-0.3610114,-0.3737399
0.9891488,0.9891488,0.9700000,-0.3477530,-0.3600441
0.9991488,0.9991488,0.9800000,-0.3350939,-0.3469670
1.0091488,1.0091488,0.9900000,-0.3230016,-0.3344750
1.0191488,1.0191488,1.0000000,-0.3114455,-0.3225366
1.0291488,1.0291488,1.0100000,-0.3003972,-0.3111224
1.0391488,1.0391488,1.0200000,-0.2898300,-0.3002046
1.0491488,1.0491488,1.0300000,-0.2797186,-0.2897574
1.0591488,1.0591488,1.0400000,-0.2700397,-0.2797563
1.0691488,1.0691488,1.0500000,-0.2607709,-0.2701786
1.0791488,1.0791488,1.0600000,-0.2518915,-0.2610026
1.0891488,1.0891488,1.0700000,-0.2433820,-0.2522083
1.0991488,1.0991488,1.0800000,-0.2352239,-0.2437765
1.1091488,1.1091488,1.0900000,-0.2273998,-0.2356893
1.1191488,1.1191488,1.1000000,-0.2198935,-0.2279300
1.1291488,1.1291488,1.1100000,-0.2126894,-0.2204825
1.1391488,1.1391488,1.1200000,-0.2057732,-0.2133320
1.1491488,1.1491488,1.1300000,-0.1991309,-0.2064641
1.1591488,1.1591488,1.1400000,-0.1927498,-0.1998656
1.1691488,1.1691488,1.1500000,-0.1866175,-0.1935239
1.1791488,1.1791488,1.1600000,-0.1807225,-0.1874269
1.1891488,1.1891488,1.1700000,-0.1750538,-0.1815635
1.1991488,1.1991488,1.1800000,-0.1696012,-0.1759230
1.2091488,1.2091488,1.1900000,-0.1643547,-0.1704952
1.2191488,1.2191488,1.2000000,-0.1593052,-0.1652706
1.2291488,1.2291488,1.2100000,-0.1544438,-0.1602402
1.2391488,1.2391488,1.2200000,-0.1497622,-0.1553953
1.2491488,1.2491488,1.2300000,-0.1452525,-0.1507278
1.2591488,1.2591488,1.2400000,-0.1409073,-0.1462299
1.2691488,1.2691488,1.2500000,-0.1367193,-0.1418944
1.2791488,1.2791488,1.2600000,-0.1326818,-0.1377143
1.2891488,1.2891488,1.2700000,-0.1287884,-0.1336829
1.2991488,1.2991488,1.2800000,-0.1250331,-0.1297940
1.3091488,1.3091488,1.2900000,-0.1214100,-0.1260416
1.3191488,1.3191488,1.3000000,-0.1179135,-0.1224201
1.3291488,1.3291488,1.3100000,-0.1145386,-0.1189239
1.3391488,1.3391488,1.3200000,-0.1112800,-0.1155480
1.3491488,1.3491488,1.3300000,-0.1081332,-0.1122875
1.3591488,1.3591488,1.3400000,-0.1050936,-0.1091377
1.3691488,1.3691488,1.3500000,-0.1021569,-0.1060941
1.3791488,1.3791488,1.3600000,-0.0993188,-0.1031526
1.3891488,1.3891488,1.3700000,-0.0965757,-0.1003090
1.3991488,1.3991488,1.3800000,-0.0939235,-0.0975595
1.4091488,1.4091488,1.3900000,-0.0913590,-0.0949005
1.4191488,1.4191488,1.4000000,-0.0888785,-0.0923284
1.4291488,1.4291488,1.4100000,-0.0864789,-0.0898399
1.4391488,1.4391488,1.4200000,-0.0841570,-0.0874317
1.4491488,1.4491488,1.4300000,-0.0819099,-0.0851009
1.4591488,1.4591488,1.4400000,-0.0797348,-0.0828444
1.4691488,1.4691488,1.4500000,-0.0776289,-0.0806596
1.4791488,1.4791488,1.4600000,-0.0755896,-0.0785436
1.4891488,1.4891488,1.4700000,-0.0736145,-0.0764940
1.4991488,1.4991488,1.4800000,-0.0717011,-0.0745084
1.5091488,1.5091488,1.4900000,-0.0698473,-0.0725843
1.5191488,1.5191488,1.5000000,-0.0680508,-0.0707195
1.5291488,1.5291488,1.5100000,-0.0663096,-0.0689119
1.5391488,1.5391488,1.5200000,-0.0646216,-0.0671594
1.5491488,1.5491488,1.5300000,-0.0629850,-0.0654601
1.5591488,1.5591488,1.5400000,-0.0613979,-0.0638120
1.5691488,1.5691488,1.5500000,-0.0598585,-0.0622134
1.5791488,1.5791488,1.5600000,-0.0583652,-0.0606625
1.5891488,1.5891488,1.5700000,-0.0569164,-0.0591576
1.5991488,1.5991488,1.5800000,-0.0555105,-0.0576972
