# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
-0.5897124,-0.5897124,-0.4162905,306932.2173014
-0.5797124,-0.5797124,-0.4062905,268427.2213552
-0.5697124,-0.5697124,-0.3962905,242473.6595022
-0.5597124,-0.5597124,-0.3862905,229244.7938189
-0.5497124,-0.5497124,-0.3762905,224348.1316754
-0.5397124,-0.5397124,-0.3662905,218215.4392915
-0.5297124,-0.5297124,-0.3562905,194740.2613255
-0.5197124,-0.5197124,-0.3462905,171900.4536120
-0.5097124,-0.5097124,-0.3362905,152313.2399570
-0.4997124,-0.4997124,-0.3262905,148276.5623492
-0.4897124,-0.4897124,-0.3162905,159605.4364583
-0.4797124,-0.4797124,-0.3062905,142386.8443012
-0.4697124,-0.4697124,-0.2962905,120199.5647975
-0.4597124,-0.4597124,-0.2862905,134599.8578011
-0.4497124,-0.4497124,-0.2762905,199603.1480267
-0.4397124,-0.4397124,-0.2662905,206842.4887643
-0.4297124,-0.4297124,-0.2562905,176855.5321073
-0.4197124,-0.4197124,-0.2462905,156938.7324603
-0.4097124,-0.4097124,-0.2362905,134299.1752828
-0.3997124,-0.3997124,-0.2262905,146121.8986400
-0.3897124,-0.3897124,-0.2162905,163075.9350305
-0.3797124,-0.3797124,-0.2062905,194661.8526390
-0.3697124,-0.3697124,-0.1962905,189756.6276364
-0.3597124,-0.3597124,-0.1862905,130186.6510354
-0.3497124,-0.3497124,-0.1762905,95024.1686436
-0.3397124,-0.3397124,-0.1662905,92378.1969818
-0.3297124,-0.3297124,-0.1562905,123378.4033077
-0.3197124,-0.3197124,-0.1462905,213171.2606850
-0.3097124,-0.3097124,-0.1362905,220773.0681131
-0.2997124,-0.2997124,-0.1262905,211739.6661874
-0.2897124,-0.2897124,-0.1162905,212334.1632448
-0.2797124,-0.2797124,-0.1062905,226858.6116892
-0.2697124,-0.2697124,-0.0962905,181860.4548375
-0.2597124,-0.2597124,-0.0862905,119885.5248483
-0.2497124,-0.2497124,-0.0762905,82063.9663970
-0.2397124,-0.2397124,-0.0662905,61895.4636383
-0.2297124,-0.2297124,-0.0562905,52514.8437153
-0.2197124,-0.2197124,-0.0462905,50626.8199006
-0.2097124,-0.2097124,-0.0362905,55178.5382113
-0.1997124,-0.1997124,-0.0262905,66570.9169422
-0.1897124,-0.1897124,-0.0162905,65498.8553306
-0.1797124,-0.1797124,-0.0062905,60275.8701535
-0.1697124,-0.1697124,0.0037095,60360.1353999
-0.1597124,-0.1597124,0.0137095,66694.0260943
-0.1497124,-0.1497124,0.0237095,80505.4434640
-0.1397124,-0.1397124,0.0337095,94593.9942177
-0.1297124,-0.1297124,0.0437095,70666.6429486
-0.1197124,-0.1197124,0.0537095,55908.6209828
-0.1097124,-0.1097124,0.0637095,47340.2637695
-0.0997124,-0.0997124,0.0737095,41966.5559293
-0.0897124,-0.0897124,0.0837095,34568.3238696
-0.0797124,-0.0797124,0.0937095,28308.8425770
-0.0697124,-0.0697124,0.1037095,23145.0919516
-0.0597124,-0.0597124,0.1137095,15504.7139471
-0.0497124,-0.0497124,0.1237095,10994.3933605
-0.0397124,-0.0397124,0.1337095,7696.6129679
-0.0297124,-0.0297124,0.1437095,5567.3110405
-0.0197124,-0.0197124,0.1537095,4134.5417764
-0.0097124,-0.0097124,0.1637095,3134.2197902
0.0002876,0.0002876,0.1737095,2413.1104564
0.0102876,0.0102876,0.1837095,1879.0011355
0.0202876,0.0202876,0.1937095,1493.6625867
0.0302876,0.0302876,0.2037095,1181.4173159
0.0402876,0.0402876,0.2137095,936.8603101
0.0502876,0.0502876,0.2237095,743.1111521
0.0602876,0.0602876,0.2337095,588.3406633
0.0702876,0.0702876,0.2437095,464.0592957
0.0802876,0.0802876,0.2537095,364.0218422
0.0902876,0.0902876,0.2637095,283.3511695
0.1002876,0.1002876,0.2737095,184.8678477
0.1102876,0.1102876,0.2837095,113.9638412
0.1202876,0.1202876,0.2937095,68.4427230
0.1302876,0.1302876,0.3037095,39.1123900
0.1402876,0.1402876,0.3137095,20.1621323
0.1502876,0.1502876,0.3237095,7.8308831
0.1602876,0.1602876,0.3337095,-0.2926111
0.1702876,0.1702876,0.3437095,-5.7516135
0.1802876,0.1802876,0.3537095,-9.4649678
0.1902876,0.1902876,0.3637095,-11.9130821
0.2002876,0.2002876,0.3737095,-13.4353613
0.2102876,0.2102876,0.3837095,-14.3293230
0.2202876,0.2202876,0.3937095,-14.8417297
0.2302876,0.2302876,0.4037095,-15.1453661
0.2402876,0.2402876,0.4137095,-15.3079299
0.2502876,0.2502876,0.4237095,-15.3502257
0.2602876,0.2602876,0.4337095,-15.3044349
0.2702876,0.2702876,0.4437095,-15.1826441
0.2802876,0.2802876,0.4537095,-14.9449553
0.2902876,0.2902876,0.4637095,-14.5547879
0.3002876,0.3002876,0.4737095,-14.0321365
0.3102876,0.3102876,0.4837095,-13.4378597
0.3202876,0.3202876,0.4937095,-12.8392108
0.3302876,0.3302876,0.5037095,-12.2876640
0.3402876,0.3402876,0.5137095,-11.8027104
0.3502876,0.3502876,0.5237095,-11.3680906
0.3602876,0.3602876,0.5337095,-10.9540980
0.3702876,0.3702876,0.5437095,-10.5447539
0.3802876,0.3802876,0.5537095,-10.1441897
0.3902876,0.3902876,0.5637095,-9.7618895
0.4002876,0.4002876,0.5737095,-9.3979293
0.4102876,0.4102876,0.5837095,-9.0470196
0.4202876,0.4202876,0.5937095,-8.7088624
0.4302876,0.4302876,0.6037095,-8.3851568
0.4402876,0.4402876,0.6137095,-8.0709892
