# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
-0.1734220,-0.1734220,-0.0000001,2629.0400840,2629.0400840
-0.1634220,-0.1634220,0.0099999,2404.8823216,2404.8823216
-0.1534220,-0.1534220,0.0199999,2241.7840166,2241.7840166
-0.1434220,-0.1434220,0.0299999,1805.7407207,1781.1404941
-0.1334220,-0.1334220,0.0399999,1446.4062399,1421.1484554
-0.1234220,-0.1234220,0.0499999,1166.7250259,1141.7440764
-0.1134220,-0.1134220,0.0599999,946.2739580,922.1498571
-0.1034220,-0.1034220,0.0699999,770.1046719,745.1872679
-0.0934220,-0.0934220,0.0799999,627.8266942,602.5694306
-0.0834220,-0.0834220,0.0899999,511.9400782,486.5829835
-0.0734220,-0.0734220,0.0999999,416.8584085,391.5286958
-0.0634220,-0.0634220,0.1099999,334.0948288,312.3430986
-0.0534220,-0.0534220,0.1199999,249.6506703,226.5846095
-0.0434220,-0.0434220,0.1299999,186.2632011,163.1182497
-0.0334220,-0.0334220,0.1399999,138.9367578,116.0882361
-0.0234220,-0.0234220,0.1499999,103.5170075,81.1767187
-0.0134220,-0.0134220,0.1599999,76.9713211,55.2231633
-0.0034220,-0.0034220,0.1699999,57.0588371,35.9207848
0.0065780,0.0065780,0.1799999,42.0379970,21.5538640
0.0165780,0.0165780,0.1899999,30.3775206,10.8107714
0.0265780,0.0265780,0.1999999,21.1428986,2.9696749
0.0365780,0.0365780,0.2099999,13.9964913,-2.7254338
0.0465780,0.0465780,0.2199999,8.5774242,-7.2894038
0.0565780,0.0565780,0.2299999,4.5569176,-10.2300041
0.0665780,0.0665780,0.2399999,1.6527357,-12.0530743
0.0765780,0.0765780,0.2499999,-0.4094564,-13.1031915
0.0865780,0.0865780,0.2599999,-1.8859403,-13.5902918
0.0965780,0.0965780,0.2699999,-2.9944194,-13.7016754
0.1065780,0.1065780,0.2799999,-3.8890045,-13.6916514
0.1165780,0.1165780,0.2899999,-4.6326310,-13.5300781
0.1265780,0.1265780,0.2999999,-5.2197628,-13.1882184
0.1365780,0.1365780,0.3099999,-5.6433421,-12.7386077
0.1465780,0.1465780,0.3199999,-5.9281571,-12.4500779
0.1565780,0.1565780,0.3299999,-6.1182767,-12.1386042
0.1665780,0.1665780,0.3399999,-6.2562590,-11.6886410
0.1765780,0.1765780,0.3499999,-6.3744376,-11.1532956
0.1865780,0.1865780,0.3599999,-6.4924364,-10.9402845
0.1965780,0.1965780,0.3699999,-6.6138153,-10.6144414
0.2065780,0.2065780,0.3799999,-6.7215863,-10.3395937
0.2165780,0.2165780,0.3899999,-6.7855261,-10.0157076
0.2265780,0.2265780,0.3999999,-6.7839644,-9.6671229
0.2365780,0.2365780,0.4099999,-6.7189760,-9.2203617
0.2465780,0.2465780,0.4199999,-6.6126954,-8.7977459
0.2565780,0.2565780,0.4299999,-6.4854432,-8.3992075
0.2665780,0.2665780,0.4399999,-6.3350184,-8.0038878
0.2765780,0.2765780,0.4499999,-6.1439259,-7.5929499
0.2865780,0.2865780,0.4599999,-5.9019296,-7.1733872
0.2965780,0.2965780,0.4699999,-5.6146744,-7.0782434
0.3065780,0.3065780,0.4799999,-5.2974924,-6.8623747
0.3165780,0.3165780,0.4899999,-4.9671298,-6.5356339
0.3265780,0.3265780,0.4999999,-4.6372582,-6.1524744
0.3365780,0.3365780,0.5099999,-4.3173513,-5.7462700
0.3465780,0.3465780,0.5199999,-4.0131842,-5.3419004
0.3565780,0.3565780,0.5299999,-3.7277840,-4.9545638
0.3665780,0.3665780,0.5399999,-3.4623222,-4.5834981
0.3765780,0.3765780,0.5499999,-3.2167980,-4.2340623
0.3865780,0.3865780,0.5599999,-2.9905157,-3.9087269
0.3965780,0.3965780,0.5699999,-2.7823995,-3.6081479
0.4065780,0.4065780,0.5799999,-2.5911941,-3.3318718
0.4165780,0.4165780,0.5899999,-2.4155876,-3.0787960
0.4265780,0.4265780,0.5999999,-2.2542853,-2.8474673
0.4365780,0.4365780,0.6099999,-2.1060503,-2.6362742
0.4465780,0.4465780,0.6199999,-1.9697258,-2.4435671
0.4565780,0.4565780,0.6299999,-1.8442433,-2.2677326
0.4665780,0.4665780,0.6399999,-1.7286250,-2.1072364
0.4765780,0.4765780,0.6499999,-1.6219810,-1.9606466
0.4865780,0.4865780,0.6599999,-1.5235043,-1.8266436
0.4965780,0.4965780,0.6699999,-1.4324652,-1.7040223
0.5065780,0.5065780,0.6799999,-1.3482044,-1.5916887
0.5165780,0.5165780,0.6899999,-1.2701266,-1.4886545
0.5265780,0.5265780,0.6999999,-1.1976948,-1.3940292
0.5365780,0.5365780,0.7099999,-1.1304241,-1.3070124
0.5465780,0.5465780,0.7199999,-1.0678766,-1.2268853
0.5565780,0.5565780,0.7299999,-1.0096565,-1.1530031
0.5665780,0.5665780,0.7399999,-0.9554058,-1.0848387
0.5765780,0.5765780,0.7499999,-0.9048005,-1.0219523
0.5865780,0.5865780,0.7599999,-0.8575468,-0.9637183
0.5965780,0.5965780,0.7699999,-0.8133782,-0.9097225
0.6065780,0.6065780,0.7799999,-0.7720528,-0.8595926
0.6165780,0.6165780,0.7899999,-0.7333504,-0.8129934
0.6265780,0.6265780,0.7999999,-0.6970708,-0.7696234
0.6365780,0.6365780,0.8099999,-0.6630313,-0.7292105
0.6465780,0.6465780,0.8199999,-0.6310653,-0.6915092
0.6565780,0.6565780,0.8299999,-0.6010207,-0.6562976
0.6665780,0.6665780,0.8399999,-0.5727582,-0.6233750
0.6765780,0.6765780,0.8499999,-0.5461506,-0.5925593
0.6865780,0.6865780,0.8599999,-0.5210809,-0.5636857
0.6965780,0.6965780,0.8699999,-0.4974420,-0.5366042
0.7065780,0.7065780,0.8799999,-0.4751354,-0.5111786
0.7165780,0.7165780,0.8899999,-0.4540707,-0.4873249
0.7265780,0.7265780,0.8999999,-0.4341645,-0.4649217
0.7365780,0.7365780,0.9099999,-0.4153401,-0.4438230
0.7465780,0.7465780,0.9199999,-0.3975265,-0.4239357
0.7565780,0.7565780,0.9299999,-0.3806584,-0.4051745
0.7665780,0.7665780,0.9399999,-0.3646753,-0.3874614
0.7765780,0.7765780,0.9499999,-0.3495213,-0.3707246
0.7865780,0.7865780,0.9599999,-0.3351447,-0.3548983
0.7965780,0.7965780,0.9699999,-0.3214975,-0.3399391
0.8065780,0.8065780,0.9799999,-0.3085351,-0.3257846
0.8165780,0.8165780,0.9899999,-0.2962163,-0.3123696
0.8265780,0.8265780,0.9999999,-0.2845025,-0.2996863
0.8365780,0.8365780,1.0099999,-0.2733581,-0.2876467
0.8465780,0.8465780,1.0199999,-0.2627499,-0.2762105
0.8565780,0.8565780,1.0299999,-0.2526469,-0.2653408
0.8665780,0.8665780,1.0399999,-0.2430202,-0.2550034
0.8765780,0.8765780,1.0499999,-0.2338429,-0.2451667
0.8865780,0.8865780,1.0599999,-0.2250898,-0.2358010
0.8965780,0.8965780,1.0699999,-0.2167374,-0.2268875
0.9065780,0.9065780,1.0799999,-0.2087637,-0.2184087
0.9165780,0.9165780,1.0899999,-0.2011482,-0.2103374
0.9265780,0.9265780,1.0999999,-0.1938717,-0.2026336
0.9365780,0.9365780,1.1099999,-0.1869160,-0.1952772
0.9465780,0.9465780,1.1199999,-0.1802643,-0.1882493
0.9565780,0.9565780,1.1299999,-0.1739007,-0.1815320
0.9665780,0.9665780,1.1399999,-0.1678103,-0.1751089
0.9765780,0.9765780,1.1499999,-0.1619791,-0.1689710
0.9865780,0.9865780,1.1599999,-0.1563939,-0.1631144
0.9965780,0.9965780,1.1699999,-0.1510424,-0.1575055
1.0065780,1.0065780,1.1799999,-0.1459129,-0.1521318
1.0165780,1.0165780,1.1899999,-0.1409944,-0.1469813
1.0265780,1.0265780,1.1999999,-0.1362767,-0.1420429
1.0365780,1.0365780,1.2099999,-0.1317498,-0.1373063
1.0465780,1.0465780,1.2199999,-0.1274048,-0.1327615
1.0565780,1.0565780,1.2299999,-0.1232328,-0.1284047
1.0665780,1.0665780,1.2399999,-0.1192258,-0.1242247
1.0765780,1.0765780,1.2499999,-0.1153758,-0.1202128
1.0865780,1.0865780,1.2599999,-0.1116758,-0.1163574
1.0965780,1.0965780,1.2699999,-0.1081187,-0.1126513
1.1065780,1.1065780,1.2799999,-0.1046979,-0.1090874
1.1165780,1.1165780,1.2899999,-0.1014074,-0.1056595
1.1265780,1.1265780,1.2999999,-0.0982412,-0.1023612
1.1365780,1.1365780,1.3099999,-0.0951937,-0.0991868
1.1465780,1.1465780,1.3199999,-0.0922597,-0.0961307
1.1565780,1.1565780,1.3299999,-0.0894343,-0.0931901
1.1665780,1.1665780,1.3399999,-0.0867125,-0.0903581
1.1765780,1.1765780,1.3499999,-0.0840901,-0.0876293
1.1865780,1.1865780,1.3599999,-0.0815626,-0.0849993
