# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol],UMincarbring(d)[kj/mol]
-0.1324838,-0.1324838,-0.0000000,92386.6970842,92386.6970842
-0.1224838,-0.1224838,0.0100000,89033.3049929,89033.3049929
-0.1124838,-0.1124838,0.0200000,92638.3738749,92638.3738749
-0.1024838,-0.1024838,0.0300000,96375.9992126,96375.9992126
-0.0924838,-0.0924838,0.0400000,96607.7096731,96607.7096731
-0.0824838,-0.0824838,0.0500000,89551.1645415,89551.1645415
-0.0724838,-0.0724838,0.0600000,81231.6082306,81231.6082306
-0.0624838,-0.0624838,0.0700000,73565.0141456,73565.0141456
-0.0524838,-0.0524838,0.0800000,65635.9707182,65635.9707182
-0.0424838,-0.0424838,0.0900000,46450.5532784,46450.5532784
-0.0324838,-0.0324838,0.1000000,34009.6019071,34009.6019071
-0.0224838,-0.0224838,0.1100000,25166.8407119,25166.8407119
-0.0124838,-0.0124838,0.1200000,17585.9140393,17585.9140393
-0.0024838,-0.0024838,0.1300000,12665.7195282,12665.7195282
0.0075162,0.0075162,0.1400000,9401.3349302,9401.3349302
0.0175162,0.0175162,0.1500000,7182.6597954,7182.6597954
0.0275162,0.0275162,0.1600000,5634.9429744,5634.9429744
0.0375162,0.0375162,0.1700000,4339.5419342,4339.5419342
0.0475162,0.0475162,0.1800000,2949.1044374,2949.1044374
0.0575162,0.0575162,0.1900000,2033.8602414,2033.8602414
0.0675162,0.0675162,0.2000000,1436.3272972,1411.8888619
0.0775162,0.0775162,0.2100000,940.2956798,914.4560083
0.0875162,0.0875162,0.2200000,619.5304638,593.6923270
0.0975162,0.0975162,0.2300000,408.1536610,382.3948984
0.1075162,0.1075162,0.2400000,265.7558317,240.9169970
0.1175162,0.1175162,0.2500000,167.5532248,145.1299706
0.1275162,0.1275162,0.2600000,100.2136456,78.1550837
0.1375162,0.1375162,0.2700000,54.5935499,32.8620552
0.1475162,0.1475162,0.2800000,23.9387206,2.6344271
0.1575162,0.1575162,0.2900000,3.5752964,-17.2354444
0.1675162,0.1675162,0.3000000,-9.7912479,-30.0014111
0.1775162,0.1775162,0.3100000,-18.4557597,-37.7947124
0.1875162,0.1875162,0.3200000,-23.9028389,-42.1565994
