# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.9150000,0.1650000,0.1430385,358.2712102,140.7600046,1587.4461910
0.9200000,0.1700000,0.1480385,289.9108283,94.9880874,1304.3661444
0.9250000,0.1750000,0.1530385,234.8641922,40.4842429,1075.3484537
0.9300000,0.1800000,0.1580385,190.5153204,-2.9561869,889.8660010
0.9350000,0.1850000,0.1630385,154.7646346,-37.1602569,739.4749901
0.9400000,0.1900000,0.1680385,125.9218514,-98.8821705,617.3986308
0.9450000,0.1950000,0.1730385,102.6244774,-154.0326219,518.1940148
0.9500000,0.2000000,0.1780385,83.7789467,-197.7065103,437.4857684
0.9550000,0.2050000,0.1830385,68.5118198,-232.3690865,371.7530334
0.9600000,0.2100000,0.1880385,56.1189465,-259.9358880,318.1586548
0.9650000,0.2150000,0.1930385,46.0161624,-281.9107530,274.4082989
0.9700000,0.2200000,0.1980385,37.7098320,-300.3386482,238.4812453
0.9750000,0.2250000,0.2030385,30.8023689,-320.3110095,207.3327937
0.9800000,0.2300000,0.2080385,25.0122782,-338.2199594,179.2342418
0.9850000,0.2350000,0.2130385,20.1578412,-352.6338178,155.6324273
0.9900000,0.2400000,0.2180385,16.1032927,-364.2293610,136.2545109
0.9950000,0.2450000,0.2230385,12.7178251,-373.6224339,120.3584251
1.0000000,0.2500000,0.2280385,9.8695085,-381.2954128,107.3141967
1.0050000,0.2550000,0.2330385,7.4412344,-387.6935783,96.3323446
1.0100000,0.2600000,0.2380385,5.3483140,-393.6571397,84.1843281
1.0150000,0.2650000,0.2430385,3.5413354,-400.3373439,71.1007420
1.0200000,0.2700000,0.2480385,1.9930670,-407.1071207,60.1183870
1.0250000,0.2750000,0.2530385,0.6823646,-413.0464206,51.2307100
1.0300000,0.2800000,0.2580385,-0.4145865,-418.0232820,44.0533236
1.0350000,0.2850000,0.2630385,-1.3252733,-422.1386568,38.2440626
1.0400000,0.2900000,0.2680385,-2.0780696,-425.5129990,33.5233980
1.0450000,0.2950000,0.2730385,-2.6989729,-428.2495403,29.6701324
1.0500000,0.3000000,0.2780385,-3.2094622,-430.4318482,26.5142035
1.0550000,0.3050000,0.2830385,-3.6258728,-432.1270042,23.9261191
1.0600000,0.3100000,0.2880385,-3.9600561,-433.3891391,21.8038443
1.0650000,0.3150000,0.2930385,-4.2207664,-434.2624019,20.0610484
1.0700000,0.3200000,0.2980385,-4.4151346,-434.7832978,18.6207719
1.0750000,0.3250000,0.3030385,-4.5497621,-434.9825099,17.4157487
1.0800000,0.3300000,0.3080385,-4.6312805,-434.8863430,16.3928625
1.0850000,0.3350000,0.3130385,-4.6664636,-434.5178898,15.5166300
1.0900000,0.3400000,0.3180385,-4.6620842,-433.8981135,14.7676836
1.0950000,0.3450000,0.3230385,-4.6246843,-433.0749759,14.1367753
1.1000000,0.3500000,0.3280385,-4.5603642,-433.3526593,13.6181598
1.1050000,0.3550000,0.3330385,-4.4746356,-438.6672176,13.2053893
1.1100000,0.3600000,0.3380385,-4.3723454,-444.3111358,12.8899136
