# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
0.7500000,0.0000000,-0.0282667,328970.0402685
0.7600000,0.0100000,-0.0182667,268920.6534067
0.7700000,0.0200000,-0.0082667,209994.8982216
0.7800000,0.0300000,0.0017333,158680.5241104
0.7900000,0.0400000,0.0117333,118929.3409200
0.8000000,0.0500000,0.0217333,93337.6873480
0.8100000,0.0600000,0.0317333,85649.1604010
0.8200000,0.0700000,0.0417333,102113.3435093
0.8300000,0.0800000,0.0517333,95594.5562172
0.8400000,0.0900000,0.0617333,84254.9623361
0.8500000,0.1000000,0.0717333,97551.9849088
0.8600000,0.1100000,0.0817333,71967.6278438
0.8700000,0.1200000,0.0917333,46509.2624000
0.8800000,0.1300000,0.1017333,31639.9178301
0.8900000,0.1400000,0.1117333,23417.1895859
0.9000000,0.1500000,0.1217333,17955.5473829
0.9100000,0.1600000,0.1317333,15892.0095081
0.9200000,0.1700000,0.1417333,12843.6307993
0.9300000,0.1800000,0.1517333,9302.1587837
0.9400000,0.1900000,0.1617333,7644.4793767
0.9500000,0.2000000,0.1717333,6975.3894777
0.9600000,0.2100000,0.1817333,6825.8235152
0.9700000,0.2200000,0.1917333,6394.6973389
0.9800000,0.2300000,0.2017333,3629.0465601
0.9900000,0.2400000,0.2117333,2132.7454406
1.0000000,0.2500000,0.2217333,1318.9842108
1.0100000,0.2600000,0.2317333,841.9872339
1.0200000,0.2700000,0.2417333,558.4727288
1.0300000,0.2800000,0.2517333,382.9989484
1.0400000,0.2900000,0.2617333,269.5423926
1.0500000,0.3000000,0.2717333,192.8942813
1.0600000,0.3100000,0.2817333,138.9990771
1.0700000,0.3200000,0.2917333,99.8521735
1.0800000,0.3300000,0.3017333,70.7650579
1.0900000,0.3400000,0.3117333,48.8829000
1.1000000,0.3500000,0.3217333,32.3760449
1.1100000,0.3600000,0.3317333,19.9988097
1.1200000,0.3700000,0.3417333,10.8496793
1.1300000,0.3800000,0.3517333,4.2415995
1.1400000,0.3900000,0.3617333,-0.3683231
1.1500000,0.4000000,0.3717333,-3.4179670
1.1600000,0.4100000,0.3817333,-5.2763563
1.1700000,0.4200000,0.3917333,-6.4019345
1.1800000,0.4300000,0.4017333,-7.4579167
1.1900000,0.4400000,0.4117333,-8.5711680
1.2000000,0.4500000,0.4217333,-9.4734179
1.2100000,0.4600000,0.4317333,-10.2296955
1.2200000,0.4700000,0.4417333,-11.0192563
1.2300000,0.4800000,0.4517333,-11.8267573
1.2400000,0.4900000,0.4617333,-12.5185499
1.2500000,0.5000000,0.4717333,-13.0975492
1.2600000,0.5100000,0.4817333,-13.6100604
1.2700000,0.5200000,0.4917333,-14.0180882
1.2800000,0.5300000,0.5017333,-14.2134423
1.2900000,0.5400000,0.5117333,-14.1539537
1.3000000,0.5500000,0.5217333,-13.8822612
1.3100000,0.5600000,0.5317333,-13.4403044
1.3200000,0.5700000,0.5417333,-12.8833095
1.3300000,0.5800000,0.5517333,-12.2996165
1.3400000,0.5900000,0.5617333,-11.7818098
1.3500000,0.6000000,0.5717333,-11.3722390
1.3600000,0.6100000,0.5817333,-11.0491382
1.3700000,0.6200000,0.5917333,-10.7569401
1.3800000,0.6300000,0.6017333,-10.4347894
1.3900000,0.6400000,0.6117333,-10.0522484
1.4000000,0.6500000,0.6217333,-9.6249683
1.4100000,0.6600000,0.6317333,-9.1976277
1.4200000,0.6700000,0.6417333,-8.8059082
1.4300000,0.6800000,0.6517333,-8.4659291
1.4400000,0.6900000,0.6617333,-8.1883343
1.4500000,0.7000000,0.6717333,-7.9670050
1.4600000,0.7100000,0.6817333,-7.7664357
1.4700000,0.7200000,0.6917333,-7.5489977
1.4800000,0.7300000,0.7017333,-7.3014873
1.4900000,0.7400000,0.7117333,-7.0314434
1.5000000,0.7500000,0.7217333,-6.7561232
1.5100000,0.7600000,0.7317333,-6.4925523
1.5200000,0.7700000,0.7417333,-6.2486313
1.5300000,0.7800000,0.7517333,-6.0233994
1.5400000,0.7900000,0.7617333,-5.8167657
1.5500000,0.8000000,0.7717333,-5.6327853
1.5600000,0.8100000,0.7817333,-5.4714075
1.5700000,0.8200000,0.7917333,-5.3244001
1.5800000,0.8300000,0.8017333,-5.1906444
1.5900000,0.8400000,0.8117333,-5.0977220
1.6000000,0.8500000,0.8217333,-5.0646686
1.6100000,0.8600000,0.8317333,-5.0624812
1.6200000,0.8700000,0.8417333,-5.0595052
1.6300000,0.8800000,0.8517333,-5.0391604
1.6400000,0.8900000,0.8617333,-4.9821569
1.6500000,0.9000000,0.8717333,-4.8722479
1.6600000,0.9100000,0.8817333,-4.7104214
1.6700000,0.9200000,0.8917333,-4.5207688
1.6800000,0.9300000,0.9017333,-4.3466369
1.6900000,0.9400000,0.9117333,-4.2296713
1.7000000,0.9500000,0.9217333,-4.1681595
1.7100000,0.9600000,0.9317333,-4.1158151
1.7200000,0.9700000,0.9417333,-4.0320427
1.7300000,0.9800000,0.9517333,-3.9065352
1.7400000,0.9900000,0.9617333,-3.7476719
1.7500000,1.0000000,0.9717333,-3.5683451
1.7600000,1.0100000,0.9817333,-3.3823768
1.7700000,1.0200000,0.9917333,-3.2056524
1.7800000,1.0300000,1.0017333,-3.0556352
1.7900000,1.0400000,1.0117333,-2.9483141
1.8000000,1.0500000,1.0217333,-2.8843679
1.8100000,1.0600000,1.0317333,-2.8448685
1.8200000,1.0700000,1.0417333,-2.8099696
1.8300000,1.0800000,1.0517333,-2.7686589
1.8400000,1.0900000,1.0617333,-2.7155625
1.8500000,1.1000000,1.0717333,-2.6478051
1.8600000,1.1100000,1.0817333,-2.5654889
1.8700000,1.1200000,1.0917333,-2.4741491
