# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
0.8850000,0.1350000,0.1067333,1820.7845186,-0.1873889
0.8900000,0.1400000,0.1117333,1463.0041487,-0.1969256
0.8950000,0.1450000,0.1167333,1176.1272299,-0.2061690
0.9000000,0.1500000,0.1217333,946.0409445,-0.2151053
0.9050000,0.1550000,0.1267333,761.4311328,-0.2237214
0.9100000,0.1600000,0.1317333,613.2377818,-0.2320050
0.9150000,0.1650000,0.1367333,494.2116935,-0.2399450
0.9200000,0.1700000,0.1417333,398.5553507,-0.2475314
0.9250000,0.1750000,0.1467333,321.6331801,-0.2547551
0.9300000,0.1800000,0.1517333,259.7385727,-0.2616082
0.9350000,0.1850000,0.1567333,209.9070344,-0.2680840
0.9400000,0.1900000,0.1617333,169.7666402,-0.2741770
0.9450000,0.1950000,0.1667333,137.4185299,-0.2798826
0.9500000,0.2000000,0.1717333,111.3415049,-0.2851968
0.9550000,0.2050000,0.1767333,90.3156819,-0.2900983
0.9600000,0.2100000,0.1817333,73.3603123,-0.2944455
0.9650000,0.2150000,0.1867333,59.6826978,-0.2977855
0.9700000,0.2200000,0.1917333,48.6403783,-0.2994161
0.9750000,0.2250000,0.1967333,39.7163373,-0.2989210
0.9800000,0.2300000,0.2017333,32.4975678,-0.2966545
0.9850000,0.2350000,0.2067333,26.6516474,-0.2936540
0.9900000,0.2400000,0.2117333,21.9078332,-0.2910820
0.9950000,0.2450000,0.2167333,18.0468403,-0.2894655
1.0000000,0.2500000,0.2217333,14.8931972,-0.2879572
1.0050000,0.2550000,0.2267333,12.3043439,-0.2840649
1.0100000,0.2600000,0.2317333,10.1593142,-0.2744435
1.0150000,0.2650000,0.2367333,8.3532148,-0.2568572
1.0200000,0.2700000,0.2417333,6.7996282,-0.2322140
1.0250000,0.2750000,0.2467333,5.4372616,-0.2047164
1.0300000,0.2800000,0.2517333,4.2329522,-0.1795210
1.0350000,0.2850000,0.2567333,3.1753465,-0.1600106
1.0400000,0.2900000,0.2617333,2.2626031,-0.1469725
1.0450000,0.2950000,0.2667333,1.4922216,-0.1394948
1.0500000,0.3000000,0.2717333,0.8568465,-0.1361189
1.0550000,0.3050000,0.2767333,0.3445526,-0.1354921
1.0600000,0.3100000,0.2817333,-0.0591937,-0.1365654
1.0650000,0.3150000,0.2867333,-0.3696168,-0.1385798
1.0700000,0.3200000,0.2917333,-0.6013290,-0.1409961
1.0750000,0.3250000,0.2967333,-0.7676438,-0.1434294
1.0800000,0.3300000,0.3017333,-0.8803403,-0.1455990
1.0850000,0.3350000,0.3067333,-0.9497146,-0.1472907
1.0900000,0.3400000,0.3117333,-0.9847895,-0.1483264
1.0950000,0.3450000,0.3167333,-0.9935901,-0.1485385
1.1000000,0.3500000,0.3217333,-0.9834151,-0.1477503
1.1050000,0.3550000,0.3267333,-0.9610498,-0.1457696
1.1100000,0.3600000,0.3317333,-0.9328911,-0.1424002
1.1150000,0.3650000,0.3367333,-0.9049599,-0.1374745
1.1200000,0.3700000,0.3417333,-0.8827943,-0.1308961
1.1250000,0.3750000,0.3467333,-0.8712219,-0.1226781
1.1300000,0.3800000,0.3517333,-0.8740395,-0.1129611
1.1350000,0.3850000,0.3567333,-0.8936811,-0.1020085
1.1400000,0.3900000,0.3617333,-0.9310016,-0.0901876
1.1450000,0.3950000,0.3667333,-0.9853054,-0.0779433
1.1500000,0.4000000,0.3717333,-1.0546535,-0.0657658
1.1550000,0.4050000,0.3767333,-1.1363315,-0.0541522
1.1600000,0.4100000,0.3817333,-1.2272815,-0.0435680
1.1650000,0.4150000,0.3867333,-1.3243851,-0.0344133
1.1700000,0.4200000,0.3917333,-1.4246547,-0.0269809
1.1750000,0.4250000,0.3967333,-1.5254358,-0.0214049
1.1800000,0.4300000,0.4017333,-1.6246133,-0.0176232
1.1850000,0.4350000,0.4067333,-1.7207265,-0.0153869
1.1900000,0.4400000,0.4117333,-1.8129416,-0.0143328
1.1950000,0.4450000,0.4167333,-1.9009275,-0.0140945
1.2000000,0.4500000,0.4217333,-1.9847060,-0.0143994
1.2050000,0.4550000,0.4267333,-2.0645049,-0.0150995
1.2100000,0.4600000,0.4317333,-2.1406004,-0.0161277
1.2150000,0.4650000,0.4367333,-2.2131733,-0.0174232
1.2200000,0.4700000,0.4417333,-2.2822607,-0.0188823
1.2250000,0.4750000,0.4467333,-2.3478396,-0.0203655
1.2300000,0.4800000,0.4517333,-2.4099236,-0.0217456
1.2350000,0.4850000,0.4567333,-2.4685351,-0.0229512
1.2400000,0.4900000,0.4617333,-2.5236066,-0.0239744
1.2450000,0.4950000,0.4667333,-2.5749879,-0.0248495
1.2500000,0.5000000,0.4717333,-2.6225719,-0.0256175
1.2550000,0.5050000,0.4767333,-2.6663262,-0.0262848
1.2600000,0.5100000,0.4817333,-2.7060813,-0.0268111
1.2650000,0.5150000,0.4867333,-2.7411887,-0.0271461
1.2700000,0.5200000,0.4917333,-2.7703116,-0.0272782
1.2750000,0.5250000,0.4967333,-2.7915443,-0.0272449
1.2800000,0.5300000,0.5017333,-2.8028392,-0.0271085
1.2850000,0.5350000,0.5067333,-2.8025284,-0.0269248
1.2900000,0.5400000,0.5117333,-2.7897015,-0.0267297
1.2950000,0.5450000,0.5167333,-2.7643298,-0.0265390
1.3000000,0.5500000,0.5217333,-2.7271677,-0.0263563
1.3050000,0.5550000,0.5267333,-2.6795314,-0.0261794
1.3100000,0.5600000,0.5317333,-2.6230524,-0.0260046
