# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.8850000,0.1350000,0.1067333,1820.7845186,1154.5984180,inf
0.8900000,0.1400000,0.1117333,1463.0041487,926.1921361,inf
0.8950000,0.1450000,0.1167333,1176.1272299,743.2563034,inf
0.9000000,0.1500000,0.1217333,946.0409445,596.7197586,inf
0.9050000,0.1550000,0.1267333,761.4311328,479.3125043,inf
0.9100000,0.1600000,0.1317333,613.2377818,385.2150012,inf
0.9150000,0.1650000,0.1367333,494.2116935,309.7726619,inf
0.9200000,0.1700000,0.1417333,398.5553507,249.2645978,1679.8084963
0.9250000,0.1750000,0.1467333,321.6331801,200.7170772,1362.3395570
0.9300000,0.1800000,0.1517333,259.7385727,161.7535485,1105.8195980
0.9350000,0.1850000,0.1567333,209.9070344,130.4743786,898.3210937
0.9400000,0.1900000,0.1617333,169.7666402,105.3606168,730.2904778
0.9450000,0.1950000,0.1667333,137.4185299,85.1970217,594.0705689
0.9500000,0.2000000,0.1717333,111.3415049,69.0096555,483.5192277
0.9550000,0.2050000,0.1767333,90.3156819,56.0127746,393.7050775
0.9600000,0.2100000,0.1817333,73.3603123,45.5654919,320.6648173
0.9650000,0.2150000,0.1867333,59.6826978,37.1466892,261.2096858
0.9700000,0.2200000,0.1917333,48.6403783,30.3430261,212.7711078
0.9750000,0.2250000,0.1967333,39.7163373,24.8314051,173.2775525
0.9800000,0.2300000,0.2017333,32.4975678,20.3558567,141.0562409
0.9850000,0.2350000,0.2067333,26.6516474,16.7115362,114.7546351
0.9900000,0.2400000,0.2117333,21.9078332,13.7343929,93.2776809
0.9950000,0.2450000,0.2167333,18.0468403,11.2887919,75.7376019
1.0000000,0.2500000,0.2217333,14.8931972,9.2558560,61.4136756
1.0050000,0.2550000,0.2267333,12.3043439,7.5308150,49.7198800
1.0100000,0.2600000,0.2317333,10.1593142,6.0309189,40.1786908
1.0150000,0.2650000,0.2367333,8.3532148,4.7052067,32.3998133
1.0200000,0.2700000,0.2417333,6.7996282,3.5340630,26.0631716
1.0250000,0.2750000,0.2467333,5.4372616,2.5162666,20.9056463
1.0300000,0.2800000,0.2517333,4.2329522,1.6535791,16.7107666
1.0350000,0.2850000,0.2567333,3.1753465,0.9421236,13.3002517
1.0400000,0.2900000,0.2617333,2.2626031,0.3711266,10.5263261
1.0450000,0.2950000,0.2667333,1.4922216,-0.0748052,8.2641934
1.0500000,0.3000000,0.2717333,0.8568465,-0.4129376,6.4051151
1.0550000,0.3050000,0.2767333,0.3445526,-0.6604078,4.8522031
1.0600000,0.3100000,0.2817333,-0.0591937,-0.8331037,3.5217565
1.0650000,0.3150000,0.2867333,-0.3696168,-0.9452022,2.3499002
1.0700000,0.3200000,0.2917333,-0.6013290,-1.0091145,1.2984145
1.0750000,0.3250000,0.2967333,-0.7676438,-1.0356425,0.3526448
1.0800000,0.3300000,0.3017333,-0.8803403,-1.0342167,-0.4882105
1.0850000,0.3350000,0.3067333,-0.9497146,-1.0131356,-1.2215873
1.0900000,0.3400000,0.3117333,-0.9847895,-0.9797618,-1.8476641
1.0950000,0.3450000,0.3167333,-0.9935901,-0.9406508,-2.3709292
1.1000000,0.3500000,0.3217333,-0.9834151,-0.9016004,-2.7993438
1.1050000,0.3550000,0.3267333,-0.9610498,-0.8676123,-3.1428817
1.1100000,0.3600000,0.3317333,-0.9328911,-0.8427756,-3.4122574
1.1150000,0.3650000,0.3367333,-0.9049599,-0.8301104,-3.6180403
1.1200000,0.3700000,0.3417333,-0.8827943,-0.8314442,-3.7701070
1.1250000,0.3750000,0.3467333,-0.8712219,-0.8474045,-3.8773402
1.1300000,0.3800000,0.3517333,-0.8740395,-0.8775775,-3.9475043
1.1350000,0.3850000,0.3567333,-0.8936811,-0.9208054,-3.9872606
1.1400000,0.3900000,0.3617333,-0.9310016,-0.9755134,-4.0023091
1.1450000,0.3950000,0.3667333,-0.9853054,-1.0399402,-3.9976474
1.1500000,0.4000000,0.3717333,-1.0546535,-1.1122252,-3.9779171
1.1550000,0.4050000,0.3767333,-1.1363315,-1.1904228,-3.9477777
1.1600000,0.4100000,0.3817333,-1.2272815,-1.2725525,-3.9122301
1.1650000,0.4150000,0.3867333,-1.3243851,-1.3567115,-3.8768068
1.1700000,0.4200000,0.3917333,-1.4246547,-1.4411966,-3.8475499
1.1750000,0.4250000,0.3967333,-1.5254358,-1.5245988,-3.8306781
1.1800000,0.4300000,0.4017333,-1.6246133,-1.6058956,-3.8318711
1.1850000,0.4350000,0.4067333,-1.7207265,-1.6845480,-3.8552602
1.1900000,0.4400000,0.4117333,-1.8129416,-1.7605151,-3.9024790
1.1950000,0.4450000,0.4167333,-1.9009275,-1.8340785,-3.9722242
