# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.7500000,0.0000000,-0.0257709,324362.3387055,208751.0059167,1295777.7596613,20442.0549742,912652.5206323,16148546.2930277,163571906.6257758,1138132844.6675990
0.7550000,0.0050000,-0.0207709,313890.1695941,202007.6428731,1253989.9261559,19776.7517217,883219.0546058,15628381.7327860,158304424.6496819,1101484432.5036764
0.7600000,0.0100000,-0.0157709,299357.2234091,192649.5336396,1195996.4313235,18853.6548614,842371.0799349,14906470.9964482,150993897.1943873,1050621470.7010252
0.7650000,0.0150000,-0.0107709,281459.3172150,181124.8566939,1124572.6515030,17717.1023761,792063.4932445,14017346.3404243,141989983.3735262,987976638.7506877
0.7700000,0.0200000,-0.0057709,261002.2980690,167952.6506658,1042932.9466820,16418.4309692,734560.3949179,13001003.4351637,131697665.7563546,916367523.7873265
0.7750000,0.0250000,-0.0007709,238836.3190924,153680.4764737,954468.5609620,15011.7824186,672250.4718090,11899640.8700350,120544237.4285098,838766942.9291393
0.7800000,0.0300000,0.0042291,215793.7955825,138844.4512147,862500.1864294,13550.1461036,607472.7089702,10754581.9151333,108948134.0766495,758086101.1246374
0.7850000,0.0350000,0.0092291,192637.4345631,123935.7724647,770070.6847845,12082.0458472,542370.3881341,9603695.6646577,97292821.9734813,676992923.1172988
0.7900000,0.0400000,0.0142291,170022.3688587,109376.3296367,679794.0430859,10649.1281921,478784.6967599,8479517.5611959,85907766.9072737,597779648.2161733
0.7950000,0.0450000,0.0192291,148473.8558374,95504.3426870,593766.3897216,9284.7449160,418192.0513198,7408141.8180649,75057218.3943645,522284796.9970462
0.8000000,0.0500000,0.0242291,128379.7308624,82569.5059553,513535.8453628,8013.4775724,361682.8628638,6408845.6787285,64936403.6901058,451866689.1698729
