# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.9100000,0.1600000,0.1453474,741.9478230
0.9350000,0.1850000,0.1703474,298.7264970
0.9600000,0.2100000,0.1953474,108.4995630
0.9850000,0.2350000,0.2203474,7.0944295
1.0100000,0.2600000,0.2453474,-69.5825320
1.0350000,0.2850000,0.2703474,-89.1017692
1.0600000,0.3100000,0.2953474,-88.6072805
1.0850000,0.3350000,0.3203474,-93.7007061
1.1100000,0.3600000,0.3453474,-98.7804662
1.1350000,0.3850000,0.3703474,-104.0675865
1.1600000,0.4100000,0.3953474,-98.4821272
1.1850000,0.4350000,0.4203474,-89.2884683
1.2100000,0.4600000,0.4453474,-89.2185602
1.2350000,0.4850000,0.4703474,-86.6760386
1.2600000,0.5100000,0.4953474,-77.8758006
1.2850000,0.5350000,0.5203474,-67.2337423
1.3100000,0.5600000,0.5453474,-57.4769142
1.3350000,0.5850000,0.5703474,-49.1683583
1.3600000,0.6100000,0.5953474,-42.2453446
1.3850000,0.6350000,0.6203474,-36.5157794
1.4100000,0.6600000,0.6453474,-31.7844717
1.4350000,0.6850000,0.6703474,-27.8684393
1.4600000,0.7100000,0.6953474,-24.5972508
1.4850000,0.7350000,0.7203474,-21.8229576
1.5100000,0.7600000,0.7453474,-19.4294397
1.5350000,0.7850000,0.7703474,-17.3325624
1.5600000,0.8100000,0.7953474,-15.4738756
1.5850000,0.8350000,0.8203474,-13.8131084
1.6100000,0.8600000,0.8453474,-12.3220773
1.6350000,0.8850000,0.8703474,-10.9804268
1.6600000,0.9100000,0.8953474,-9.7728129
1.6850000,0.9350000,0.9203474,-8.6870602
1.7100000,0.9600000,0.9453474,-7.7129485
1.7350000,0.9850000,0.9703474,-6.8414155
1.7600000,1.0100000,0.9953474,-6.0640525
1.7850000,1.0350000,1.0203474,-5.3728178
1.8100000,1.0600000,1.0453474,-4.7599119
1.8350000,1.0850000,1.0703474,-4.2177673
1.8600000,1.1100000,1.0953474,-3.7391053
1.8850000,1.1350000,1.1203474,-3.3170215
1.9100000,1.1600000,1.1453474,-2.9450694
1.9350000,1.1850000,1.1703474,-2.6173245
1.9600000,1.2100000,1.1953474,-2.3284196
1.9850000,1.2350000,1.2203474,-2.0735526
2.0100000,1.2600000,1.2453474,-1.8484699
2.0350000,1.2850000,1.2703474,-1.6494341
2.0600000,1.3100000,1.2953474,-1.4731803
2.0850000,1.3350000,1.3203474,-1.3168682
2.1100000,1.3600000,1.3453474,-1.1780328
2.1350000,1.3850000,1.3703474,-1.0545377
2.1600000,1.4100000,1.3953474,-0.9445312
2.1850000,1.4350000,1.4203474,-0.8464078
2.2100000,1.4600000,1.4453474,-0.7587733
2.2350000,1.4850000,1.4703474,-0.6804152
