# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.8800000,0.1300000,0.1077756,1716.8334517,1113.0130286,inf
0.8850000,0.1350000,0.1127756,1382.6471758,899.7497238,inf
0.8900000,0.1400000,0.1177756,1114.0343139,728.5281844,inf
0.8950000,0.1450000,0.1227756,898.1062856,591.0650221,inf
0.9000000,0.1500000,0.1277756,724.4895434,480.6952906,inf
0.9050000,0.1550000,0.1327756,584.8465862,392.0628783,inf
0.9100000,0.1600000,0.1377756,472.4828330,320.8616328,inf
0.9150000,0.1650000,0.1427756,382.0222625,263.6175067,1578.7464111
0.9200000,0.1700000,0.1477756,309.1352192,217.5233603,1277.7811406
0.9250000,0.1750000,0.1527756,250.3254183,180.3334704,1034.2384800
0.9300000,0.1800000,0.1577756,202.7940880,150.2770236,836.9708373
0.9350000,0.1850000,0.1627756,164.3377171,125.9584853,677.0121435
0.9400000,0.1900000,0.1677756,133.2214332,106.2667892,547.1084088
0.9450000,0.1950000,0.1727756,108.0529456,90.3102432,441.3905789
0.9500000,0.2000000,0.1777756,87.6968444,77.3691556,355.2158881
0.9550000,0.2050000,0.1827756,71.2231744,66.8605833,284.9598437
0.9600000,0.2100000,0.1877756,57.8730779,58.3128421,227.7152356
0.9650000,0.2150000,0.1927756,47.0323196,51.3449909,181.0904603
0.9700000,0.2200000,0.1977756,38.2067762,45.6484367,143.1141621
0.9750000,0.2250000,0.2027756,30.9986401,40.9717541,112.1703540
0.9800000,0.2300000,0.2077756,25.0871420,37.1106533,86.9392390
0.9850000,0.2350000,0.2127756,20.2158073,33.9012230,66.3460796
0.9900000,0.2400000,0.2177756,16.1822710,31.2134585,49.5194662
0.9950000,0.2450000,0.2227756,12.8256753,28.9453029,35.7545189
1.0000000,0.2500000,0.2277756,10.0139316,27.0171983,24.4784288
1.0050000,0.2550000,0.2327756,7.6373321,25.3661325,15.2223067
1.0100000,0.2600000,0.2377756,5.6083297,23.9410796,7.6036223
1.0150000,0.2650000,0.2427756,3.8608369,22.7025712,1.3155433
1.0200000,0.2700000,0.2477756,2.3459871,21.6244497,-3.8857335
1.0250000,0.2750000,0.2527756,1.0276624,20.6927856,-8.1984782
1.0300000,0.2800000,0.2577756,-0.1196688,19.9006573,-11.7909569
1.0350000,0.2850000,0.2627756,-1.1125648,19.2422128,-14.8073426
