# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
0.7500000,0.0000000,-0.0298671,261592.0368011,168329.3751343,1045320.7699188,16452.0164815,736241.2427305,261602.6765998,261581.3970025,308374.8434567,195033.3756842,261592.0368011,168329.3751343,1045320.7699188,16452.0164815,736241.2427305,261602.6765998,261581.3970025,308374.8434567,195033.3756842
0.7550000,0.0050000,-0.0248671,240846.8960385,154978.6760082,962473.9146498,15141.2535186,677891.0700769,240858.4645571,240835.3275199,283919.6665584,179566.5637680,240846.8960385,154978.6760082,962473.9146498,15141.2535186,677891.0700769,240858.4645571,240835.3275199,283919.6665584,179566.5637680
0.7600000,0.0100000,-0.0198671,217493.7005034,139942.9136914,869265.4168388,13659.8938820,612240.0379155,217505.4724431,217481.9285638,256390.0134947,162155.2823929,217493.7005034,139942.9136914,869265.4168388,13659.8938820,612240.0379155,217505.4724431,217481.9285638,256390.0134947,162155.2823929
0.7650000,0.0150000,-0.0148671,194017.1287649,124828.3304246,775557.9714584,12171.4374831,546237.7986265,194029.1020087,194005.1555212,228714.9197752,144652.0162705,194017.1287649,124828.3304246,775557.9714584,12171.4374831,546237.7986265,194029.1020087,194005.1555212,228714.9197752,144652.0162705
0.7700000,0.0200000,-0.0098671,171089.0287474,110067.5845947,684032.2061817,10718.5993564,481772.4803792,171101.2010621,171076.8564326,201686.3858025,127557.6704366,171089.0287474,110067.5845947,684032.2061817,10718.5993564,481772.4803792,171101.2010621,171076.8564326,201686.3858025,127557.6704366
0.7750000,0.0250000,-0.0048671,149248.8054443,96008.0114053,596840.6493234,9335.6361604,420360.2271029,149261.1744828,149236.4364058,175940.2831134,111274.4053626,149248.8054443,96008.0114053,596840.6493234,9335.6361604,420360.2271029,149261.1744828,149236.4364058,175940.2831134,111274.4053626
0.7800000,0.0300000,0.0001329,128894.7945779,82906.0709681,515573.2765030,8047.8016182,363120.9321391,128907.3578809,128882.2312748,151946.1853136,96099.2054730,128894.7945779,82906.0709681,515573.2765030,8047.8016182,363120.9321391,128907.3578809,128882.2312748,151946.1853136,96099.2054730
0.7850000,0.0350000,0.0051329,110288.6323029,70930.1682069,441274.8834861,6871.6312613,310790.4771616,110301.3873018,110275.8773041,130012.5192546,82227.1370362,110288.6323029,70930.1682069,441274.8834861,6871.6312613,310790.4771616,110301.3873018,110275.8773041,130012.5192546,82227.1370362
0.7900000,0.0400000,0.0101329,93569.1899436,60169.6339146,374500.6077384,5815.8369912,263759.8420743,93582.1339626,93556.2459247,110302.9918421,69761.7373904,93569.1899436,60169.6339146,374500.6077384,5815.8369912,263759.8420743,93582.1339626,93556.2459247,110302.9918421,69761.7373904
0.7950000,0.0450000,0.0151329,78772.3844533,50647.4900185,315394.8901159,4882.5756119,222130.7253425,78785.5147125,78759.2541942,92859.9433743,58729.7848914,78772.3844533,50647.4900185,315394.8901159,4882.5756119,222130.7253425,78785.5147125,78759.2541942,92859.9433743,58729.7848914
0.8000000,0.0500000,0.0201329,65853.5002327,42334.8315706,263780.4624484,4068.8763899,185778.2259658,65866.8138509,65840.1866144,77630.6613674,49097.9412373,65853.5002327,42334.8315706,263780.4624484,4068.8763899,185778.2259658,65866.8138509,65840.1866144,77630.6613674,49097.9412373
0.8050000,0.0550000,0.0251329,54709.3382710,35165.0963873,219246.6582736,3368.0562805,154413.0482802,54722.8322691,54695.8442729,64493.4908235,40789.2650515,54709.3382710,35165.0963873,219246.6582736,3368.0562805,154413.0482802,54722.8322691,54695.8442729,64493.4908235,40789.2650515
0.8100000,0.0600000,0.0301329,45198.3265721,29047.0203228,181229.6046791,2771.0038114,127637.9875895,45211.9978760,45184.6552682,53281.5411800,33698.2054746,45198.3265721,29047.0203228,181229.6046791,2771.0038114,127637.9875895,45211.9978760,45184.6552682,53281.5411800,33698.2054746
0.8150000,0.0650000,0.0351329,37157.5141387,23875.5840728,149079.9959056,2267.2630232,104995.6683142,37171.3595829,37143.6686946,43802.7194784,27703.2722522,37157.5141387,23875.5840728,149079.9959056,2267.2630232,104995.6683142,37171.3595829,37143.6686946,43802.7194784,27703.2722522
0.8200000,0.0700000,0.0401329,30416.0265716,19540.6799010,122116.7639651,1845.8907765,86006.3480285,30430.0429027,30402.0102406,35855.5923464,22677.0677338,30416.0265716,19540.6799010,122116.7639651,1845.8907765,86006.3480285,30430.0429027,30402.0102406,35855.5923464,22677.0677338
0.8250000,0.0750000,0.0451329,24805.0410843,15933.5357377,99666.8744920,1510.8273104,70195.9482206,24819.2249648,24790.8572037,29241.1449325,18493.7238756,24805.0410843,15933.5357377,99666.8744920,1496.0913699,70195.9482206,24819.2249648,24790.8572037,29241.1449325,18493.7238756
0.8300000,0.0800000,0.0501329,20164.6429415,12951.1300561,81092.6892899,1222.3877517,57115.3271857,20178.9909538,20150.2949293,23770.8635419,15034.0141483,20164.6429415,12951.1300561,81092.6892899,1207.6518112,57115.3271857,20178.9909538,20150.2949293,23770.8635419,15034.0141483
0.8350000,0.0850000,0.0551329,16348.0807371,10498.9310142,65808.9570705,985.9469079,46352.2471950,16362.5893869,16333.5720874,19271.7519225,12188.5261154,16348.0807371,10498.9310142,65808.9570705,971.2109674,46352.2471950,16362.5893869,16333.5720874,19271.7519225,12188.5261154
0.8400000,0.0900000,0.0601329,13223.9822306,8492.3218514,53291.6709663,793.1345444,37537.6127992,13238.6479514,13209.3165098,15588.9433796,9859.3134790,13223.9822306,8492.3218514,53291.6709663,778.3986039,37537.6127992,13238.6479514,13209.3165098,15588.9433796,9859.3134790
0.8450000,0.0950000,0.0651329,10677.0636405,6857.0559230,43080.9168559,636.6143769,30347.4764346,10691.8827975,10662.2444834,12586.5369182,7960.4249031,10677.0636405,6857.0559230,43080.9168559,621.8784365,30347.4764346,10691.8827975,10662.2444834,12586.5369182,7960.4249031
0.8500000,0.1000000,0.0701329,8607.7955406,5529.0397893,34779.5587831,510.0607664,24502.1118361,8622.7644352,8592.8266460,10147.2033889,6417.6549180,8607.7955406,5529.0397893,34779.5587831,495.3248259,24502.1118361,8622.7644352,8592.8266460,10147.2033889,6417.6549180
0.8550000,0.1050000,0.0751329,6931.4019442,4453.6869803,28049.2628642,408.0931276,19763.2128196,6946.5168179,6916.2870705,8171.0055689,5167.7976744,6931.4019442,4453.6869803,28049.2628642,393.3571872,19763.2128196,6946.5168179,6916.2870705,8171.0055689,5167.7976744
0.8600000,0.1100000,0.0801329,5576.4818386,3585.0287866,22605.0131105,326.1865231,15930.0298901,5591.7388774,5561.2247997,6573.7731738,4157.6192101,5576.4818386,3585.0287866,22605.0131105,311.4505827,15930.0298901,5591.7388774,5561.2247997,6573.7731738,4157.6192101
0.8650000,0.1150000,0.0851329,4483.4636930,2884.7176835,18208.9587640,260.5718677,12835.0360647,4498.8590321,4468.0683539,5285.2809718,3342.7051890,4483.4636930,2884.7176835,18208.9587640,245.8359273,12835.0360647,4498.8590321,4468.0683539,5285.2809718,3342.7051890
0.8700000,0.1200000,0.0901329,3603.0376413,2321.0165847,14664.1703731,208.1349574,10339.5284931,3618.5673691,3587.5079136,4247.4005792,2686.2919931,3603.0376413,2321.0165847,14664.1703731,193.3990170,10339.5284931,3618.5673691,3587.5079136,4247.4005792,2686.2919931
0.8750000,0.1250000,0.0951329,2894.6581640,1867.8336979,11808.6750388,166.3202157,8329.4267889,2910.3183266,2878.9980014,3412.3353642,2158.1503783,2894.6581640,1867.8336979,11808.6750388,151.5842773,8329.4267889,2910.3183266,2878.9980014,3412.3353642,2158.1503783
0.8800000,0.1300000,0.1001329,2325.1712422,1518.5736656,9509.9863375,133.0425465,6711.4198607,2340.9578480,2309.3846363,2741.0020832,1748.2978713,2325.1712422,1503.8377252,9509.9863375,118.3066431,6711.4198607,2340.9578480,2309.3846363,2741.0020832,1733.5619308
0.8850000,0.1350000,0.1051329,1867.5922296,1226.4062260,7660.2338698,106.6087426,5409.5351560,1883.5012538,1851.6832054,2201.5901878,1407.1438340,1867.5922296,1211.6702856,7660.2338698,91.8732154,5409.5351560,1883.5012538,1851.6832054,2201.5901878,1392.4078936
0.8900000,0.1400000,0.1101329,1514.7778396,991.9962819,6171.9224362,85.6480178,4362.1514420,1530.8052284,1498.7504509,1783.0435369,1133.1118621,1500.0418992,977.2603415,6171.9224362,70.9151382,4362.1514420,1516.0692879,1484.0145104,1768.3075964,1118.3759217
0.8950000,0.1450000,0.1151329,1219.5720934,803.9736380,4974.3030881,69.0492790,3519.4426102,1235.7137684,1203.4304184,1435.0435484,913.0173443,1204.8361529,789.2376975,4974.3030881,54.3293836,3519.4426102,1220.9778279,1188.6944779,1420.3076079,898.2814038
