# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
0.7500000,0.0000000,-0.0374484,407815.5587047
0.7600000,0.0100000,-0.0274484,375835.6352240
0.7700000,0.0200000,-0.0174484,324845.6126762
0.7800000,0.0300000,-0.0074484,266538.5399243
0.7900000,0.0400000,0.0025516,209520.8822921
0.8000000,0.0500000,0.0125516,160381.4204814
0.8100000,0.0600000,0.0225516,123775.7430902
0.8200000,0.0700000,0.0325516,103319.8620416
0.8300000,0.0800000,0.0425516,98416.8595973
0.8400000,0.0900000,0.0525516,63236.5922012
0.8500000,0.1000000,0.0625516,38291.2549231
0.8600000,0.1100000,0.0725516,23273.3132124
0.8700000,0.1200000,0.0825516,14221.8522402
0.8800000,0.1300000,0.0925516,8693.1925774
0.8900000,0.1400000,0.1025516,5346.5058808
0.9000000,0.1500000,0.1125516,3310.5611928
0.9100000,0.1600000,0.1225516,2061.3342457
0.9200000,0.1700000,0.1325516,1306.5903258
0.9300000,0.1800000,0.1425516,824.1771551
0.9400000,0.1900000,0.1525516,520.8614299
0.9500000,0.2000000,0.1625516,327.4991621
0.9600000,0.2100000,0.1725516,203.4520291
0.9700000,0.2200000,0.1825516,124.9891569
0.9800000,0.2300000,0.1925516,75.1799168
0.9900000,0.2400000,0.2025516,43.2724472
1.0000000,0.2500000,0.2125516,22.7143854
1.0100000,0.2600000,0.2225516,9.3708935
1.0200000,0.2700000,0.2325516,0.6578170
1.0300000,0.2800000,0.2425516,-4.9634074
1.0400000,0.2900000,0.2525516,-8.4403418
1.0500000,0.3000000,0.2625516,-10.4054282
1.0600000,0.3100000,0.2725516,-11.3109534
1.0700000,0.3200000,0.2825516,-11.5285473
1.0800000,0.3300000,0.2925516,-11.3728742
1.0900000,0.3400000,0.3025516,-11.0568160
1.1000000,0.3500000,0.3125516,-10.7098643
1.1100000,0.3600000,0.3225516,-10.3861346
1.1200000,0.3700000,0.3325516,-10.0584171
1.1300000,0.3800000,0.3425516,-9.6917913
1.1400000,0.3900000,0.3525516,-9.2743124
1.1500000,0.4000000,0.3625516,-8.8161927
1.1600000,0.4100000,0.3725516,-8.3606397
1.1700000,0.4200000,0.3825516,-7.9561193
1.1800000,0.4300000,0.3925516,-7.6258907
1.1900000,0.4400000,0.4025516,-7.3645435
1.2000000,0.4500000,0.4125516,-7.1412912
1.2100000,0.4600000,0.4225516,-6.9146270
1.2200000,0.4700000,0.4325516,-6.6525536
1.2300000,0.4800000,0.4425516,-6.3586942
1.2400000,0.4900000,0.4525516,-6.0853301
1.2500000,0.5000000,0.4625516,-5.8788762
1.2600000,0.5100000,0.4725516,-5.7365882
1.2700000,0.5200000,0.4825516,-5.6380951
1.2800000,0.5300000,0.4925516,-5.5532350
1.2900000,0.5400000,0.5025516,-5.4451566
1.3000000,0.5500000,0.5125516,-5.2946816
1.3100000,0.5600000,0.5225516,-5.0995395
1.3200000,0.5700000,0.5325516,-4.8635764
1.3300000,0.5800000,0.5425516,-4.5951739
1.3400000,0.5900000,0.5525516,-4.3068079
1.3500000,0.6000000,0.5625516,-4.0118379
1.3600000,0.6100000,0.5725516,-3.7214517
1.3700000,0.6200000,0.5825516,-3.4434333
1.3800000,0.6300000,0.5925516,-3.1823441
1.3900000,0.6400000,0.6025516,-2.9402821
1.4000000,0.6500000,0.6125516,-2.7176909
1.4100000,0.6600000,0.6225516,-2.5140090
1.4200000,0.6700000,0.6325516,-2.3281266
1.4300000,0.6800000,0.6425516,-2.1586804
1.4400000,0.6900000,0.6525516,-2.0042337
1.4500000,0.7000000,0.6625516,-1.8633783
1.4600000,0.7100000,0.6725516,-1.7347885
1.4700000,0.7200000,0.6825516,-1.6172456
1.4800000,0.7300000,0.6925516,-1.5096456
1.4900000,0.7400000,0.7025516,-1.4109966
1.5000000,0.7500000,0.7125516,-1.3204127
1.5100000,0.7600000,0.7225516,-1.2371043
1.5200000,0.7700000,0.7325516,-1.1603688
1.5300000,0.7800000,0.7425516,-1.0895809
1.5400000,0.7900000,0.7525516,-1.0241840
1.5500000,0.8000000,0.7625516,-0.9636818
1.5600000,0.8100000,0.7725516,-0.9076314
1.5700000,0.8200000,0.7825516,-0.8556367
1.5800000,0.8300000,0.7925516,-0.8073433
1.5900000,0.8400000,0.8025516,-0.7624328
1.6000000,0.8500000,0.8125516,-0.7206193
1.6100000,0.8600000,0.8225516,-0.6816453
1.6200000,0.8700000,0.8325516,-0.6452784
1.6300000,0.8800000,0.8425516,-0.6113087
1.6400000,0.8900000,0.8525516,-0.5795462
1.6500000,0.9000000,0.8625516,-0.5498185
1.6600000,0.9100000,0.8725516,-0.5219692
1.6700000,0.9200000,0.8825516,-0.4958560
1.6800000,0.9300000,0.8925516,-0.4713491
1.6900000,0.9400000,0.9025516,-0.4483302
1.7000000,0.9500000,0.9125516,-0.4266912
1.7100000,0.9600000,0.9225516,-0.4063333
1.7200000,0.9700000,0.9325516,-0.3871658
1.7300000,0.9800000,0.9425516,-0.3691056
1.7400000,0.9900000,0.9525516,-0.3520765
1.7500000,1.0000000,0.9625516,-0.3360083
1.7600000,1.0100000,0.9725516,-0.3208363
