# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
-1.3818020,-1.3818020,-1.4219689,12326.9859715
-1.3718020,-1.3718020,-1.4119689,13075.8555941
-1.3618020,-1.3618020,-1.4019689,14393.9144552
-1.3518020,-1.3518020,-1.3919689,16992.8217158
-1.3418020,-1.3418020,-1.3819689,18889.0838462
-1.3318020,-1.3318020,-1.3719689,17997.4676404
-1.3218020,-1.3218020,-1.3619689,18189.7682222
-1.3118020,-1.3118020,-1.3519689,18966.1090078
-1.3018020,-1.3018020,-1.3419689,19569.2156908
-1.2918020,-1.2918020,-1.3319689,20487.8858683
-1.2818020,-1.2818020,-1.3219689,21123.0655853
-1.2718020,-1.2718020,-1.3119689,16373.6660956
-1.2618020,-1.2618020,-1.3019689,12129.8568409
-1.2518020,-1.2518020,-1.2919689,9357.4507813
-1.2418020,-1.2418020,-1.2819689,7795.3230187
-1.2318020,-1.2318020,-1.2719689,7231.4287650
-1.2218020,-1.2218020,-1.2619689,6922.8464535
-1.2118020,-1.2118020,-1.2519689,6567.8690080
-1.2018020,-1.2018020,-1.2419689,5892.8186083
-1.1918020,-1.1918020,-1.2319689,5603.0710034
-1.1818020,-1.1818020,-1.2219689,5800.2704184
-1.1718020,-1.1718020,-1.2119689,6562.6347263
-1.1618020,-1.1618020,-1.2019689,7822.0786649
-1.1518020,-1.1518020,-1.1919689,9545.6049012
-1.1418020,-1.1418020,-1.1819689,11710.0885109
-1.1318020,-1.1318020,-1.1719689,14282.2745790
-1.1218020,-1.1218020,-1.1619689,17202.8040404
-1.1118020,-1.1118020,-1.1519689,16898.6766193
-1.1018020,-1.1018020,-1.1419689,16460.7686627
-1.0918020,-1.0918020,-1.1319689,16413.8541441
-1.0818020,-1.0818020,-1.1219689,15366.4180538
-1.0718020,-1.0718020,-1.1119689,13519.5648511
-1.0618020,-1.0618020,-1.1019689,12289.9716325
-1.0518020,-1.0518020,-1.0919689,11634.3239085
-1.0418020,-1.0418020,-1.0819689,11579.4784243
-1.0318020,-1.0318020,-1.0719689,12196.7204041
-1.0218020,-1.0218020,-1.0619689,12986.7381654
-1.0118020,-1.0118020,-1.0519689,14199.5411586
-1.0018020,-1.0018020,-1.0419689,16654.0019280
-0.9918020,-0.9918020,-1.0319689,18777.1759610
-0.9818020,-0.9818020,-1.0219689,17852.8082939
-0.9718020,-0.9718020,-1.0119689,18058.3228808
-0.9618020,-0.9618020,-1.0019689,18857.1593413
-0.9518020,-0.9518020,-0.9919689,19455.6175580
-0.9418020,-0.9418020,-0.9819689,20356.3806424
-0.9318020,-0.9318020,-0.9719689,21610.7626342
-0.9218020,-0.9218020,-0.9619689,16892.8905614
-0.9118020,-0.9118020,-0.9519689,12482.6823084
-0.9018020,-0.9018020,-0.9419689,9576.9765450
-0.8918020,-0.8918020,-0.9319689,7901.9812175
-0.8818020,-0.8818020,-0.9219689,7293.8715870
-0.8718020,-0.8718020,-0.9119689,6942.4986022
-0.8618020,-0.8618020,-0.9019689,6685.1679136
-0.8518020,-0.8518020,-0.8919689,5949.4233485
-0.8418020,-0.8418020,-0.8819689,5618.9861618
-0.8318020,-0.8318020,-0.8719689,5753.6194711
-0.8218020,-0.8218020,-0.8619689,6463.3723874
-0.8118020,-0.8118020,-0.8519689,7674.9568038
-0.8018020,-0.8018020,-0.8419689,9353.1124942
-0.7918020,-0.7918020,-0.8319689,11474.6953683
-0.7818020,-0.7818020,-0.8219689,14008.2512081
-0.7718020,-0.7718020,-0.8119689,16897.6200287
-0.7618020,-0.7618020,-0.8019689,16973.6293135
-0.7518020,-0.7518020,-0.7919689,16483.3783299
-0.7418020,-0.7418020,-0.7819689,16406.9662735
-0.7318020,-0.7318020,-0.7719689,15590.3053834
-0.7218020,-0.7218020,-0.7619689,13675.1277817
-0.7118020,-0.7118020,-0.7519689,12387.3265525
-0.7018020,-0.7018020,-0.7419689,11673.9788554
-0.6918020,-0.6918020,-0.7319689,11556.5544140
-0.6818020,-0.6818020,-0.7219689,12102.3452745
