# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
-0.0712038,-0.0712038,0.0000000,61694.4465802
-0.0612038,-0.0612038,0.0100000,57991.3085755
-0.0512038,-0.0512038,0.0200000,44381.2349128
-0.0412038,-0.0412038,0.0300000,37306.5883603
-0.0312038,-0.0312038,0.0400000,35782.5932198
-0.0212038,-0.0212038,0.0500000,28108.1173654
-0.0112038,-0.0112038,0.0600000,22654.5431430
-0.0012038,-0.0012038,0.0700000,19428.7233158
0.0087962,0.0087962,0.0800000,18179.4775157
0.0187962,0.0187962,0.0900000,17513.4525792
0.0287962,0.0287962,0.1000000,12458.5901388
0.0387962,0.0387962,0.1100000,8235.6536272
0.0487962,0.0487962,0.1200000,5411.8409684
0.0587962,0.0587962,0.1300000,3552.3100998
0.0687962,0.0687962,0.1400000,2329.3413797
0.0787962,0.0787962,0.1500000,1543.6325869
0.0887962,0.0887962,0.1600000,1013.5472694
0.0987962,0.0987962,0.1700000,663.7750460
0.1087962,0.1087962,0.1800000,432.7178022
0.1187962,0.1187962,0.1900000,280.0032213
0.1287962,0.1287962,0.2000000,179.0091464
0.1387962,0.1387962,0.2100000,112.2690781
0.1487962,0.1487962,0.2200000,68.3593975
0.1587962,0.1587962,0.2300000,39.6595977
0.1687962,0.1687962,0.2400000,20.9792159
0.1787962,0.1787962,0.2500000,8.7789306
0.1887962,0.1887962,0.2600000,0.6838573
0.1987962,0.1987962,0.2700000,-4.8123996
0.2087962,0.2087962,0.2800000,-8.5492313
0.2187962,0.2187962,0.2900000,-10.9372392
0.2287962,0.2287962,0.3000000,-12.2253260
0.2387962,0.2387962,0.3100000,-12.6513865
0.2487962,0.2487962,0.3200000,-12.4665828
0.2587962,0.2587962,0.3300000,-11.8973824
0.2687962,0.2687962,0.3400000,-11.1139023
0.2787962,0.2787962,0.3500000,-10.2318659
0.2887962,0.2887962,0.3600000,-9.3407604
0.2987962,0.2987962,0.3700000,-8.5599824
0.3087962,0.3087962,0.3800000,-8.0544426
0.3187962,0.3187962,0.3900000,-7.8848330
0.3287962,0.3287962,0.4000000,-7.9004726
0.3387962,0.3387962,0.4100000,-7.9065789
0.3487962,0.3487962,0.4200000,-7.8082586
0.3587962,0.3587962,0.4300000,-7.5901745
0.3687962,0.3687962,0.4400000,-7.2674459
0.3787962,0.3787962,0.4500000,-6.8736755
0.3887962,0.3887962,0.4600000,-6.4653481
0.3987962,0.3987962,0.4700000,-6.1217462
0.4087962,0.4087962,0.4800000,-5.9062709
0.4187962,0.4187962,0.4900000,-5.8085827
0.4287962,0.4287962,0.5000000,-5.7540208
0.4387962,0.4387962,0.5100000,-5.6726593
0.4487962,0.4487962,0.5200000,-5.5325876
0.4587962,0.4587962,0.5300000,-5.3278967
0.4687962,0.4687962,0.5400000,-5.0694123
0.4787962,0.4787962,0.5500000,-4.7777575
0.4887962,0.4887962,0.5600000,-4.4736523
0.4987962,0.4987962,0.5700000,-4.1725294
0.5087962,0.5087962,0.5800000,-3.8839346
0.5187962,0.5187962,0.5900000,-3.6128801
0.5287962,0.5287962,0.6000000,-3.3613996
0.5387962,0.5387962,0.6100000,-3.1297452
0.5487962,0.5487962,0.6200000,-2.9171852
0.5587962,0.5587962,0.6300000,-2.7224970
0.5687962,0.5687962,0.6400000,-2.5442581
0.5787962,0.5787962,0.6500000,-2.3810107
0.5887962,0.5887962,0.6600000,-2.2313495
0.5987962,0.5987962,0.6700000,-2.0939651
0.6087962,0.6087962,0.6800000,-1.9676609
0.6187962,0.6187962,0.6900000,-1.8513567
0.6287962,0.6287962,0.7000000,-1.7440839
0.6387962,0.6387962,0.7100000,-1.6449770
0.6487962,0.6487962,0.7200000,-1.5532649
0.6587962,0.6587962,0.7300000,-1.4682600
0.6687962,0.6687962,0.7400000,-1.3893497
0.6787962,0.6787962,0.7500000,-1.3159873
0.6887962,0.6887962,0.7600000,-1.2476844
0.6987962,0.6987962,0.7700000,-1.1840038
0.7087962,0.7087962,0.7800000,-1.1245537
0.7187962,0.7187962,0.7900000,-1.0689822
0.7287962,0.7287962,0.8000000,-1.0169725
0.7387962,0.7387962,0.8100000,-0.9682391
0.7487962,0.7487962,0.8200000,-0.9225241
0.7587962,0.7587962,0.8300000,-0.8795940
0.7687962,0.7687962,0.8400000,-0.8392373
0.7787962,0.7787962,0.8500000,-0.8012616
0.7887962,0.7887962,0.8600000,-0.7654921
0.7987962,0.7987962,0.8700000,-0.7317693
0.8087962,0.8087962,0.8800000,-0.6999478
0.8187962,0.8187962,0.8900000,-0.6698946
