# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
-0.0712038,-0.0712038,0.0000000,62433.0588901,62433.0588901
-0.0612038,-0.0612038,0.0100000,67189.9216695,67189.9216695
-0.0512038,-0.0512038,0.0200000,48781.6035019,48781.6035019
-0.0412038,-0.0412038,0.0300000,35785.1401639,35785.1401639
-0.0312038,-0.0312038,0.0400000,27919.6310000,27919.6310000
-0.0212038,-0.0212038,0.0500000,22160.1552795,22160.1552795
-0.0112038,-0.0112038,0.0600000,17496.1747064,17496.1747064
-0.0012038,-0.0012038,0.0700000,13581.9414868,13581.9414868
0.0087962,0.0087962,0.0800000,10317.2418171,10317.2418171
0.0187962,0.0187962,0.0900000,7662.3877694,7662.3877694
0.0287962,0.0287962,0.1000000,5565.8905609,5565.8905609
0.0387962,0.0387962,0.1100000,3957.3759410,3957.3759410
0.0487962,0.0487962,0.1200000,2677.5906360,2677.5906360
0.0587962,0.0587962,0.1300000,1812.9016952,1788.7894526
0.0687962,0.0687962,0.1400000,1206.3166603,1182.2146061
0.0787962,0.0787962,0.1500000,797.6508765,773.6541381
0.0887962,0.0887962,0.1600000,524.8216788,501.1446237
0.0987962,0.0987962,0.1700000,343.9097218,320.7093210
0.1087962,0.1087962,0.1800000,224.5607033,201.9265656
0.1187962,0.1187962,0.1900000,146.1755574,124.1270596
0.1287962,0.1287962,0.2000000,94.9960526,73.4398183
0.1387962,0.1387962,0.2100000,61.8004643,40.6315508
0.1487962,0.1487962,0.2200000,40.2904983,19.5869227
0.1587962,0.1587962,0.2300000,26.1551630,6.2670445
0.1687962,0.1687962,0.2400000,16.4483860,-1.9920760
0.1787962,0.1787962,0.2500000,8.9295849,-6.9468420
0.1887962,0.1887962,0.2600000,2.8112928,-9.7552435
0.1987962,0.1987962,0.2700000,-1.7626654,-11.4534200
0.2087962,0.2087962,0.2800000,-4.9820971,-12.6803530
0.2187962,0.2187962,0.2900000,-7.1420231,-13.1688328
0.2287962,0.2287962,0.3000000,-8.4944432,-13.1834415
0.2387962,0.2387962,0.3100000,-9.2326810,-13.0470705
0.2487962,0.2487962,0.3200000,-9.5052646,-12.7766478
0.2587962,0.2587962,0.3300000,-9.4399096,-12.3109453
0.2687962,0.2687962,0.3400000,-9.1461975,-11.7141852
0.2787962,0.2787962,0.3500000,-8.7112214,-10.9171170
0.2887962,0.2887962,0.3600000,-8.1987516,-10.0555845
0.2987962,0.2987962,0.3700000,-7.6526611,-9.2021463
0.3087962,0.3087962,0.3800000,-7.1024808,-8.3930287
0.3187962,0.3187962,0.3900000,-6.5678453,-7.6444011
0.3287962,0.3287962,0.4000000,-6.0608717,-6.9614746
0.3387962,0.3387962,0.4100000,-5.5879170,-6.3436227
0.3487962,0.3487962,0.4200000,-5.1513420,-5.7872701
0.3587962,0.3587962,0.4300000,-4.7510131,-5.2875153
0.3687962,0.3687962,0.4400000,-4.3853790,-4.8390296
0.3787962,0.3787962,0.4500000,-4.0521665,-4.4365415
0.3887962,0.3887962,0.4600000,-3.7488038,-4.0750835
0.3987962,0.3987962,0.4700000,-3.4726679,-3.7501032
0.4087962,0.4087962,0.4800000,-3.2212221,-3.4578984
0.4187962,0.4187962,0.4900000,-2.9920867,-3.2016878
0.4287962,0.4287962,0.5000000,-2.7830713,-2.9684528
0.4387962,0.4387962,0.5100000,-2.5921835,-2.7559900
0.4487962,0.4487962,0.5200000,-2.4176247,-2.5622783
0.4587962,0.4587962,0.5300000,-2.2577794,-2.3854783
0.4687962,0.4687962,0.5400000,-2.1112009,-2.2239261
0.4787962,0.4787962,0.5500000,-1.9765961,-2.0761220
0.4887962,0.4887962,0.5600000,-1.8528100,-1.9407185
0.4987962,0.4987962,0.5700000,-1.7388109,-1.8165071
0.5087962,0.5087962,0.5800000,-1.6336776,-1.7024051
0.5187962,0.5187962,0.5900000,-1.5365865,-1.5974431
0.5287962,0.5287962,0.6000000,-1.4468011,-1.5010679
0.5387962,0.5387962,0.6100000,-1.3636615,-1.4130490
0.5487962,0.5487962,0.6200000,-1.2865764,-1.3316746
0.5587962,0.5587962,0.6300000,-1.2150148,-1.2563412
0.5687962,0.5687962,0.6400000,-1.1484994,-1.1865073
0.5787962,0.5787962,0.6500000,-1.0866007,-1.1216868
0.5887962,0.5887962,0.6600000,-1.0289313,-1.0614427
0.5987962,0.5987962,0.6700000,-0.9751419,-1.0053817
0.6087962,0.6087962,0.6800000,-0.9249164,-0.9531497
0.6187962,0.6187962,0.6900000,-0.8779689,-0.9044269
0.6287962,0.6287962,0.7000000,-0.8340401,-0.8589249
0.6387962,0.6387962,0.7100000,-0.7928947,-0.8163827
0.6487962,0.6487962,0.7200000,-0.7543188,-0.7765664
0.6587962,0.6587962,0.7300000,-0.7181177,-0.7392662
0.6687962,0.6687962,0.7400000,-0.6841141,-0.7042795
0.6787962,0.6787962,0.7500000,-0.6521461,-0.6714297
0.6887962,0.6887962,0.7600000,-0.6220657,-0.6405562
0.6987962,0.6987962,0.7700000,-0.5937377,-0.6115124
0.7087962,0.7087962,0.7800000,-0.5670380,-0.5841671
0.7187962,0.7187962,0.7900000,-0.5418532,-0.5584116
0.7287962,0.7287962,0.8000000,-0.5180788,-0.5341162
0.7387962,0.7387962,0.8100000,-0.4956189,-0.5111790
0.7487962,0.7487962,0.8200000,-0.4743853,-0.4895064
0.7587962,0.7587962,0.8300000,-0.4542968,-0.4690126
0.7687962,0.7687962,0.8400000,-0.4352784,-0.4496185
0.7787962,0.7787962,0.8500000,-0.4172610,-0.4312538
0.7887962,0.7887962,0.8600000,-0.4001805,-0.4138515
0.7987962,0.7987962,0.8700000,-0.3839780,-0.3973468
0.8087962,0.8087962,0.8800000,-0.3685987,-0.3816827
0.8187962,0.8187962,0.8900000,-0.3539919,-0.3668066
0.8287962,0.8287962,0.9000000,-0.3401105,-0.3526698
0.8387962,0.8387962,0.9100000,-0.3269108,-0.3392330
0.8487962,0.8487962,0.9200000,-0.3143524,-0.3264504
0.8587962,0.8587962,0.9300000,-0.3023975,-0.3142804
0.8687962,0.8687962,0.9400000,-0.2910109,-0.3026869
0.8787962,0.8787962,0.9500000,-0.2801600,-0.2916364
0.8887962,0.8887962,0.9600000,-0.2698143,-0.2810979
0.8987962,0.8987962,0.9700000,-0.2599453,-0.2710424
0.9087962,0.9087962,0.9800000,-0.2505264,-0.2614438
0.9187962,0.9187962,0.9900000,-0.2415328,-0.2522765
0.9287962,0.9287962,1.0000000,-0.2329414,-0.2435159
0.9387962,0.9387962,1.0100000,-0.2247303,-0.2351399
0.9487962,0.9487962,1.0200000,-0.2168793,-0.2271279
0.9587962,0.9587962,1.0300000,-0.2093693,-0.2194606
0.9687962,0.9687962,1.0400000,-0.2021824,-0.2121199
0.9787962,0.9787962,1.0500000,-0.1953019,-0.2050889
0.9887962,0.9887962,1.0600000,-0.1887119,-0.1983517
0.9987962,0.9987962,1.0700000,-0.1823978,-0.1918934
1.0087962,1.0087962,1.0800000,-0.1763455,-0.1856998
1.0187962,1.0187962,1.0900000,-0.1705421,-0.1797578
1.0287962,1.0287962,1.1000000,-0.1649751,-0.1740550
1.0387962,1.0387962,1.1100000,-0.1596331,-0.1685803
1.0487962,1.0487962,1.1200000,-0.1545050,-0.1633226
1.0587962,1.0587962,1.1300000,-0.1495805,-0.1582709
1.0687962,1.0687962,1.1400000,-0.1448500,-0.1534153
1.0787962,1.0787962,1.1500000,-0.1403043,-0.1487465
1.0887962,1.0887962,1.1600000,-0.1359346,-0.1442559
1.0987962,1.0987962,1.1700000,-0.1317328,-0.1399353
1.1087962,1.1087962,1.1800000,-0.1276912,-0.1357768
1.1187962,1.1187962,1.1900000,-0.1238024,-0.1317731
1.1287962,1.1287962,1.2000000,-0.1200595,-0.1279171
1.1387962,1.1387962,1.2100000,-0.1164560,-0.1242024
1.1487962,1.1487962,1.2200000,-0.1129855,-0.1206226
1.1587962,1.1587962,1.2300000,-0.1096423,-0.1171719
1.1687962,1.1687962,1.2400000,-0.1064208,-0.1138445
1.1787962,1.1787962,1.2500000,-0.1033155,-0.1106352
1.1887962,1.1887962,1.2600000,-0.1003216,-0.1075390
1.1987962,1.1987962,1.2700000,-0.0974343,-0.1045510
1.2087962,1.2087962,1.2800000,-0.0946489,-0.1016666
1.2187962,1.2187962,1.2900000,-0.0919613,-0.0989009
1.2287962,1.2287962,1.3000000,-0.0893672,-0.0962355
1.2387962,1.2387962,1.3100000,-0.0868629,-0.0936606
1.2487962,1.2487962,1.3200000,-0.0844446,-0.0911810
1.2587962,1.2587962,1.3300000,-0.0821088,-0.0887870
1.2687962,1.2687962,1.3400000,-0.0798520,-0.0864727
1.2787962,1.2787962,1.3500000,-0.0776713,-0.0842351
1.2887962,1.2887962,1.3600000,-0.0755634,-0.0820709
1.2987962,1.2987962,1.3700000,-0.0735255,-0.0799769
1.3087962,1.3087962,1.3800000,-0.0715548,-0.0779505
1.3187962,1.3187962,1.3900000,-0.0696487,-0.0759891
1.3287962,1.3287962,1.4000000,-0.0678046,-0.0740901
1.3387962,1.3387962,1.4100000,-0.0660202,-0.0722512
1.3487962,1.3487962,1.4200000,-0.0642932,-0.0704700
1.3587962,1.3587962,1.4300000,-0.0626213,-0.0687443
1.3687962,1.3687962,1.4400000,-0.0610025,-0.0670721
1.3787962,1.3787962,1.4500000,-0.0594347,-0.0654513
1.3887962,1.3887962,1.4600000,-0.0579161,-0.0638801
1.3987962,1.3987962,1.4700000,-0.0564449,-0.0623565
1.4087962,1.4087962,1.4800000,-0.0550192,-0.0608790
1.4187962,1.4187962,1.4900000,-0.0536374,-0.0594457
1.4287962,1.4287962,1.5000000,-0.0522979,-0.0580551
1.4387962,1.4387962,1.5100000,-0.0509991,-0.0567056
1.4487962,1.4487962,1.5200000,-0.0497397,-0.0553958
1.4587962,1.4587962,1.5300000,-0.0485181,-0.0541246
1.4687962,1.4687962,1.5400000,-0.0473330,-0.0528909
1.4787962,1.4787962,1.5500000,-0.0461832,-0.0516954
1.4887962,1.4887962,1.5600000,-0.0450674,-0.0505374
1.4987962,1.4987962,1.5700000,-0.0439843,-0.0494124
1.5087962,1.5087962,1.5800000,-0.0429330,-0.0483192
1.5187962,1.5187962,1.5900000,-0.0419122,-0.0472569
1.5287962,1.5287962,1.6000000,-0.0409209,-0.0462242
1.5387962,1.5387962,1.6100000,-0.0399581,-0.0452203
1.5487962,1.5487962,1.6200000,-0.0390228,-0.0442441
1.5587962,1.5587962,1.6300000,-0.0381142,-0.0432947
1.5687962,1.5687962,1.6400000,-0.0372313,-0.0423712
1.5787962,1.5787962,1.6500000,-0.0363732,-0.0414728
1.5887962,1.5887962,1.6600000,-0.0355391,-0.0405987
1.5987962,1.5987962,1.6700000,-0.0347283,-0.0397480
