# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
0.0139130,0.0139130,0.0000000,62867.7553867
0.0239130,0.0239130,0.0100000,55078.6425698
0.0339130,0.0339130,0.0200000,45911.9327207
0.0439130,0.0439130,0.0300000,36567.2385705
0.0539130,0.0539130,0.0400000,27963.8400311
0.0639130,0.0639130,0.0500000,20638.1339425
0.0739130,0.0739130,0.0600000,14774.0532137
0.0839130,0.0839130,0.0700000,10305.6428734
0.0939130,0.0939130,0.0800000,7015.5793327
0.1039130,0.1039130,0.0900000,4652.3304395
0.1139130,0.1139130,0.1000000,3029.3567549
0.1239130,0.1239130,0.1100000,1943.7629775
0.1339130,0.1339130,0.1200000,1253.3360096
0.1439130,0.1439130,0.1300000,788.7049600
0.1539130,0.1539130,0.1400000,489.4869287
0.1639130,0.1639130,0.1500000,298.3111890
0.1739130,0.1739130,0.1600000,176.6578052
0.1839130,0.1839130,0.1700000,99.4951249
0.1939130,0.1939130,0.1800000,50.8869159
0.2039130,0.2039130,0.1900000,20.5000327
0.2139130,0.2139130,0.2000000,1.6296370
0.2239130,0.2239130,0.2100000,-9.9527218
0.2339130,0.2339130,0.2200000,-16.8674957
0.2439130,0.2439130,0.2300000,-20.7538760
0.2539130,0.2539130,0.2400000,-22.6375225
0.2639130,0.2639130,0.2500000,-23.1839235
0.2739130,0.2739130,0.2600000,-22.8377562
0.2839130,0.2839130,0.2700000,-21.9088925
0.2939130,0.2939130,0.2800000,-20.6319443
0.3039130,0.3039130,0.2900000,-19.1848529
0.3139130,0.3139130,0.3000000,-17.6914907
0.3239130,0.3239130,0.3100000,-16.2297487
0.3339130,0.3339130,0.3200000,-14.8438426
0.3439130,0.3439130,0.3300000,-13.5556746
0.3539130,0.3539130,0.3400000,-12.3732982
0.3639130,0.3639130,0.3500000,-11.2966082
0.3739130,0.3739130,0.3600000,-10.3209665
0.3839130,0.3839130,0.3700000,-9.4394388
0.3939130,0.3939130,0.3800000,-8.6441393
0.4039130,0.4039130,0.3900000,-7.9270158
0.4139130,0.4139130,0.4000000,-7.2802907
0.4239130,0.4239130,0.4100000,-6.6966902
0.4339130,0.4339130,0.4200000,-6.1695478
0.4439130,0.4439130,0.4300000,-5.6928323
0.4539130,0.4539130,0.4400000,-5.2611341
0.4639130,0.4639130,0.4500000,-4.8696282
0.4739130,0.4739130,0.4600000,-4.5140264
0.4839130,0.4839130,0.4700000,-4.1905261
0.4939130,0.4939130,0.4800000,-3.8957593
0.5039130,0.5039130,0.4900000,-3.6267441
0.5139130,0.5139130,0.5000000,-3.3808401
0.5239130,0.5239130,0.5100000,-3.1557085
0.5339130,0.5339130,0.5200000,-2.9492756
0.5439130,0.5439130,0.5300000,-2.7597010
0.5539130,0.5539130,0.5400000,-2.5853493
0.5639130,0.5639130,0.5500000,-2.4247656
0.5739130,0.5739130,0.5600000,-2.2766536
0.5839130,0.5839130,0.5700000,-2.1398566
0.5939130,0.5939130,0.5800000,-2.0133409
0.6039130,0.6039130,0.5900000,-1.8961815
0.6139130,0.6139130,0.6000000,-1.7875492
0.6239130,0.6239130,0.6100000,-1.6866997
0.6339130,0.6339130,0.6200000,-1.5929637
0.6439130,0.6439130,0.6300000,-1.5057386
0.6539130,0.6539130,0.6400000,-1.4244809
0.6639130,0.6639130,0.6500000,-1.3486998
0.6739130,0.6739130,0.6600000,-1.2779514
0.6839130,0.6839130,0.6700000,-1.2118336
0.6939130,0.6939130,0.6800000,-1.1499817
0.7039130,0.7039130,0.6900000,-1.0920644
0.7139130,0.7139130,0.7000000,-1.0377805
0.7239130,0.7239130,0.7100000,-0.9868555
0.7339130,0.7339130,0.7200000,-0.9390392
0.7439130,0.7439130,0.7300000,-0.8941032
0.7539130,0.7539130,0.7400000,-0.8518386
0.7639130,0.7639130,0.7500000,-0.8120543
0.7739130,0.7739130,0.7600000,-0.7745750
0.7839130,0.7839130,0.7700000,-0.7392402
0.7939130,0.7939130,0.7800000,-0.7059020
0.8039130,0.8039130,0.7900000,-0.6744249
0.8139130,0.8139130,0.8000000,-0.6446838
0.8239130,0.8239130,0.8100000,-0.6165636
0.8339130,0.8339130,0.8200000,-0.5899582
0.8439130,0.8439130,0.8300000,-0.5647696
0.8539130,0.8539130,0.8400000,-0.5409069
0.8639130,0.8639130,0.8500000,-0.5182865
0.8739130,0.8739130,0.8600000,-0.4968307
0.8839130,0.8839130,0.8700000,-0.4764676
0.8939130,0.8939130,0.8800000,-0.4571303
0.9039130,0.9039130,0.8900000,-0.4387569
0.9139130,0.9139130,0.9000000,-0.4212898
0.9239130,0.9239130,0.9100000,-0.4046755
0.9339130,0.9339130,0.9200000,-0.3888641
0.9439130,0.9439130,0.9300000,-0.3738091
0.9539130,0.9539130,0.9400000,-0.3594671
0.9639130,0.9639130,0.9500000,-0.3457980
0.9739130,0.9739130,0.9600000,-0.3327638
0.9839130,0.9839130,0.9700000,-0.3203293
0.9939130,0.9939130,0.9800000,-0.3084616
1.0039130,1.0039130,0.9900000,-0.2971298
1.0139130,1.0139130,1.0000000,-0.2863051
1.0239130,1.0239130,1.0100000,-0.2759603
1.0339130,1.0339130,1.0200000,-0.2660701
1.0439130,1.0439130,1.0300000,-0.2566107
1.0539130,1.0539130,1.0400000,-0.2475598
1.0639130,1.0639130,1.0500000,-0.2388963
1.0739130,1.0739130,1.0600000,-0.2306005
1.0839130,1.0839130,1.0700000,-0.2226539
1.0939130,1.0939130,1.0800000,-0.2150389
1.1039130,1.1039130,1.0900000,-0.2077392
1.1139130,1.1139130,1.1000000,-0.2007392
1.1239130,1.1239130,1.1100000,-0.1940243
1.1339130,1.1339130,1.1200000,-0.1875807
1.1439130,1.1439130,1.1300000,-0.1813955
1.1539130,1.1539130,1.1400000,-0.1754563
1.1639130,1.1639130,1.1500000,-0.1697516
1.1739130,1.1739130,1.1600000,-0.1642704
1.1839130,1.1839130,1.1700000,-0.1590023
1.1939130,1.1939130,1.1800000,-0.1539376
1.2039130,1.2039130,1.1900000,-0.1490669
1.2139130,1.2139130,1.2000000,-0.1443814
1.2239130,1.2239130,1.2100000,-0.1398730
1.2339130,1.2339130,1.2200000,-0.1355335
1.2439130,1.2439130,1.2300000,-0.1313556
1.2539130,1.2539130,1.2400000,-0.1273322
1.2639130,1.2639130,1.2500000,-0.1234566
1.2739130,1.2739130,1.2600000,-0.1197222
1.2839130,1.2839130,1.2700000,-0.1161232
1.2939130,1.2939130,1.2800000,-0.1126536
1.3039130,1.3039130,1.2900000,-0.1093081
1.3139130,1.3139130,1.3000000,-0.1060814
1.3239130,1.3239130,1.3100000,-0.1029685
1.3339130,1.3339130,1.3200000,-0.0999647
1.3439130,1.3439130,1.3300000,-0.0970655
1.3539130,1.3539130,1.3400000,-0.0942667
1.3639130,1.3639130,1.3500000,-0.0915642
1.3739130,1.3739130,1.3600000,-0.0889540
1.3839130,1.3839130,1.3700000,-0.0864325
1.3939130,1.3939130,1.3800000,-0.0839962
1.4039130,1.4039130,1.3900000,-0.0816417
1.4139130,1.4139130,1.4000000,-0.0793657
1.4239130,1.4239130,1.4100000,-0.0771652
1.4339130,1.4339130,1.4200000,-0.0750372
1.4439130,1.4439130,1.4300000,-0.0729791
1.4539130,1.4539130,1.4400000,-0.0709880
1.4639130,1.4639130,1.4500000,-0.0690614
1.4739130,1.4739130,1.4600000,-0.0671969
1.4839130,1.4839130,1.4700000,-0.0653922
1.4939130,1.4939130,1.4800000,-0.0636450
1.5039130,1.5039130,1.4900000,-0.0619531
1.5139130,1.5139130,1.5000000,-0.0603146
1.5239130,1.5239130,1.5100000,-0.0587275
1.5339130,1.5339130,1.5200000,-0.0571898
1.5439130,1.5439130,1.5300000,-0.0556998
1.5539130,1.5539130,1.5400000,-0.0542558
1.5639130,1.5639130,1.5500000,-0.0528561
1.5739130,1.5739130,1.5600000,-0.0514992
1.5839130,1.5839130,1.5700000,-0.0501834
1.5939130,1.5939130,1.5800000,-0.0489074
