# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
-0.0489963,-0.0489963,-0.0000000,41476.6499077
-0.0389963,-0.0389963,0.0100000,27985.5526281
-0.0289963,-0.0289963,0.0200000,19312.0978999
-0.0189963,-0.0189963,0.0300000,13841.2598000
-0.0089963,-0.0089963,0.0400000,10381.4698589
0.0010037,0.0010037,0.0500000,8120.8416801
0.0110037,0.0110037,0.0600000,6543.7603900
0.0210037,0.0210037,0.0700000,5346.6759814
0.0310037,0.0310037,0.0800000,4291.9086807
0.0410037,0.0410037,0.0900000,3114.3108447
0.0510037,0.0510037,0.1000000,2026.9729341
0.0610037,0.0610037,0.1100000,1210.6461803
0.0710037,0.0710037,0.1200000,727.3608830
0.0810037,0.0810037,0.1300000,453.6076054
0.0910037,0.0910037,0.1400000,289.2920452
0.1010037,0.1010037,0.1500000,185.3284888
0.1110037,0.1110037,0.1600000,116.7274784
0.1210037,0.1210037,0.1700000,70.1545186
0.1310037,0.1310037,0.1800000,38.0510598
0.1410037,0.1410037,0.1900000,15.8494148
0.1510037,0.1510037,0.2000000,0.6031164
0.1610037,0.1610037,0.2100000,-9.7048536
0.1710037,0.1710037,0.2200000,-16.4941848
0.1810037,0.1810037,0.2300000,-20.7562921
0.1910037,0.1910037,0.2400000,-23.2062468
0.2010037,0.2010037,0.2500000,-24.4093240
0.2110037,0.2110037,0.2600000,-24.7979197
0.2210037,0.2210037,0.2700000,-24.6368698
0.2310037,0.2310037,0.2800000,-24.0808080
0.2410037,0.2410037,0.2900000,-23.2562984
0.2510037,0.2510037,0.3000000,-22.2881369
0.2610037,0.2610037,0.3100000,-21.2779107
0.2710037,0.2710037,0.3200000,-20.2458167
0.2810037,0.2810037,0.3300000,-19.1446189
0.2910037,0.2910037,0.3400000,-17.9466297
0.3010037,0.3010037,0.3500000,-16.6805143
0.3110037,0.3110037,0.3600000,-15.4006689
0.3210037,0.3210037,0.3700000,-14.1554626
0.3310037,0.3310037,0.3800000,-12.9767234
0.3410037,0.3410037,0.3900000,-11.8811806
0.3510037,0.3510037,0.4000000,-10.8749658
0.3610037,0.3610037,0.4100000,-9.9576675
0.3710037,0.3710037,0.4200000,-9.1252007
0.3810037,0.3810037,0.4300000,-8.3716410
0.3910037,0.3910037,0.4400000,-7.6903334
0.4010037,0.4010037,0.4500000,-7.0745332
0.4110037,0.4110037,0.4600000,-6.5177580
0.4210037,0.4210037,0.4700000,-6.0139653
0.4310037,0.4310037,0.4800000,-5.5576287
0.4410037,0.4410037,0.4900000,-5.1437540
0.4510037,0.4510037,0.5000000,-4.7678630
0.4610037,0.4610037,0.5100000,-4.4259601
0.4710037,0.4710037,0.5200000,-4.1144914
0.4810037,0.4810037,0.5300000,-3.8303018
0.4910037,0.4910037,0.5400000,-3.5705922
0.5010037,0.5010037,0.5500000,-3.3328802
0.5110037,0.5110037,0.5600000,-3.1149636
0.5210037,0.5210037,0.5700000,-2.9148874
0.5310037,0.5310037,0.5800000,-2.7309142
0.5410037,0.5410037,0.5900000,-2.5614990
0.5510037,0.5510037,0.6000000,-2.4052653
0.5610037,0.5610037,0.6100000,-2.2609856
0.5710037,0.5710037,0.6200000,-2.1275636
0.5810037,0.5810037,0.6300000,-2.0040185
0.5910037,0.5910037,0.6400000,-1.8894718
0.6010037,0.6010037,0.6500000,-1.7831354
0.6110037,0.6110037,0.6600000,-1.6843009
0.6210037,0.6210037,0.6700000,-1.5923308
0.6310037,0.6310037,0.6800000,-1.5066508
0.6410037,0.6410037,0.6900000,-1.4267421
0.6510037,0.6510037,0.7000000,-1.3521360
0.6610037,0.6610037,0.7100000,-1.2824079
0.6710037,0.6710037,0.7200000,-1.2171731
0.6810037,0.6810037,0.7300000,-1.1560822
0.6910037,0.6910037,0.7400000,-1.0988174
0.7010037,0.7010037,0.7500000,-1.0450896
0.7110037,0.7110037,0.7600000,-0.9946352
0.7210037,0.7210037,0.7700000,-0.9472135
0.7310037,0.7310037,0.7800000,-0.9026045
0.7410037,0.7410037,0.7900000,-0.8606071
0.7510037,0.7510037,0.8000000,-0.8210367
0.7610037,0.7610037,0.8100000,-0.7837243
0.7710037,0.7710037,0.8200000,-0.7485144
0.7810037,0.7810037,0.8300000,-0.7152644
0.7910037,0.7910037,0.8400000,-0.6838428
0.8010037,0.8010037,0.8500000,-0.6541284
0.8110037,0.8110037,0.8600000,-0.6260096
0.8210037,0.8210037,0.8700000,-0.5993832
0.8310037,0.8310037,0.8800000,-0.5741540
0.8410037,0.8410037,0.8900000,-0.5502337
0.8510037,0.8510037,0.9000000,-0.5275407
0.8610037,0.8610037,0.9100000,-0.5059994
0.8710037,0.8710037,0.9200000,-0.4855394
0.8810037,0.8810037,0.9300000,-0.4660957
0.8910037,0.8910037,0.9400000,-0.4476076
0.9010037,0.9010037,0.9500000,-0.4300189
0.9110037,0.9110037,0.9600000,-0.4132770
0.9210037,0.9210037,0.9700000,-0.3973331
0.9310037,0.9310037,0.9800000,-0.3821416
0.9410037,0.9410037,0.9900000,-0.3676601
0.9510037,0.9510037,1.0000000,-0.3538487
0.9610037,0.9610037,1.0100000,-0.3406705
0.9710037,0.9710037,1.0200000,-0.3280907
0.9810037,0.9810037,1.0300000,-0.3160769
0.9910037,0.9910037,1.0400000,-0.3045986
1.0010037,1.0010037,1.0500000,-0.2936273
1.0110037,1.0110037,1.0600000,-0.2831364
1.0210037,1.0210037,1.0700000,-0.2731007
1.0310037,1.0310037,1.0800000,-0.2634968
1.0410037,1.0410037,1.0900000,-0.2543024
1.0510037,1.0510037,1.1000000,-0.2454968
1.0610037,1.0610037,1.1100000,-0.2370605
1.0710037,1.0710037,1.1200000,-0.2289750
1.0810037,1.0810037,1.1300000,-0.2212230
1.0910037,1.0910037,1.1400000,-0.2137881
1.1010037,1.1010037,1.1500000,-0.2066550
1.1110037,1.1110037,1.1600000,-0.1998091
1.1210037,1.1210037,1.1700000,-0.1932366
1.1310037,1.1310037,1.1800000,-0.1869248
1.1410037,1.1410037,1.1900000,-0.1808612
1.1510037,1.1510037,1.2000000,-0.1750343
1.1610037,1.1610037,1.2100000,-0.1694333
1.1710037,1.1710037,1.2200000,-0.1640477
1.1810037,1.1810037,1.2300000,-0.1588678
1.1910037,1.1910037,1.2400000,-0.1538842
1.2010037,1.2010037,1.2500000,-0.1490883
1.2110037,1.2110037,1.2600000,-0.1444715
1.2210037,1.2210037,1.2700000,-0.1400261
1.2310037,1.2310037,1.2800000,-0.1357446
1.2410037,1.2410037,1.2900000,-0.1316197
1.2510037,1.2510037,1.3000000,-0.1276448
1.2610037,1.2610037,1.3100000,-0.1238135
1.2710037,1.2710037,1.3200000,-0.1201196
1.2810037,1.2810037,1.3300000,-0.1165574
1.2910037,1.2910037,1.3400000,-0.1131213
1.3010037,1.3010037,1.3500000,-0.1098060
1.3110037,1.3110037,1.3600000,-0.1066067
1.3210037,1.3210037,1.3700000,-0.1035184
1.3310037,1.3310037,1.3800000,-0.1005368
1.3410037,1.3410037,1.3900000,-0.0976574
1.3510037,1.3510037,1.4000000,-0.0948762
1.3610037,1.3610037,1.4100000,-0.0921893
1.3710037,1.3710037,1.4200000,-0.0895928
1.3810037,1.3810037,1.4300000,-0.0870833
1.3910037,1.3910037,1.4400000,-0.0846573
1.4010037,1.4010037,1.4500000,-0.0823116
1.4110037,1.4110037,1.4600000,-0.0800430
1.4210037,1.4210037,1.4700000,-0.0778486
1.4310037,1.4310037,1.4800000,-0.0757256
1.4410037,1.4410037,1.4900000,-0.0736713
1.4510037,1.4510037,1.5000000,-0.0716829
1.4610037,1.4610037,1.5100000,-0.0697582
1.4710037,1.4710037,1.5200000,-0.0678947
1.4810037,1.4810037,1.5300000,-0.0660901
1.4910037,1.4910037,1.5400000,-0.0643423
1.5010037,1.5010037,1.5500000,-0.0626492
1.5110037,1.5110037,1.5600000,-0.0610087
1.5210037,1.5210037,1.5700000,-0.0594191
1.5310037,1.5310037,1.5800000,-0.0578784
1.5410037,1.5410037,1.5900000,-0.0563848
1.5510037,1.5510037,1.6000000,-0.0549368
1.5610037,1.5610037,1.6100000,-0.0535327
1.5710037,1.5710037,1.6200000,-0.0521710
1.5810037,1.5810037,1.6300000,-0.0508501
1.5910037,1.5910037,1.6400000,-0.0495687
