# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.0150412,0.0150412,-0.0000000,76611.3273866,76611.3273866
0.0250412,0.0250412,0.0100000,66230.5408811,66230.5408811
0.0350412,0.0350412,0.0200000,54457.2957159,54457.2957159
0.0450412,0.0450412,0.0300000,42779.9565413,42779.9565413
0.0550412,0.0550412,0.0400000,32270.4642725,32270.4642725
0.0650412,0.0650412,0.0500000,23497.9019199,23497.9019199
0.0750412,0.0750412,0.0600000,16601.0320305,16601.0320305
0.0850412,0.0850412,0.0700000,11433.3931567,11433.3931567
0.0950412,0.0950412,0.0800000,7707.9346671,7707.9346671
0.1050412,0.1050412,0.0900000,5103.5913550,5103.5913550
0.1150412,0.1150412,0.1000000,3326.8895346,3326.8895346
0.1250412,0.1250412,0.1100000,2137.9519596,2137.9519596
0.1350412,0.1350412,0.1200000,1378.7522531,1354.3800197
0.1450412,0.1450412,0.1300000,867.7208520,844.2593904
0.1550412,0.1550412,0.1400000,538.4830798,515.2006814
0.1650412,0.1650412,0.1500000,328.0740666,305.2039751
0.1750412,0.1750412,0.1600000,194.2958344,172.5252945
0.1850412,0.1850412,0.1700000,109.5792413,89.5888887
0.1950412,0.1950412,0.1800000,56.2047766,38.4655660
0.2050412,0.2050412,0.1900000,22.8149673,7.5775815
0.2150412,0.2150412,0.2000000,2.0409488,-10.5148506
0.2250412,0.2250412,0.2100000,-10.7983349,-20.5750475
0.2350412,0.2350412,0.2200000,-18.5432884,-25.6434546
0.2450412,0.2450412,0.2300000,-22.9375060,-27.6603505
0.2550412,0.2550412,0.2400000,-25.0708500,-27.9180984
0.2650412,0.2650412,0.2500000,-25.6780105,-27.9273549
0.2750412,0.2750412,0.2600000,-25.2734745,-27.2678417
0.2850412,0.2850412,0.2700000,-24.2188612,-25.9392950
0.2950412,0.2950412,0.2800000,-22.7838195,-24.2846901
0.3050412,0.3050412,0.2900000,-21.1685231,-22.4936871
0.3150412,0.3150412,0.3000000,-19.5094735,-20.6938747
0.3250412,0.3250412,0.3100000,-17.8909650,-18.9584265
0.3350412,0.3350412,0.3200000,-16.3600054,-17.3283112
0.3450412,0.3450412,0.3300000,-14.9393196,-15.8191186
0.3550412,0.3550412,0.3400000,-13.6367556,-14.4362890
0.3650412,0.3650412,0.3500000,-12.4514977,-13.1779130
0.3750412,0.3750412,0.3600000,-11.3779793,-12.0380819
0.3850412,0.3850412,0.3700000,-10.4082746,-11.0092117
0.3950412,0.3950412,0.3800000,-9.5335244,-10.0810406
0.4050412,0.4050412,0.3900000,-8.7447625,-9.2429448
0.4150412,0.4150412,0.4000000,-8.0333735,-8.4865476
0.4250412,0.4250412,0.4100000,-7.3913278,-7.8037459
0.4350412,0.4350412,0.4200000,-6.8112829,-7.1869612
0.4450412,0.4450412,0.4300000,-6.2866069,-6.6292500
0.4550412,0.4550412,0.4400000,-5.8113579,-6.1243332
0.4650412,0.4650412,0.4500000,-5.3802401,-5.6665804
0.4750412,0.4750412,0.4600000,-4.9885496,-5.2509704
0.4850412,0.4850412,0.4700000,-4.6321164,-4.8730401
0.4950412,0.4950412,0.4800000,-4.3072476,-4.5288309
0.5050412,0.5050412,0.4900000,-4.0106741,-4.2148539
0.5150412,0.5150412,0.5000000,-3.7395013,-3.9280018
0.5250412,0.5250412,0.5100000,-3.4911648,-3.6654928
0.5350412,0.5350412,0.5200000,-3.2633905,-3.4248883
0.5450412,0.5450412,0.5300000,-3.0541600,-3.2040241
0.5550412,0.5550412,0.5400000,-2.8616794,-3.0009776
0.5650412,0.5650412,0.5500000,-2.6843522,-2.8140384
0.5750412,0.5750412,0.5600000,-2.5207557,-2.6416832
0.5850412,0.5850412,0.5700000,-2.3696202,-2.4825532
0.5950412,0.5950412,0.5800000,-2.2298106,-2.3354346
0.6050412,0.6050412,0.5900000,-2.1003108,-2.1992417
0.6150412,0.6150412,0.6000000,-1.9802099,-2.0730015
0.6250412,0.6250412,0.6100000,-1.8686896,-1.9558412
0.6350412,0.6350412,0.6200000,-1.7650144,-1.8469763
0.6450412,0.6450412,0.6300000,-1.6685215,-1.7457007
0.6550412,0.6550412,0.6400000,-1.5786132,-1.6513779
0.6650412,0.6650412,0.6500000,-1.4947494,-1.5634335
0.6750412,0.6750412,0.6600000,-1.4164415,-1.4813481
0.6850412,0.6850412,0.6700000,-1.3432468,-1.4046515
0.6950412,0.6950412,0.6800000,-1.2747638,-1.3329174
0.7050412,0.7050412,0.6900000,-1.2106276,-1.2657587
0.7150412,0.7150412,0.7000000,-1.1505061,-1.2028237
0.7250412,0.7250412,0.7100000,-1.0940971,-1.1437921
0.7350412,0.7350412,0.7200000,-1.0411246,-1.0883718
0.7450412,0.7450412,0.7300000,-0.9913368,-1.0362966
0.7550412,0.7550412,0.7400000,-0.9445033,-0.9873229
0.7650412,0.7650412,0.7500000,-0.9004132,-0.9412279
0.7750412,0.7750412,0.7600000,-0.8588732,-0.8978077
0.7850412,0.7850412,0.7700000,-0.8197060,-0.8568750
0.7950412,0.7950412,0.7800000,-0.7827486,-0.8182582
0.8050412,0.8050412,0.7900000,-0.7478510,-0.7817992
0.8150412,0.8150412,0.8000000,-0.7148754,-0.7473527
