# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
-1.3834311,-1.3834311,-1.3982306,1681906.7897700
-1.3734311,-1.3734311,-1.3882306,1715774.1465651
-1.3634311,-1.3634311,-1.3782306,1820255.7473029
-1.3534311,-1.3534311,-1.3682306,1690156.4628593
-1.3434311,-1.3434311,-1.3582306,1474850.1924924
-1.3334311,-1.3334311,-1.3482306,1237119.4309030
-1.3234311,-1.3234311,-1.3382306,955812.4230712
-1.3134311,-1.3134311,-1.3282306,680817.1506864
-1.3034311,-1.3034311,-1.3182306,534934.9316959
-1.2934311,-1.2934311,-1.3082306,520697.7916722
-1.2834311,-1.2834311,-1.2982306,601204.0236788
-1.2734311,-1.2734311,-1.2882306,788770.9365980
-1.2634311,-1.2634311,-1.2782306,764935.8091310
-1.2534311,-1.2534311,-1.2682306,599559.7093440
-1.2434311,-1.2434311,-1.2582306,497265.0430504
-1.2334311,-1.2334311,-1.2482306,567397.2220353
-1.2234311,-1.2234311,-1.2382306,727246.4585024
-1.2134311,-1.2134311,-1.2282306,1017252.9841782
-1.2034311,-1.2034311,-1.2182306,1284379.4852217
-1.1934311,-1.1934311,-1.2082306,1466404.4594238
-1.1834311,-1.1834311,-1.1982306,1520402.0879511
-1.1734311,-1.1734311,-1.1882306,1752526.0674418
-1.1634311,-1.1634311,-1.1782306,1947140.8218126
-1.1534311,-1.1534311,-1.1682306,1713833.0827014
-1.1434311,-1.1434311,-1.1582306,1723647.9708247
-1.1334311,-1.1334311,-1.1482306,1781853.4798051
-1.1234311,-1.1234311,-1.1382306,1561272.0521352
-1.1134311,-1.1134311,-1.1282306,1526193.0108369
-1.1034311,-1.1034311,-1.1182306,1380161.9568244
-1.0934311,-1.0934311,-1.1082306,984661.2381943
-1.0834311,-1.0834311,-1.0982306,731413.3351227
-1.0734311,-1.0734311,-1.0882306,606464.0841671
-1.0634311,-1.0634311,-1.0782306,554596.0577686
-1.0534311,-1.0534311,-1.0682306,665534.4396299
-1.0434311,-1.0434311,-1.0582306,911516.1320135
-1.0334311,-1.0334311,-1.0482306,815866.3831515
-1.0234311,-1.0234311,-1.0382306,664632.5613631
-1.0134311,-1.0134311,-1.0282306,499521.3579116
-1.0034311,-1.0034311,-1.0182306,525807.1247924
-0.9934311,-0.9934311,-1.0082306,692872.8632339
-0.9834311,-0.9834311,-0.9982306,1005943.8637967
-0.9734311,-0.9734311,-0.9882306,1139470.3642917
-0.9634311,-0.9634311,-0.9782306,1420982.7858589
-0.9534311,-0.9534311,-0.9682306,1850506.9179951
-0.9434311,-0.9434311,-0.9582306,1692323.8854434
-0.9334311,-0.9334311,-0.9482306,1715095.2407524
-0.9234311,-0.9234311,-0.9382306,1828215.0253219
-0.9134311,-0.9134311,-0.9282306,1632394.1037280
-0.9034311,-0.9034311,-0.9182306,1614201.2573091
-0.8934311,-0.8934311,-0.9082306,1826758.9903932
-0.8834311,-0.8834311,-0.8982306,1454076.5913222
-0.8734311,-0.8734311,-0.8882306,1189828.4986005
-0.8634311,-0.8634311,-0.8782306,1057070.7719883
-0.8534311,-0.8534311,-0.8682306,768164.8973310
-0.8434311,-0.8434311,-0.8582306,565515.6616083
-0.8334311,-0.8334311,-0.8482306,501990.5006481
-0.8234311,-0.8234311,-0.8382306,590563.0113212
-0.8134311,-0.8134311,-0.8282306,769437.6994752
-0.8034311,-0.8034311,-0.8182306,814071.1346289
-0.7934311,-0.7934311,-0.8082306,681837.4926916
-0.7834311,-0.7834311,-0.7982306,566223.4249922
-0.7734311,-0.7734311,-0.7882306,592042.5929128
-0.7634311,-0.7634311,-0.7782306,707379.9849956
-0.7534311,-0.7534311,-0.7682306,905004.5941829
-0.7434311,-0.7434311,-0.7582306,1227168.3461004
-0.7334311,-0.7334311,-0.7482306,1432060.2096796
-0.7234311,-0.7234311,-0.7382306,1499227.3361501
-0.7134311,-0.7134311,-0.7282306,1745020.3931312
-0.7034311,-0.7034311,-0.7182306,1928005.5923009
-0.6934311,-0.6934311,-0.7082306,1793279.6267246
-0.6834311,-0.6834311,-0.6982306,1802323.1794914
-0.6734311,-0.6734311,-0.6882306,1803778.2445286
-0.6634311,-0.6634311,-0.6782306,1582892.0898523
-0.6534311,-0.6534311,-0.6682306,1479494.7896140
-0.6434311,-0.6434311,-0.6582306,1287597.3725905
-0.6334311,-0.6334311,-0.6482306,1023846.1269148
-0.6234311,-0.6234311,-0.6382306,743365.7330402
-0.6134311,-0.6134311,-0.6282306,596407.3840875
-0.6034311,-0.6034311,-0.6182306,528972.7461586
-0.5934311,-0.5934311,-0.6082306,616027.9607881
-0.5834311,-0.5834311,-0.5982306,749536.5421785
-0.5734311,-0.5734311,-0.5882306,791069.9594921
-0.5634311,-0.5634311,-0.5782306,658981.5058279
-0.5534311,-0.5534311,-0.5682306,502368.3613879
-0.5434311,-0.5434311,-0.5582306,511442.3359226
-0.5334311,-0.5334311,-0.5482306,663644.4647413
-0.5234311,-0.5234311,-0.5382306,925935.6867971
-0.5134311,-0.5134311,-0.5282306,1121543.5654264
-0.5034311,-0.5034311,-0.5182306,1429310.0887549
-0.4934311,-0.4934311,-0.5082306,1526381.7451372
-0.4834311,-0.4834311,-0.4982306,1566056.4420430
-0.4734311,-0.4734311,-0.4882306,1707324.1428600
-0.4634311,-0.4634311,-0.4782306,1647463.6369513
-0.4534311,-0.4534311,-0.4682306,1427002.7424185
-0.4434311,-0.4434311,-0.4582306,1369015.4747446
-0.4334311,-0.4334311,-0.4482306,1552250.3950938
-0.4234311,-0.4234311,-0.4382306,1629565.2518946
-0.4134311,-0.4134311,-0.4282306,1427722.0162633
-0.4034311,-0.4034311,-0.4182306,1058278.4095911
-0.3934311,-0.3934311,-0.4082306,753654.1515418
-0.3834311,-0.3834311,-0.3982306,579280.1096444
-0.3734311,-0.3734311,-0.3882306,527264.0918613
-0.3634311,-0.3634311,-0.3782306,643228.2096562
-0.3534311,-0.3534311,-0.3682306,799329.8103314
-0.3434311,-0.3434311,-0.3582306,889061.2241999
-0.3334311,-0.3334311,-0.3482306,664532.9093498
-0.3234311,-0.3234311,-0.3382306,511669.8734251
-0.3134311,-0.3134311,-0.3282306,537334.9823233
-0.3034311,-0.3034311,-0.3182306,672141.8740339
-0.2934311,-0.2934311,-0.3082306,935574.5835671
-0.2834311,-0.2834311,-0.2982306,1196656.1950560
-0.2734311,-0.2734311,-0.2882306,1276753.8778991
-0.2634311,-0.2634311,-0.2782306,1392754.5038158
-0.2534311,-0.2534311,-0.2682306,1442527.3073044
-0.2434311,-0.2434311,-0.2582306,1365668.8205123
-0.2334311,-0.2334311,-0.2482306,1333429.3232430
-0.2234311,-0.2234311,-0.2382306,1151548.9467032
-0.2134311,-0.2134311,-0.2282306,996463.1682450
-0.2034311,-0.2034311,-0.2182306,866142.8133503
-0.1934311,-0.1934311,-0.2082306,774776.9480476
-0.1834311,-0.1834311,-0.1982306,677748.9654957
-0.1734311,-0.1734311,-0.1882306,615016.5182410
-0.1634311,-0.1634311,-0.1782306,630005.4183905
-0.1534311,-0.1534311,-0.1682306,580999.5024531
-0.1434311,-0.1434311,-0.1582306,474207.6967562
-0.1334311,-0.1334311,-0.1482306,414115.2588429
-0.1234311,-0.1234311,-0.1382306,368603.9247760
-0.1134311,-0.1134311,-0.1282306,368389.7799544
-0.1034311,-0.1034311,-0.1182306,429725.1296510
-0.0934311,-0.0934311,-0.1082306,453649.9512025
-0.0834311,-0.0834311,-0.0982306,469788.8051095
-0.0734311,-0.0734311,-0.0882306,534093.1956397
-0.0634311,-0.0634311,-0.0782306,669973.4474344
-0.0534311,-0.0534311,-0.0682306,757208.5219332
-0.0434311,-0.0434311,-0.0582306,672598.0240508
-0.0334311,-0.0334311,-0.0482306,661196.6959558
-0.0234311,-0.0234311,-0.0382306,715243.1038001
-0.0134311,-0.0134311,-0.0282306,782520.3858690
-0.0034311,-0.0034311,-0.0182306,837858.9016946
0.0065689,0.0065689,-0.0082306,758844.7869480
0.0165689,0.0165689,0.0017694,539900.3078916
0.0265689,0.0265689,0.0117694,378591.0101762
0.0365689,0.0365689,0.0217694,312241.3861200
0.0465689,0.0465689,0.0317694,273540.5326992
0.0565689,0.0565689,0.0417694,201662.5189862
0.0665689,0.0665689,0.0517694,145540.6776629
0.0765689,0.0765689,0.0617694,102873.9618566
0.0865689,0.0865689,0.0717694,71385.4316597
0.0965689,0.0965689,0.0817694,48779.2493343
0.1065689,0.1065689,0.0917694,32927.0867486
0.1165689,0.1165689,0.1017694,22019.8720540
0.1265689,0.1265689,0.1117694,14624.1589970
0.1365689,0.1365689,0.1217694,9663.5126387
0.1465689,0.1465689,0.1317694,6361.5324152
0.1565689,0.1565689,0.1417694,4174.7351164
0.1665689,0.1665689,0.1517694,2730.9290212
0.1765689,0.1765689,0.1617694,1798.1313569
0.1865689,0.1865689,0.1717694,1171.1820003
0.1965689,0.1965689,0.1817694,758.2302685
0.2065689,0.2065689,0.1917694,486.1595390
0.2165689,0.2165689,0.2017694,306.8183640
0.2265689,0.2265689,0.2117694,188.5996298
0.2365689,0.2365689,0.2217694,110.6646093
