# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.8890250,-0.8890250,-0.6828214,1453.8831168,-5124.7482216,11894.7939148,73.4999673,4381.0055978,87086.9550445,937128.4133709,6787745.4301240
-0.8840250,-0.8840250,-0.6778214,1506.9856254,-5105.6861595,12117.8552631,76.0150352,4537.7015741,90167.3804262,970457.1609762,7030543.0914668
-0.8790250,-0.8790250,-0.6728214,1580.9942297,-5080.1983563,12431.6944477,79.2926782,4758.0020822,94508.3822639,1017503.4467231,7373659.1629093
-0.8740250,-0.8740250,-0.6678214,1632.2370304,-5048.7329444,12838.3670653,82.9121302,4910.6255549,97768.3156356,1054840.3846644,7655870.7116840
-0.8690250,-0.8690250,-0.6628214,1692.2661665,-5011.8385924,12848.9235742,86.1291981,5088.9485375,101337.4078170,1093897.8012834,7908920.0648217
-0.8640250,-0.8640250,-0.6578214,1656.6860854,-4970.1546378,12815.3884781,86.4738018,4895.3159266,93641.1397709,986169.2694175,7043695.8341653
-0.8590250,-0.8590250,-0.6528214,1450.6304742,-5049.5545094,11987.9419323,77.0176884,4305.8559393,82833.0407926,874019.6620890,6248886.5566345
-0.8540250,-0.8540250,-0.6478214,1289.5688662,-5128.1981864,11333.9238268,68.1805748,3844.4681059,74357.5278168,786016.9394243,5624995.8627954
-0.8490250,-0.8490250,-0.6428214,1163.6364507,-5187.4700492,10822.0536384,61.1310043,3483.2192874,67710.2492770,716961.6147426,5135314.1597595
-0.8440250,-0.8440250,-0.6378214,1065.2077895,-5231.9260704,10421.5979450,55.5264151,3200.4695502,62498.6648025,662795.8447750,4751139.9599178
-0.8390250,-0.8390250,-0.6328214,988.3635473,-5265.1442199,10009.7271823,51.0401287,2979.3818510,58415.8836881,620338.2605633,4449929.1420350
-0.8340250,-0.8340250,-0.6278214,928.4944104,-5290.8717259,9660.6554053,47.4238955,2806.8145030,55221.1998863,581901.2577859,4143107.8241743
-0.8290250,-0.8290250,-0.6228214,882.0079661,-5321.4837639,9391.6253802,44.5130875,2672.5014135,51859.6852987,545111.4647536,3881564.7293301
-0.8240250,-0.8240250,-0.6178214,840.9098099,-5345.2222354,9189.2184860,42.1944658,2535.0712343,49214.1362928,517618.6940253,3686599.0698563
-0.8190250,-0.8190250,-0.6128214,804.6485032,-5363.4638828,9043.1578103,40.3836116,2431.1901281,47314.7386830,497989.3423269,3547930.9057462
-0.8140250,-0.8140250,-0.6078214,780.1708544,-5389.4627680,8945.7391080,39.0490133,2361.4905890,46059.2666799,485142.0967195,3457795.2462761
-0.8090250,-0.8090250,-0.6028214,766.1326815,-5422.8665459,8891.4279134,38.2108075,2322.0811790,45374.1080113,478297.2330492,3410587.9505838
-0.8040250,-0.8040250,-0.5978214,761.6518066,-5438.8384768,8876.5902387,37.8652419,2310.4073169,45210.9364595,476942.9474911,3402631.0415323
-0.7990250,-0.7990250,-0.5928214,766.2678933,-5437.8621468,8899.3344574,37.9381106,2325.1396920,45544.7834447,480816.0220714,3432038.8087116
-0.7940250,-0.7940250,-0.5878214,765.6046229,-5419.7475480,8959.4499551,38.3297318,2328.3796215,46037.4046967,489577.7334783,3498672.7813090
-0.7890250,-0.7890250,-0.5828214,768.5184930,-5397.8500762,9058.4348089,38.9918757,2334.8929894,46080.4283279,489531.4037449,3510170.7463008
-0.7840250,-0.7840250,-0.5778214,776.3367332,-5393.0322541,9199.6108526,39.8994126,2355.4939911,46381.1380455,492142.8725208,3526218.1415785
-0.7790250,-0.7790250,-0.5728214,789.8689407,-5384.5459623,9281.4352297,40.9264961,2392.5880150,46987.6033732,497937.3783793,3564857.7457092
-0.7740250,-0.7740250,-0.5678214,810.2917237,-5371.6626702,9362.6862973,41.9188926,2449.6553601,47968.7495048,507664.3605258,3631567.1117170
-0.7690250,-0.7690250,-0.5628214,839.2103275,-5355.8519865,9479.0698479,42.9001755,2531.4301599,49417.7809403,522334.0387851,3733715.2143764
-0.7640250,-0.7640250,-0.5578214,858.5836733,-5349.7375757,9582.1816744,44.0820197,2598.0144407,51059.1145897,541898.5052113,3880952.3967186
-0.7590250,-0.7590250,-0.5528214,885.3311905,-5334.6321923,9699.1682935,45.7384376,2678.9836148,52725.7346401,560347.4434041,4020563.8705990
-0.7540250,-0.7540250,-0.5478214,927.7601849,-5309.3529302,9879.6344094,48.1209684,2804.7341362,55209.4320048,587246.0856492,4216575.4708381
-0.7490250,-0.7490250,-0.5428214,988.1957288,-5272.3960324,10132.9842774,51.4534098,2981.8951870,58631.6217942,623856.5952700,4481289.9060574
-0.7440250,-0.7440250,-0.5378214,1069.5357148,-5221.8839920,10470.8606010,55.9530599,3218.6757595,63140.4761701,671705.5190806,4825479.2433231
-0.7390250,-0.7390250,-0.5328214,1175.3614234,-5155.4918004,10907.5540019,61.6851654,3525.1546832,68915.2086934,732621.8328652,5261966.1385717
-0.7340250,-0.7340250,-0.5278214,1274.7237987,-5152.3910589,11425.2360507,65.6135550,3846.7998253,76172.2125712,808792.2106331,5805975.5573288
-0.7290250,-0.7290250,-0.5228214,1253.7762520,-5165.3777224,11333.4350670,65.1640759,3782.4863761,75226.3663181,809188.3978324,5858902.8819646
-0.7240250,-0.7240250,-0.5178214,1250.6046282,-5167.0875332,11315.3259461,65.1255037,3769.9756107,74834.0759468,803993.0671174,5816578.0070405
-0.7190250,-0.7190250,-0.5128214,1269.0213077,-5155.1178482,11386.7202657,66.0901732,3820.3700405,75647.8260278,811670.0751544,5867225.7050182
-0.7140250,-0.7140250,-0.5078214,1313.1889906,-5175.4888738,11565.0438002,66.4648052,3945.9098806,77901.1762049,834708.1654274,6028806.1559000
-0.7090250,-0.7090250,-0.5028214,1242.4180493,-5219.8001155,11340.9173755,63.8143327,3754.6091299,74896.3590685,806860.6111451,5847530.0642875
-0.7040250,-0.7040250,-0.4978214,1190.0338453,-5252.7309116,11075.9974046,61.0449516,3598.7299061,71777.8177917,772791.2442077,5597826.1401970
-0.6990250,-0.6990250,-0.4928214,1156.6206718,-5273.9269693,10823.3862843,59.1628001,3499.0095976,69773.8440581,750857.4404041,5436899.3609277
-0.6940250,-0.6940250,-0.4878214,1142.6913068,-5283.0749898,10635.1540150,58.1500154,3456.9474086,68913.3133311,741367.8876717,5366981.0857340
-0.6890250,-0.6890250,-0.4828214,1148.7159614,-5279.8843932,10506.9705123,57.8352595,3473.9070656,69222.0969604,744596.9734982,5390044.9012321
-0.6840250,-0.6840250,-0.4778214,1148.1402294,-5264.0810754,10434.2823562,57.9549415,3478.7873609,69522.7349759,748816.3317080,5424830.9956134
-0.6790250,-0.6790250,-0.4728214,1142.6640344,-5235.4145066,10412.3238215,58.2962355,3462.5802578,69216.1259820,745627.8448630,5402279.6333783
-0.6740250,-0.6740250,-0.4678214,1147.9808510,-5193.6787935,10436.1063597,58.7554953,3478.3682592,69546.2539600,749382.1573596,5430562.6057262
-0.6690250,-0.6690250,-0.4628214,1162.8564516,-5149.2034594,10434.9152904,58.2618142,3522.4821262,69684.5746867,738086.8487784,5287361.8614543
-0.6640250,-0.6640250,-0.4578214,1088.2747538,-5203.5504108,10127.8722974,54.7402203,3270.1706963,63791.1859942,675746.0970545,4839920.1934974
-0.6590250,-0.6590250,-0.4528214,1007.1416840,-5326.3840357,9793.4266776,50.2335262,3018.9173886,58304.2417792,613639.6274824,4375673.0387179
-0.6540250,-0.6540250,-0.4478214,884.1081341,-5433.9504632,9544.8332259,45.5528661,2658.2082521,51539.6120315,542529.1560970,3867380.5976373
-0.6490250,-0.6490250,-0.4428214,787.4585076,-5515.2782748,9277.8466010,40.9406056,2378.8176832,46310.3454564,487641.3656146,3475464.0080116
-0.6440250,-0.6440250,-0.4378214,713.8165149,-5575.2710143,8978.3698429,36.9702770,2166.2029654,42344.9517854,446120.1874339,3179483.9649767
-0.6390250,-0.6390250,-0.4328214,659.4791007,-5617.3083449,8758.7794456,33.8845266,2009.7086753,39444.0994052,415866.3284641,2964406.3385047
-0.6340250,-0.6340250,-0.4278214,621.8282358,-5643.5473613,8580.9698299,31.6924186,1901.7971805,37466.6412202,395392.5521711,2819577.0651861
-0.6290250,-0.6290250,-0.4228214,599.1431536,-5655.1074999,8361.5147156,30.3305634,1837.5163014,36319.9534200,383723.6689147,2738013.9537209
-0.6240250,-0.6240250,-0.4178214,590.4785960,-5652.1573085,8206.5564271,29.7078981,1814.1546042,35953.7005159,380332.1330579,2715951.3040280
-0.6190250,-0.6190250,-0.4128214,595.5972760,-5633.9106052,8105.6635053,29.7137233,1831.0510743,36356.4307081,385103.1237203,2752594.1970143
-0.6140250,-0.6140250,-0.4078214,614.9492854,-5598.5294465,8052.0043807,30.2213030,1889.5386772,37554.5317055,397464.7285614,2840523.8120009
-0.6090250,-0.6090250,-0.4028214,618.0087694,-5543.6949218,8041.7004582,31.0874080,1891.4979066,37426.0995535,396411.3571023,2834395.5037383
-0.6040250,-0.6040250,-0.3978214,624.6128672,-5534.2817504,8073.4271684,32.1759698,1911.6784518,37845.8326185,401070.4698586,2868849.7337260
-0.5990250,-0.5990250,-0.3928214,641.7700891,-5544.4622356,8148.2133446,33.4579216,1962.1746065,38823.3439023,411516.3241891,2944290.8496147
-0.5940250,-0.5940250,-0.3878214,670.3445170,-5563.6165070,8269.4098209,35.0474146,2045.3627472,40398.4712892,428139.2774406,3063376.3369697
-0.5890250,-0.5890250,-0.3828214,711.8066245,-5581.9523934,8442.8153786,36.9797650,2165.3426006,42642.3867286,451653.9447477,3231058.6589833
-0.5840250,-0.5840250,-0.3778214,768.3097915,-5596.2419017,8676.9638575,38.7413986,2328.1404001,45660.7088308,483127.7245602,3454769.5460127
-0.5790250,-0.5790250,-0.3728214,764.8318657,-5606.1452424,8983.5919907,39.4650617,2341.9208993,47113.9250239,506723.1660486,3663911.0446584
-0.5740250,-0.5740250,-0.3678214,763.5520975,-5611.2849784,9378.3248339,39.5948574,2339.2483788,47102.9215820,506838.5441085,3665805.6503249
-0.5690250,-0.5690250,-0.3628214,770.7911031,-5611.2390973,9452.2197583,39.9284414,2361.6675376,47582.6966483,512246.1940884,3706168.1754285
-0.5640250,-0.5640250,-0.3578214,787.3038117,-5605.5364070,9527.7686439,40.7190665,2411.4427482,48599.4676902,523457.2486966,3788774.4166431
-0.5590250,-0.5590250,-0.3528214,813.9222881,-5593.6554750,9645.9993035,42.0332758,2491.0624413,50203.7744465,541029.3622416,3917738.3260816
-0.5540250,-0.5540250,-0.3478214,851.5494049,-5575.0282754,9810.7473463,43.8816815,2603.2195498,52450.0618782,565562.0169469,4097477.0056406
-0.5490250,-0.5490250,-0.3428214,901.1433462,-5549.0496365,10026.0712695,46.0785141,2750.7649974,55395.7338562,597686.0924892,4323406.1264197
-0.5440250,-0.5440250,-0.3378214,942.2521081,-5545.2003722,10063.4714736,47.8919815,2848.7941419,56367.8388692,602454.2848713,4340934.2912124
-0.5390250,-0.5390250,-0.3328214,953.7951634,-5544.6968734,9803.0422911,48.5357292,2890.0207249,57489.4068931,616534.9850919,4452571.6412998
-0.5340250,-0.5340250,-0.3278214,934.6400158,-5530.3234068,9621.7746566,48.1521051,2835.7007411,56533.9517180,606962.9609805,4386491.2138576
-0.5290250,-0.5290250,-0.3228214,908.3582139,-5502.7346976,9514.9001787,47.4421277,2758.2873517,55019.9886051,590638.5979768,4267839.3156011
-0.5240250,-0.5240250,-0.3178214,898.6854779,-5462.5201425,9478.2067192,47.1155324,2730.0127159,54479.4077040,584898.6266483,4226549.2167235
-0.5190250,-0.5190250,-0.3128214,904.7582232,-5497.9703282,9508.0669981,47.4081814,2748.3328975,54862.1586728,589200.4194199,4258661.5750140
-0.5140250,-0.5140250,-0.3078214,925.8443411,-5564.5269447,9601.3907749,47.8124554,2811.0829831,56125.3871916,603078.1149104,4360771.9110421
-0.5090250,-0.5090250,-0.3028214,899.2467556,-5614.3262066,9755.5099448,46.6460229,2722.0775351,53788.4797402,573638.4687277,4126296.9055956
-0.5040250,-0.5040250,-0.2978214,851.3768120,-5650.6007515,9862.4590261,44.4303786,2586.5469910,51384.3340488,549298.1841831,3956824.1080109
-0.4990250,-0.4990250,-0.2928214,820.5412323,-5675.9853539,9745.2556365,42.6449554,2500.0395306,49892.3263789,534512.2219045,3855499.1350525
-0.4940250,-0.4940250,-0.2878214,803.3374359,-5692.6514024,9515.0292643,41.4885899,2452.8153290,49132.6285733,527402.6916916,3808950.5577089
-0.4890250,-0.4890250,-0.2828214,796.9186377,-5702.4107604,9348.4079558,40.8190073,2436.6967165,48953.1460257,526374.6177689,3805790.0484400
-0.4840250,-0.4840250,-0.2778214,798.8726944,-5706.7943677,9237.1105138,40.4026090,2444.7297642,49223.5836512,530055.8322977,3822910.5714798
-0.4790250,-0.4790250,-0.2728214,804.4398078,-5707.1099643,9169.8114883,39.6302765,2447.4950240,48499.2474634,514047.9092874,3680872.5498692
-0.4740250,-0.4740250,-0.2678214,736.6706491,-5704.4825937,8925.2944820,37.6597281,2240.1905545,44159.7581303,468286.3557278,3353119.5938358
-0.4690250,-0.4690250,-0.2628214,676.7104686,-5699.8810448,8681.4437714,35.1316812,2065.7198716,40851.2144629,433303.4907168,3102140.6642985
-0.4640250,-0.4640250,-0.2578214,633.6008214,-5707.4834983,8506.7844413,33.0113524,1939.9091433,38452.2894927,407864.7543177,2919298.4070251
-0.4590250,-0.4590250,-0.2528214,605.6805303,-5750.8304360,8394.7386121,31.5750646,1858.1104078,36881.5434414,391147.1771911,2798863.1345155
-0.4540250,-0.4540250,-0.2478214,591.9967167,-5775.2189060,8341.6013293,30.8605877,1817.6982565,36094.7368419,382715.6098770,2737863.8810927
-0.4490250,-0.4490250,-0.2428214,592.2825878,-5781.8745825,8346.4723675,30.8647927,1818.0208039,36084.5241453,382523.3101403,2736110.5841883
-0.4440250,-0.4440250,-0.2378214,606.9819410,-5771.1025692,8411.3766624,31.5594754,1860.4834368,36882.5712858,390937.7158679,2796395.0626381
-0.4390250,-0.4390250,-0.2328214,637.3238775,-5742.2923434,8541.5895251,32.8833179,1948.7766229,38564.3604114,408794.5066423,2924894.5835008
-0.4340250,-0.4340250,-0.2278214,685.4556885,-5693.8835667,8672.9850795,34.7412864,2089.2718844,41257.1834576,437485.5640803,3131819.7477095
-0.4290250,-0.4290250,-0.2228214,754.6469838,-5662.5578696,8748.6326044,36.9916368,2291.6247698,45152.1054086,479089.4088334,3432369.8168458
-0.4240250,-0.4240250,-0.2178214,800.1264186,-5660.7631706,8897.1173347,39.4661577,2432.2959933,47933.7783512,508312.1717801,3639861.1848138
-0.4190250,-0.4190250,-0.2128214,854.1985191,-5658.8879336,9129.0346206,42.0066635,2589.9665342,50371.2531552,531246.9526239,3791888.8094235
-0.4140250,-0.4140250,-0.2078214,887.7998756,-5656.3164224,9459.3819461,44.1604666,2676.0346758,52252.7404225,552738.2233259,3953664.5413924
-0.4090250,-0.4090250,-0.2028214,887.5593555,-5652.3085782,9739.7949316,45.2940408,2694.5813255,53557.8018367,573116.8003875,4131759.5690367
-0.4040250,-0.4040250,-0.1978214,879.4858395,-5646.0157847,9708.5092603,45.6222574,2670.0233328,53036.5325456,567211.3239054,4087467.3159809
-0.3990250,-0.3990250,-0.1928214,876.1343992,-5636.4987254,9696.2551599,45.7330667,2658.9185223,52757.8293452,563789.3293517,4060604.9900680
-0.3940250,-0.3940250,-0.1878214,878.9176230,-5622.7465547,9708.8358324,46.0231234,2665.3492346,52798.5909122,563663.2039574,4057001.2187831
-0.3890250,-0.3890250,-0.1828214,889.4992771,-5603.6966043,9753.0572805,46.7132189,2694.1042846,53248.2440797,567772.9006252,4083377.4500589
-0.3840250,-0.3840250,-0.1778214,909.8434472,-5578.2538746,9836.9175958,47.9522538,2750.8127347,54210.9431746,577207.2481190,4147491.8951829
-0.3790250,-0.3790250,-0.1728214,942.2805888,-5545.3095574,9969.8628143,49.8878572,2842.1245904,55808.5790340,593233.3747309,4258339.6425017
-0.3740250,-0.3740250,-0.1678214,989.5934202,-5503.7577673,10163.1203959,52.6923292,2975.9462296,58184.7184242,617335.3605393,4426416.1941371
-0.3690250,-0.3690250,-0.1628214,1055.1263126,-5568.0176504,10430.1240073,56.5676498,3161.7402331,61509.6208922,651263.4581107,4664053.0417204
-0.3640250,-0.3640250,-0.1578214,1142.9227387,-5640.2245062,10787.0466032,61.2388723,3410.9016353,65986.5131474,697095.5028215,4985835.5971700
-0.3590250,-0.3590250,-0.1528214,1154.7049463,-5700.3823426,10895.3416637,59.7128238,3501.3698380,70412.0760466,757312.4828458,5409115.8914189
-0.3540250,-0.3540250,-0.1478214,1055.2403328,-5749.1356641,10478.6094196,54.8770045,3206.2872117,64550.3634952,698593.6239405,5077228.0870729
-0.3490250,-0.3490250,-0.1428214,967.1513956,-5787.1249973,10109.7972022,50.5163877,2944.8086745,59352.8887329,642039.7780352,4663803.1947925
-0.3440250,-0.3440250,-0.1378214,890.1917479,-5814.9448160,9787.8999348,46.6719216,2716.2207345,54805.8166546,592553.0162812,4302009.8752942
-0.3390250,-0.3390250,-0.1328214,824.0009825,-5833.1030007,9511.4236815,43.3415711,2519.4681452,50888.3820299,549907.0866778,3990190.4583338
-0.3340250,-0.3340250,-0.1278214,768.1328488,-5841.9794566,9278.5040372,40.5298994,2353.2370663,47574.5360064,513817.4326052,3726257.3887466
-0.3290250,-0.3290250,-0.1228214,722.0786914,-5841.7810429,9087.0048853,38.2310463,2216.0243995,44834.3241944,483956.2258927,3507803.3537534
-0.3240250,-0.3240250,-0.1178214,685.2865818,-5832.4893520,8934.5993097,36.4237700,2106.1945558,42635.0208516,459964.7693582,3332192.2695748
-0.3190250,-0.3190250,-0.1128214,657.1766991,-5828.6096517,8818.8349847,35.0753549,2022.0252869,40942.0510978,441463.6146805,3196633.6509679
-0.3140250,-0.3140250,-0.1078214,637.1536096,-5846.5595388,8737.1867414,34.1471754,1961.7444811,39719.7383366,428060.7984644,3098243.3036390
-0.3090250,-0.3090250,-0.1028214,624.6161618,-5851.6708276,8687.0993022,33.5980090,1923.5600261,38931.9181198,419358.6434675,3034093.6018155
-0.3040250,-0.3040250,-0.0978214,618.9657712,-5844.2449896,8666.0234099,33.3806963,1905.6850110,38542.4629531,414959.6074145,3001256.8724024
-0.2990250,-0.2990250,-0.0928214,619.6139083,-5846.6215847,8671.4487509,33.3784024,1906.3606569,38515.7649646,414471.6881599,2996845.5995453
-0.2940250,-0.2940250,-0.0878214,625.9896297,-5861.5766492,8700.9371664,33.0258663,1923.8794361,38817.2246393,417513.9077784,3018053.2640147
-0.2890250,-0.2890250,-0.0828214,580.1742867,-5872.0385487,8454.1188527,31.2651340,1787.1610869,36121.6019957,388524.5637562,2808012.3347911
-0.2840250,-0.2840250,-0.0778214,515.0633371,-5878.6070791,8186.3080043,28.6645367,1595.2876606,32404.9897965,348824.4954803,2521413.8751150
-0.2790250,-0.2790250,-0.0728214,463.4074153,-5881.7937210,7974.3884493,26.2810669,1442.6978185,29441.6889889,317153.3689291,2292735.1434917
-0.2740250,-0.2740250,-0.0678214,422.3386848,-5882.0339546,7806.4944262,24.3479161,1321.0480110,27072.0861503,291809.0499169,2109687.9693187
-0.2690250,-0.2690250,-0.0628214,389.6012542,-5879.6986307,7673.2828359,22.8055132,1223.7685922,25170.3258377,271448.6669007,1962574.8734739
-0.2640250,-0.2640250,-0.0578214,363.4273628,-5875.1036429,7567.4264378,21.5315981,1145.7072702,23637.6085885,255017.7429341,1843780.0779881
-0.2590250,-0.2590250,-0.0528214,342.4410710,-5868.5172827,7483.2192130,20.3898703,1082.8514768,22396.9617220,241694.8402541,1747371.6520341
-0.2540250,-0.2540250,-0.0478214,325.5832822,-5860.1647526,7416.2688019,19.2943314,1032.1120037,21389.1559951,230848.2890626,1668790.3030567
-0.2490250,-0.2490250,-0.0428214,312.0533401,-5850.2293790,7363.2566550,18.2716268,991.1542870,20569.5151080,222002.3425340,1604605.8027649
-0.2440250,-0.2440250,-0.0378214,301.2635784,-5845.1933801,7321.7511451,17.4196288,958.2669616,19905.4248669,214810.7260768,1552326.5037805
-0.2390250,-0.2390250,-0.0328214,292.8041061,-5866.7914467,7290.0625604,16.8185452,932.2598929,19374.3967970,209036.0528409,1510251.0065835
-0.2340250,-0.2340250,-0.0278214,286.4158223,-5889.2959277,7267.1318074,16.4960637,912.3859362,18962.5791387,204533.9791833,1477353.9144331
-0.2290250,-0.2290250,-0.0228214,281.9702114,-5918.4311115,7252.4469280,16.4371331,898.2822758,18663.6381399,201241.2902480,1453199.8843575
-0.2240250,-0.2240250,-0.0178214,279.4549009,-5953.0849084,7245.9832940,16.5990297,889.9284307,18477.9557702,199167.3513127,1437881.9456757
-0.2190250,-0.2190250,-0.0128214,278.9642866,-5983.0131942,7248.1646729,16.9178565,887.6189521,18412.1076036,198388.5470449,1431981.3980386
-0.2140250,-0.2140250,-0.0078214,280.6947728,-6008.3730348,7259.8433399,17.3172181,891.9495229,18478.5975675,199045.4680023,1436547.5874206
-0.2090250,-0.2090250,-0.0028214,284.9443363,-6029.2499318,7282.2980910,17.7315369,903.8156537,18695.8352759,201342.6991246,1453096.5441263
-0.2040250,-0.2040250,0.0021786,292.1162337,-6045.6524037,7317.2494412,18.1295430,924.4234634,19088.3472485,205551.1238072,1483627.8885488
-0.1990250,-0.1990250,0.0071786,302.7267152,-6057.5024244,7366.8914812,18.5115677,955.3121746,19687.2157426,212012.6821030,1530659.5867510
-0.1940250,-0.1940250,0.0121786,317.4166012,-6064.6225061,7433.9398263,18.8848472,998.3879188,20530.7381772,221147.5125523,1597280.0673221
-0.1890250,-0.1890250,0.0171786,336.9665113,-6074.1005806,7521.6947992,19.2409927,1055.9682466,21665.2959580,233463.3609242,1687216.8696622
-0.1840250,-0.1840250,0.0221786,362.3153950,-6084.0978323,7634.1184047,19.5446765,1130.8363256,23146.4133098,249567.0494510,1804920.3351788
-0.1790250,-0.1790250,0.0271786,361.4941210,-6088.9751971,7675.2806411,19.7339048,1136.1775120,23612.6362854,256956.6975162,1858107.9327338
-0.1740250,-0.1740250,0.0321786,349.6931729,-6088.5902672,7628.8957373,19.7439066,1100.7877935,22903.4434346,244077.4674989,1750991.0381963
-0.1690250,-0.1690250,0.0371786,339.7347985,-6089.5581160,7590.1879774,19.5588405,1070.8709380,21734.9403421,232080.8161760,1666752.6099525
-0.1640250,-0.1640250,0.0421786,327.6014431,-6103.5758706,7560.6102170,19.2426477,1025.1101707,20846.7438132,223036.0829425,1603639.7409447
-0.1590250,-0.1590250,0.0471786,315.3808180,-6114.5611748,7541.4990071,18.9005062,989.8289492,20216.0467400,216711.6512617,1560034.8933536
-0.1540250,-0.1540250,0.0521786,307.4324686,-6122.7680700,7534.0544116,18.6125949,966.9811414,19821.6788552,212891.2029043,1534421.0272945
-0.1490250,-0.1490250,0.0571786,303.3676660,-6128.4297832,7539.3223116,18.3985449,955.4608427,19643.6212962,211368.7046197,1525346.1585594
-0.1440250,-0.1440250,0.0621786,302.8179083,-6131.7647835,7558.1770584,18.2179676,954.2130979,19662.5206932,208788.6781150,1490177.8252226
-0.1390250,-0.1390250,0.0671786,287.2895504,-6132.9827034,7542.4656007,17.9997657,895.7685684,18020.4642405,191310.8358516,1368057.3030432
-0.1340250,-0.1340250,0.0721786,260.7318264,-6132.2899275,7436.5870233,17.6938153,819.2610523,16635.2165703,177206.1670583,1269607.8825477
-0.1290250,-0.1290250,0.0771786,239.5359229,-6129.8946130,7352.1536202,17.3069323,758.0124211,15525.3420779,165926.2195922,1191014.4715658
-0.1240250,-0.1240250,0.0821786,222.7738872,-6139.3253284,7285.4480852,16.8839504,709.4111556,14644.6596149,157002.3967268,1129006.4922058
-0.1190250,-0.1190250,0.0871786,209.6610766,-6149.7067020,7233.3116318,16.4603450,671.2402051,13953.6303460,150031.4455565,1080759.5898997
-0.1140250,-0.1140250,0.0921786,215.1705154,-6157.9240251,7193.0405827,16.0340263,641.6039351,13418.1476469,144663.6762149,1043815.7869679
-0.1090250,-0.1090250,0.0971786,207.4470600,-6164.3321416,7162.3035326,15.5670898,618.8695787,13008.5679463,140593.5318481,1016019.5945178
-0.1040250,-0.1040250,0.1021786,201.6370289,-6169.2348949,7139.0759275,15.0112118,601.6209613,12698.9473373,137552.1790098,995467.9053309
