# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
-0.2062036,-0.2062036,0.0000000,162.4318948,138.3337163
-0.1962036,-0.1962036,0.0100000,173.0677474,148.9589435
-0.1862036,-0.1862036,0.0200000,197.2328072,173.1221200
-0.1762036,-0.1762036,0.0300000,214.0338943,188.3188561
-0.1662036,-0.1662036,0.0400000,212.5366865,187.0197436
-0.1562036,-0.1562036,0.0500000,185.6405746,161.4698520
-0.1462036,-0.1462036,0.0600000,164.7697867,140.5009951
-0.1362036,-0.1362036,0.0700000,157.1629623,132.7919142
-0.1262036,-0.1262036,0.0800000,134.8557947,111.7208218
-0.1162036,-0.1162036,0.0900000,102.8686656,79.2483539
-0.1062036,-0.1062036,0.1000000,82.3530956,58.7422866
-0.0962036,-0.0962036,0.1100000,69.4887427,46.3008398
-0.0862036,-0.0862036,0.1200000,60.9513507,36.8599552
-0.0762036,-0.0762036,0.1300000,53.7412896,28.7272697
-0.0662036,-0.0662036,0.1400000,35.0587431,11.5982439
-0.0562036,-0.0562036,0.1500000,7.5608750,-18.1383203
-0.0462036,-0.0462036,0.1600000,-15.5614578,-41.3715639
-0.0362036,-0.0362036,0.1700000,-33.5164003,-59.3329591
-0.0262036,-0.0262036,0.1800000,-47.4635470,-73.2794722
-0.0162036,-0.0162036,0.1900000,-58.2335465,-84.0484760
-0.0062036,-0.0062036,0.2000000,-66.4235822,-92.2314909
0.0037964,0.0037964,0.2100000,-72.5028532,-98.2765626
0.0137964,0.0137964,0.2200000,-76.9222236,-102.5459328
0.0237964,0.0237964,0.2300000,-80.4194460,-105.3466608
0.0337964,0.0337964,0.2400000,-84.8513446,-106.9457317
0.0437964,0.0437964,0.2500000,-91.1200968,-113.4359771
0.0537964,0.0537964,0.2600000,-98.0921713,-120.1776163
0.0637964,0.0637964,0.2700000,-105.5740078,-129.0492082
0.0737964,0.0737964,0.2800000,-112.0550598,-136.0983832
0.0837964,0.0837964,0.2900000,-117.1565678,-141.0710096
0.0937964,0.0937964,0.3000000,-122.1175829,-144.4612794
0.1037964,0.1037964,0.3100000,-127.0266500,-148.9830939
0.1137964,0.1137964,0.3200000,-130.9243883,-152.9274418
0.1237964,0.1237964,0.3300000,-133.6729572,-155.2765074
0.1337964,0.1337964,0.3400000,-135.5124059,-156.9384414
0.1437964,0.1437964,0.3500000,-136.7642742,-157.5363088
0.1537964,0.1537964,0.3600000,-137.5110504,-157.2826617
0.1637964,0.1637964,0.3700000,-137.6755940,-157.0894938
0.1737964,0.1737964,0.3800000,-137.2775882,-157.4338630
0.1837964,0.1837964,0.3900000,-136.4530201,-156.9133852
0.1937964,0.1937964,0.4000000,-135.3464603,-155.8679392
0.2037964,0.2037964,0.4100000,-134.0682866,-154.5102247
0.2137964,0.2137964,0.4200000,-132.6998525,-152.9747498
0.2237964,0.2237964,0.4300000,-131.2879294,-151.3471496
0.2337964,0.2337964,0.4400000,-129.8530575,-149.6820533
0.2437964,0.2437964,0.4500000,-128.4108479,-148.0141608
0.2537964,0.2537964,0.4600000,-126.9788631,-146.3652240
0.2637964,0.2637964,0.4700000,-125.5730002,-144.7485136
0.2737964,0.2737964,0.4800000,-124.2045170,-143.1717170
0.2837964,0.2837964,0.4900000,-122.8798235,-141.6388415
0.2937964,0.2937964,0.5000000,-121.6015646,-140.1514774
0.3037964,0.3037964,0.5100000,-120.3698479,-138.7096428
0.3137964,0.3137964,0.5200000,-119.1832154,-137.3123524
0.3237964,0.3237964,0.5300000,-118.0393172,-135.9580023
0.3337964,0.3337964,0.5400000,-116.9353524,-134.6446294
