# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-1.0973057,-1.0973057,-0.9860080,258.8875407
-1.0873057,-1.0873057,-0.9760080,234.2596336
-1.0773057,-1.0773057,-0.9660080,191.3283843
-1.0673057,-1.0673057,-0.9560080,174.0257113
-1.0573057,-1.0573057,-0.9460080,172.5074898
-1.0473057,-1.0473057,-0.9360080,178.8408789
-1.0373057,-1.0373057,-0.9260080,161.7474982
-1.0273057,-1.0273057,-0.9160080,161.2276035
-1.0173057,-1.0173057,-0.9060080,166.0754993
-1.0073057,-1.0073057,-0.8960080,186.5548064
-0.9973057,-0.9973057,-0.8860080,216.0904135
-0.9873057,-0.9873057,-0.8760080,243.1698665
-0.9773057,-0.9773057,-0.8660080,283.9390086
-0.9673057,-0.9673057,-0.8560080,339.2000473
-0.9573057,-0.9573057,-0.8460080,410.1412201
-0.9473057,-0.9473057,-0.8360080,497.8767096
-0.9373057,-0.9373057,-0.8260080,602.7735002
-0.9273057,-0.9273057,-0.8160080,724.9306856
-0.9173057,-0.9173057,-0.8060080,863.3951896
-0.9073057,-0.9073057,-0.7960080,1012.1763012
-0.8973057,-0.8973057,-0.7860080,978.7469926
-0.8873057,-0.8873057,-0.7760080,925.0668031
-0.8773057,-0.8773057,-0.7660080,862.4441905
-0.8673057,-0.8673057,-0.7560080,734.4779285
-0.8573057,-0.8573057,-0.7460080,626.5980959
-0.8473057,-0.8473057,-0.7360080,538.4310437
-0.8373057,-0.8373057,-0.7260080,467.3948541
-0.8273057,-0.8273057,-0.7160080,414.9294090
-0.8173057,-0.8173057,-0.7060080,387.6157360
-0.8073057,-0.8073057,-0.6960080,368.5863694
-0.7973057,-0.7973057,-0.6860080,333.2717899
-0.7873057,-0.7873057,-0.6760080,271.5264780
-0.7773057,-0.7773057,-0.6660080,226.7887664
-0.7673057,-0.7673057,-0.6560080,195.5526605
-0.7573057,-0.7573057,-0.6460080,174.6362863
-0.7473057,-0.7473057,-0.6360080,160.8102202
-0.7373057,-0.7373057,-0.6260080,151.2883894
-0.7273057,-0.7273057,-0.6160080,146.3097761
-0.7173057,-0.7173057,-0.6060080,144.5259326
-0.7073057,-0.7073057,-0.5960080,137.9927028
-0.6973057,-0.6973057,-0.5860080,140.5866994
-0.6873057,-0.6873057,-0.5760080,156.8309485
-0.6773057,-0.6773057,-0.5660080,188.8060507
-0.6673057,-0.6673057,-0.5560080,172.5488133
