# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.0162106,0.0162106,0.0351089,1706.4021449,1120.7862064,inf
0.0212106,0.0212106,0.0401089,1509.2384526,994.0911033,inf
0.0262106,0.0262106,0.0451089,1351.7130024,893.0300140,inf
0.0312106,0.0312106,0.0501089,1221.9206679,809.8955189,inf
0.0362106,0.0362106,0.0551089,1111.6834574,739.3944271,inf
0.0412106,0.0412106,0.0601089,1015.4169096,677.9129672,inf
0.0462106,0.0462106,0.0651089,929.3454192,623.0082944,inf
0.0512106,0.0512106,0.0701089,850.9534916,573.0529990,inf
0.0562106,0.0562106,0.0751089,778.5985751,526.9843783,inf
0.0612106,0.0612106,0.0801089,711.2360659,484.1264195,inf
0.0662106,0.0662106,0.0851089,648.2232843,444.0629554,inf
0.0712106,0.0712106,0.0901089,589.1798137,406.5473218,inf
0.0762106,0.0762106,0.0951089,533.8885638,371.4383675,inf
0.0812106,0.0812106,0.1001089,482.2265487,338.6556579,inf
0.0862106,0.0862106,0.1051089,434.1174720,308.1487297,1764.5838664
0.0912106,0.0912106,0.1101089,389.5003253,279.8765769,1581.1731712
0.0962106,0.0962106,0.1151089,348.3096676,253.7924453,1411.6113712
0.1012106,0.1012106,0.1201089,310.4642988,229.7789639,1255.5791239
0.1062106,0.1062106,0.1251089,275.8618304,206.9069511,1112.6739496
0.1112106,0.1112106,0.1301089,244.3773081,182.9041254,982.4061167
0.1162106,0.1162106,0.1351089,215.8646088,159.6098163,864.2051887
0.1212106,0.1212106,0.1401089,190.1597671,138.5943046,757.4329753
0.1262106,0.1262106,0.1451089,167.0855832,119.9103879,661.3997528
0.1312106,0.1312106,0.1501089,146.4567728,103.3913771,575.3815030
0.1362106,0.1362106,0.1551089,128.0847065,88.8475016,498.6366071
0.1412106,0.1412106,0.1601089,111.7808685,76.0894782,430.4209348
0.1462106,0.1462106,0.1651089,97.3588464,64.9322054,370.0006753
0.1512106,0.1512106,0.1701089,84.6356784,55.1426750,316.6626801
0.1562106,0.1562106,0.1751089,73.4339042,45.9738396,269.7225718
0.1612106,0.1612106,0.1801089,63.5850857,35.8963893,228.5312201
0.1662106,0.1662106,0.1851089,54.9341578,25.6987225,192.4800824
0.1712106,0.1712106,0.1901089,47.3428484,16.6683203,161.0053227
0.1762106,0.1762106,0.1951089,40.6906627,8.9618483,133.5900857
0.1812106,0.1812106,0.2001089,34.8732883,2.4492889,109.7644781
0.1862106,0.1862106,0.2051089,29.7993245,-3.0264200,89.1036676
0.1912106,0.1912106,0.2101089,25.3862955,-7.6107091,71.2251421
0.1962106,0.1962106,0.2151089,21.5566898,-11.4324632,55.7859656
0.2012106,0.2012106,0.2201089,18.2350296,-14.6042172,42.4802377
0.2062106,0.2062106,0.2251089,15.3474473,-17.2234609,31.0365915
0.2112106,0.2112106,0.2301089,12.8246666,-19.3743745,21.2155326
0.2162106,0.2162106,0.2351089,10.6070038,-21.1295203,12.8064770
0.2212106,0.2212106,0.2401089,8.6479877,-22.5513328,5.6241993
0.2262106,0.2262106,0.2451089,6.9141706,-23.6937251,-0.4959384
0.2312106,0.2312106,0.2501089,5.3816909,-24.6040811,-5.7043556
0.2362106,0.2362106,0.2551089,4.0315376,-25.3254412,-10.1435696
0.2412106,0.2412106,0.2601089,2.8446107,-25.8982044,-13.9498185
0.2462106,0.2462106,0.2651089,1.7964403,-26.3601843,-17.2463715
0.2512106,0.2512106,0.2701089,0.8522179,-26.7442307,-20.1349797
0.2562106,0.2562106,0.2751089,-0.0314092,-27.0745777,-22.7001981
0.2612106,0.2612106,0.2801089,-0.8901794,-27.3648582,-25.0229893
0.2662106,0.2662106,0.2851089,-1.7321762,-27.6194290,-27.1738994
0.2712106,0.2712106,0.2901089,-2.5366431,-27.8363778,-29.1829179
0.2762106,0.2762106,0.2951089,-3.2720590,-28.0102922,-31.0328449
0.2812106,0.2812106,0.3001089,-3.9132202,-28.1348595,-32.6913237
0.2862106,0.2862106,0.3051089,-4.4470840,-28.2053970,-34.1400030
0.2912106,0.2912106,0.3101089,-4.8713076,-28.2204827,-35.3791037
0.2962106,0.2962106,0.3151089,-5.1909651,-28.1821812,-36.4198156
0.3012106,0.3012106,0.3201089,-5.4156400,-28.0952449,-37.2768778
0.3062106,0.3062106,0.3251089,-5.5572157,-27.9659716,-37.9644761
0.3112106,0.3112106,0.3301089,-5.6282811,-27.8011955,-38.4952022
0.3162106,0.3162106,0.3351089,-5.6410603,-27.6075833,-38.8809400
0.3212106,0.3212106,0.3401089,-5.6067709,-27.3912278,-39.1341239
0.3262106,0.3262106,0.3451089,-5.5353094,-27.1574634,-39.2683132
0.3312106,0.3312106,0.3501089,-5.4351591,-26.9108236,-39.2979539
0.3362106,0.3362106,0.3551089,-5.3134356,-26.6550794,-39.2377072
0.3412106,0.3412106,0.3601089,-5.1760073,-26.3933165,-39.1017422
0.3462106,0.3462106,0.3651089,-5.0276471,-26.1280268,-38.9031998
0.3512106,0.3512106,0.3701089,-4.8721915,-25.8611999,-38.6538800
0.3562106,0.3562106,0.3751089,-4.7126908,-25.5944076,-38.3641194
0.3612106,0.3612106,0.3801089,-4.5515447,-25.3288776,-38.0428015
0.3662106,0.3662106,0.3851089,-4.3906200,-25.0655575,-37.6974489
0.3712106,0.3712106,0.3901089,-4.2313507,-24.8051680,-37.3343573
0.3762106,0.3762106,0.3951089,-4.0748215,-24.5482467,-36.9587441
0.3812106,0.3812106,0.4001089,-3.9218373,-24.2951848,-36.5748965
0.3862106,0.3862106,0.4051089,-3.7729795,-24.0462564,-36.1863094
0.3912106,0.3912106,0.4101089,-3.6286521,-23.8016426,-35.7958104
0.3962106,0.3962106,0.4151089,-3.4891197,-23.5614511,-35.4056681
0.4012106,0.4012106,0.4201089,-3.3545366,-23.3257316,-35.0176863
0.4062106,0.4062106,0.4251089,-3.2249721,-23.0944886,-34.6332839
0.4112106,0.4112106,0.4301089,-3.1004291,-22.8676920,-34.2535626
0.4162106,0.4162106,0.4351089,-2.9808602,-22.6452846,-33.8793633
0.4212106,0.4212106,0.4401089,-2.8661799,-22.4271891,-33.5113133
0.4262106,0.4262106,0.4451089,-2.7562744,-22.2133134,-33.1498659
0.4312106,0.4312106,0.4501089,-2.6510095,-22.0035544,-32.7953331
0.4362106,0.4362106,0.4551089,-2.5502368,-21.7978019,-32.4479121
0.4412106,0.4412106,0.4601089,-2.4537988,-21.5959408,-32.1077083
0.4462106,0.4462106,0.4651089,-2.3615322,-21.3978533,-31.7747530
0.4512106,0.4512106,0.4701089,-2.2732714,-21.2034210,-31.4490192
0.4562106,0.4562106,0.4751089,-2.1888505,-21.0125253,-31.1304339
0.4612106,0.4612106,0.4801089,-2.1081052,-20.8250492,-30.8188879
0.4662106,0.4662106,0.4851089,-2.0308741,-20.6408777,-30.5142449
0.4712106,0.4712106,0.4901089,-1.9569996,-20.4598985,-30.2163478
0.4762106,0.4762106,0.4951089,-1.8863288,-20.2820022,-29.9250245
0.4812106,0.4812106,0.5001089,-1.8187138,-20.1070828,-29.6400925
0.4862106,0.4862106,0.5051089,-1.7540121,-19.9350378,-29.3613626
0.4912106,0.4912106,0.5101089,-1.6920869,-19.7657684,-29.0886415
0.4962106,0.4962106,0.5151089,-1.6328070,-19.5991795,-28.8217348
0.5012106,0.5012106,0.5201089,-1.5760470,-19.4351797,-28.5604484
0.5062106,0.5062106,0.5251089,-1.5216871,-19.2736813,-28.3045902
0.5112106,0.5112106,0.5301089,-1.4696131,-19.1146003,-28.0539710
0.5162106,0.5162106,0.5351089,-1.4197161,-18.9578562,-27.8084061
0.5212106,0.5212106,0.5401089,-1.3718926,-18.8033719,-27.5677149
0.5262106,0.5262106,0.5451089,-1.3260440,-18.6510738,-27.3317224
0.5312106,0.5312106,0.5501089,-1.2820766,-18.5008914,-27.1002589
0.5362106,0.5362106,0.5551089,-1.2399016,-18.3527576,-26.8731606
0.5412106,0.5412106,0.5601089,-1.1994344,-18.2066080,-26.6502695
0.5462106,0.5462106,0.5651089,-1.1605948,-18.0623811,-26.4314336
0.5512106,0.5512106,0.5701089,-1.1233068,-17.9200185,-26.2165067
0.5562106,0.5562106,0.5751089,-1.0874979,-17.7794640,-26.0053486
0.5612106,0.5612106,0.5801089,-1.0530996,-17.6406643,-25.7978247
0.5662106,0.5662106,0.5851089,-1.0200469,-17.5035682,-25.5938063
0.5712106,0.5712106,0.5901089,-0.9882780,-17.3681269,-25.3931700
0.5762106,0.5762106,0.5951089,-0.9577343,-17.2342939,-25.1957978
0.5812106,0.5812106,0.6001089,-0.9283601,-17.1020247,-25.0015768
0.5862106,0.5862106,0.6051089,-0.9001026,-16.9712767,-24.8103991
0.5912106,0.5912106,0.6101089,-0.8729118,-16.8420092,-24.6221616
0.5962106,0.5962106,0.6151089,-0.8467399,-16.7141834,-24.4367659
0.6012106,0.6012106,0.6201089,-0.8215419,-16.5877621,-24.2541179
0.6062106,0.6062106,0.6251089,-0.7972748,-16.4627097,-24.0741276
0.6112106,0.6112106,0.6301089,-0.7738978,-16.3389922,-23.8967092
0.6162106,0.6162106,0.6351089,-0.7513721,-16.2165770,-23.7217808
0.6212106,0.6212106,0.6401089,-0.7296610,-16.0954329,-23.5492641
0.6262106,0.6262106,0.6451089,-0.7087293,-15.9755301,-23.3790842
0.6312106,0.6312106,0.6501089,-0.6885439,-15.8568400,-23.2111697
0.6362106,0.6362106,0.6551089,-0.6690729,-15.7393350,-23.0454523
0.6412106,0.6412106,0.6601089,-0.6502864,-15.6229889,-22.8818668
0.6462106,0.6462106,0.6651089,-0.6321556,-15.5077764,-22.7203509
0.6512106,0.6512106,0.6701089,-0.6146532,-15.3936734,-22.5608450
0.6562106,0.6562106,0.6751089,-0.5977532,-15.2806565,-22.4032920
0.6612106,0.6612106,0.6801089,-0.5814309,-15.1687034,-22.2476376
0.6662106,0.6662106,0.6851089,-0.5656628,-15.0577927,-22.0938294
0.6712106,0.6712106,0.6901089,-0.5504262,-14.9479038,-21.9418178
0.6762106,0.6762106,0.6951089,-0.5356998,-14.8390167,-21.7915548
0.6812106,0.6812106,0.7001089,-0.5214633,-14.7311125,-21.6429949
0.6862106,0.6862106,0.7051089,-0.5076970,-14.6241728,-21.4960941
0.6912106,0.6912106,0.7101089,-0.4943824,-14.5181798,-21.3508106
0.6962106,0.6962106,0.7151089,-0.4815019,-14.4131165,-21.2071042
0.7012106,0.7012106,0.7201089,-0.4690383,-14.3089666,-21.0649364
0.7062106,0.7062106,0.7251089,-0.4569757,-14.2057142,-20.9242700
0.7112106,0.7112106,0.7301089,-0.4452985,-14.1033439,-20.7850698
0.7162106,0.7162106,0.7351089,-0.4339920,-14.0018412,-20.6473017
0.7212106,0.7212106,0.7401089,-0.4230422,-13.9011918,-20.5109330
0.7262106,0.7262106,0.7451089,-0.4124354,-13.8013818,-20.3759323
0.7312106,0.7312106,0.7501089,-0.4021589,-13.7023982,-20.2422694
0.7362106,0.7362106,0.7551089,-0.3922004,-13.6042279,-20.1099155
0.7412106,0.7412106,0.7601089,-0.3825480,-13.5068586,-19.9788427
0.7462106,0.7462106,0.7651089,-0.3731904,-13.4102784,-19.8490241
0.7512106,0.7512106,0.7701089,-0.3641170,-13.3144755,-19.7204340
0.7562106,0.7562106,0.7751089,-0.3553172,-13.2194387,-19.5930475
0.7612106,0.7612106,0.7801089,-0.3467813,-13.1251571,-19.4668408
0.7662106,0.7662106,0.7851089,-0.3384998,-13.0316202,-19.3417908
0.7712106,0.7712106,0.7901089,-0.3304635,-12.9388176,-19.2178754
0.7762106,0.7762106,0.7951089,-0.3226638,-12.8467394,-19.0950730
0.7812106,0.7812106,0.8001089,-0.3150924,-12.7553761,-18.9733632
0.7862106,0.7862106,0.8051089,-0.3077411,-12.6647181,-18.8527260
0.7912106,0.7912106,0.8101089,-0.3006024,-12.5747563,-18.7331421
0.7962106,0.7962106,0.8151089,-0.2936688,-12.4854821,-18.6145930
0.8012106,0.8012106,0.8201089,-0.2869333,-12.3968866,-18.4970608
0.8062106,0.8062106,0.8251089,-0.2803892,-12.3089616,-18.3805282
0.8112106,0.8112106,0.8301089,-0.2740298,-12.2216989,-18.2649783
0.8162106,0.8162106,0.8351089,-0.2678490,-12.1350906,-18.1503949
0.8212106,0.8212106,0.8401089,-0.2618407,-12.0491290,-18.0367625
0.8262106,0.8262106,0.8451089,-0.2559992,-11.9638065,-17.9240657
0.8312106,0.8312106,0.8501089,-0.2503189,-11.8791158,-17.8122900
0.8362106,0.8362106,0.8551089,-0.2447945,-11.7950497,-17.7014209
0.8412106,0.8412106,0.8601089,-0.2394208,-11.7116013,-17.5914448
0.8462106,0.8462106,0.8651089,-0.2341930,-11.6287637,-17.4823483
0.8512106,0.8512106,0.8701089,-0.2291063,-11.5465304,-17.3741183
0.8562106,0.8562106,0.8751089,-0.2241561,-11.4648948,-17.2667423
0.8612106,0.8612106,0.8801089,-0.2193380,-11.3838505,-17.1602080
0.8662106,0.8662106,0.8851089,-0.2146478,-11.3033915,-17.0545036
0.8712106,0.8712106,0.8901089,-0.2100815,-11.2235115,-16.9496175
0.8762106,0.8762106,0.8951089,-0.2056350,-11.1442048,-16.8455385
0.8812106,0.8812106,0.9001089,-0.2013048,-11.0654654,-16.7422557
0.8862106,0.8862106,0.9051089,-0.1970870,-10.9872878,-16.6397586
0.8912106,0.8912106,0.9101089,-0.1929783,-10.9096664,-16.5380367
0.8962106,0.8962106,0.9151089,-0.1889752,-10.8325956,-16.4370800
0.9012106,0.9012106,0.9201089,-0.1850745,-10.7560702,-16.3368788
0.9062106,0.9062106,0.9251089,-0.1812731,-10.6800850,-16.2374236
0.9112106,0.9112106,0.9301089,-0.1775679,-10.6046348,-16.1387050
0.9162106,0.9162106,0.9351089,-0.1739560,-10.5297147,-16.0407141
0.9212106,0.9212106,0.9401089,-0.1704346,-10.4553196,-15.9434420
0.9262106,0.9262106,0.9451089,-0.1670010,-10.3814447,-15.8468801
0.9312106,0.9312106,0.9501089,-0.1636526,-10.3080853,-15.7510200
