# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.5433504,-1.5433504,-1.3527899,5387.1006579,2760.8525813,22397.8647533,322.9249737,15287.7860852,5045.1133509,5729.0879648,6350.5232895,4016.4235858,5387.1006579,2760.8525813,22397.8647533,307.9382380,15287.7860852,5045.1133509,5729.0879648,6350.5232895,4016.4235858
-1.5383504,-1.5383504,-1.3477899,5100.6572793,2569.1108983,21257.9589895,304.3191528,14479.7202895,4754.8560192,5446.4585393,6012.8527200,3802.8619661,5100.6572793,2569.1108983,21257.9589895,290.1617044,14479.7202895,4754.8560192,5446.4585393,6012.8527200,3802.8619661
-1.5333504,-1.5333504,-1.3427899,4891.4668266,2432.7541325,20428.9732028,290.9247576,13894.6918089,4544.9971223,5224.0435026,5766.2508973,3646.8972791,4891.4668266,2432.7541325,20428.9732028,276.7171699,13894.6918089,4544.9971223,5224.0435026,5766.2508973,3646.8972791
-1.5283504,-1.5283504,-1.3377899,4700.4278654,2418.8901370,19531.6056812,279.5723203,13339.4693392,4407.6016463,4993.2540846,5541.0467570,3504.4656747,4700.4278654,2418.8901370,19531.6056812,265.9834561,13339.4693392,4407.6016463,4993.2540846,5541.0467570,3504.4656747
-1.5233504,-1.5233504,-1.3327899,4751.4575719,2447.6030782,19734.0591036,283.4178775,13479.1496683,4456.3731078,5046.5420360,5601.2025551,3542.5115420,4751.4575719,2447.6030782,19734.0591036,269.4435394,13479.1496683,4456.3731078,5046.5420360,5601.2025551,3542.5115420
-1.5183504,-1.5183504,-1.3277899,5125.6880715,2685.3569224,21210.0770722,307.8502374,14516.4803234,4828.2584742,5423.1176688,6042.3599892,3821.5240017,5125.6880715,2685.3569224,21210.0770722,294.0658134,14516.4803234,4828.2584742,5423.1176688,6042.3599892,3821.5240017
-1.5133504,-1.5133504,-1.3227899,5226.7170958,2618.8542820,21789.2854020,313.7126369,14831.9084190,4865.1342405,5588.2999511,6161.4569232,3896.8475165,5226.7170958,2618.8542820,21789.2854020,298.0764841,14831.9084190,4865.1342405,5588.2999511,6161.4569232,3896.8475165
-1.5083504,-1.5083504,-1.3177899,5013.1994784,2483.1991989,20945.2454842,299.8230757,14238.6894296,4652.8708541,5373.5281027,5909.7540708,3737.6566550,5013.1994784,2483.1991989,20945.2454842,284.1820445,14238.6894296,4652.8708541,5373.5281027,5909.7540708,3737.6566550
-1.5033504,-1.5033504,-1.3127899,4972.0825360,2458.9989576,20781.0165355,297.2027044,14124.5844674,4612.9495565,5331.2155155,5861.2838237,3707.0013791,4972.0825360,2458.9989576,20781.0165355,281.5616431,14124.5844674,4612.9495565,5331.2155155,5861.2838237,3707.0013791
-1.4983504,-1.4983504,-1.3077899,5067.4230952,2523.0211680,21155.1431824,303.4844239,14389.9052625,4709.4529292,5425.3932613,5973.6749743,3778.0837841,5067.4230952,2523.0211680,21155.1431824,287.8448970,14389.9052625,4709.4529292,5425.3932613,5973.6749743,3778.0837841
