# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-1.3544515,-1.3544515,-1.2262320,208543.3922043
-1.3444515,-1.3444515,-1.2162320,204241.4950152
-1.3344515,-1.3344515,-1.2062320,196332.4300787
-1.3244515,-1.3244515,-1.1962320,166736.6753693
-1.3144515,-1.3144515,-1.1862320,138396.2260189
-1.3044515,-1.3044515,-1.1762320,118211.6884228
-1.2944515,-1.2944515,-1.1662320,104032.8589293
-1.2844515,-1.2844515,-1.1562320,94229.9714032
-1.2744515,-1.2744515,-1.1462320,66116.9689437
-1.2644515,-1.2644515,-1.1362320,46989.4846545
-1.2544515,-1.2544515,-1.1262320,37581.5621382
-1.2444515,-1.2444515,-1.1162320,33917.3327802
-1.2344515,-1.2344515,-1.1062320,32322.3168099
-1.2244515,-1.2244515,-1.0962320,34990.2434700
-1.2144515,-1.2144515,-1.0862320,41848.2087468
-1.2044515,-1.2044515,-1.0762320,54481.5475104
-1.1944515,-1.1944515,-1.0662320,78086.4039652
-1.1844515,-1.1844515,-1.0562320,102605.2406489
-1.1744515,-1.1744515,-1.0462320,118749.6609812
-1.1644515,-1.1644515,-1.0362320,119698.1817014
-1.1544515,-1.1544515,-1.0262320,139950.5929135
-1.1444515,-1.1444515,-1.0162320,193460.4925239
-1.1344515,-1.1344515,-1.0062320,189677.8713669
-1.1244515,-1.1244515,-0.9962320,188796.8874343
-1.1144515,-1.1144515,-0.9862320,204024.5846919
-1.1044515,-1.1044515,-0.9762320,203045.2199290
-1.0944515,-1.0944515,-0.9662320,161449.8861309
-1.0844515,-1.0844515,-0.9562320,129135.9304507
-1.0744515,-1.0744515,-0.9462320,116156.0185560
-1.0644515,-1.0644515,-0.9362320,104279.6131364
-1.0544515,-1.0544515,-0.9262320,90760.7150978
-1.0444515,-1.0444515,-0.9162320,59787.0790288
-1.0344515,-1.0344515,-0.9062320,43721.6082073
-1.0244515,-1.0244515,-0.8962320,35691.9392419
-1.0144515,-1.0144515,-0.8862320,32839.5710387
-1.0044515,-1.0044515,-0.8762320,33104.7554246
-0.9944515,-0.9944515,-0.8662320,34684.8777087
-0.9844515,-0.9844515,-0.8562320,41441.7753102
-0.9744515,-0.9744515,-0.8462320,55505.0730645
-0.9644515,-0.9644515,-0.8362320,83582.9470533
-0.9544515,-0.9544515,-0.8262320,99489.2808288
-0.9444515,-0.9444515,-0.8162320,111686.1128100
-0.9344515,-0.9344515,-0.8062320,127377.0729656
-0.9244515,-0.9244515,-0.7962320,154454.1227662
-0.9144515,-0.9144515,-0.7862320,187715.0500285
-0.9044515,-0.9044515,-0.7762320,212151.7410811
-0.8944515,-0.8944515,-0.7662320,205799.1428632
-0.8844515,-0.8844515,-0.7562320,206023.5763961
-0.8744515,-0.8744515,-0.7462320,193593.8331759
-0.8644515,-0.8644515,-0.7362320,164156.3235781
-0.8544515,-0.8544515,-0.7262320,137116.2971586
-0.8444515,-0.8444515,-0.7162320,117590.8109826
-0.8344515,-0.8344515,-0.7062320,104055.2876434
-0.8244515,-0.8244515,-0.6962320,93525.8091770
-0.8144515,-0.8144515,-0.6862320,65793.2636579
