# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
-1.3991708,-1.3991708,-1.2732607,133076.1009272
-1.3891708,-1.3891708,-1.2632607,147724.9285415
-1.3791708,-1.3791708,-1.2532607,199682.6626662
-1.3691708,-1.3691708,-1.2432607,313895.5228050
-1.3591708,-1.3591708,-1.2332607,575205.9891433
-1.3491708,-1.3491708,-1.2232607,1129831.3025024
-1.3391708,-1.3391708,-1.2132607,1365874.4280473
-1.3291708,-1.3291708,-1.2032607,1914175.8091701
-1.3191708,-1.3191708,-1.1932607,2430065.2914439
-1.3091708,-1.3091708,-1.1832607,3017360.4290028
-1.2991708,-1.2991708,-1.1732607,3984508.3059556
-1.2891708,-1.2891708,-1.1632607,5077755.2816073
-1.2791708,-1.2791708,-1.1532607,6802894.9380116
-1.2691708,-1.2691708,-1.1432607,5823484.7058337
-1.2591708,-1.2591708,-1.1332607,4387412.2091303
-1.2491708,-1.2491708,-1.1232607,3242571.4935257
-1.2391708,-1.2391708,-1.1132607,2818249.7495562
-1.2291708,-1.2291708,-1.1032607,2929395.1482056
-1.2191708,-1.2191708,-1.0932607,3678218.7537376
-1.2091708,-1.2091708,-1.0832607,5081327.5995073
-1.1991708,-1.1991708,-1.0732607,6526291.7013295
-1.1891708,-1.1891708,-1.0632607,5884882.9514624
-1.1791708,-1.1791708,-1.0532607,4418381.0948904
-1.1691708,-1.1691708,-1.0432607,3476236.9250770
-1.1591708,-1.1591708,-1.0332607,2568489.9618076
-1.1491708,-1.1491708,-1.0232607,2111336.9593869
-1.1391708,-1.1391708,-1.0132607,1534939.0490378
-1.1291708,-1.1291708,-1.0032607,1200934.6262017
-1.1191708,-1.1191708,-0.9932607,779030.3103644
-1.1091708,-1.1091708,-0.9832607,400642.7924486
-1.0991708,-1.0991708,-0.9732607,238051.9459515
-1.0891708,-1.0891708,-0.9632607,164275.9841352
-1.0791708,-1.0791708,-0.9532607,134011.6820107
-1.0691708,-1.0691708,-0.9432607,134999.1917375
-1.0591708,-1.0591708,-0.9332607,167943.7725110
-1.0491708,-1.0491708,-0.9232607,245219.8449858
-1.0391708,-1.0391708,-0.9132607,416139.8589649
-1.0291708,-1.0291708,-0.9032607,814152.0896612
-1.0191708,-1.0191708,-0.8932607,1234989.5058208
-1.0091708,-1.0091708,-0.8832607,1582846.4775643
-0.9991708,-0.9991708,-0.8732607,2172940.4003132
-0.9891708,-0.9891708,-0.8632607,2641437.1559467
-0.9791708,-0.9791708,-0.8532607,3563515.9946686
-0.9691708,-0.9691708,-0.8432607,4323977.8583234
-0.9591708,-0.9591708,-0.8332607,5803772.9642931
-0.9491708,-0.9491708,-0.8232607,6552434.9711039
-0.9391708,-0.9391708,-0.8132607,5103593.1971303
-0.9291708,-0.9291708,-0.8032607,3644013.7552410
