# r[nm],ssd(r)[nm]
-1.3491708,-1.3491708
-1.3441708,-1.3441708
-1.3391708,-1.3391708
-1.3341708,-1.3341708
-1.3291708,-1.3291708
-1.3241708,-1.3241708
-1.3191708,-1.3191708
-1.3141708,-1.3141708
-1.3091708,-1.3091708
-1.3041708,-1.3041708
-1.2991708,-1.2991708
-1.2941708,-1.2941708
-1.2891708,-1.2891708
-1.2841708,-1.2841708
-1.2791708,-1.2791708
-1.2741708,-1.2741708
-1.2691708,-1.2691708
-1.2641708,-1.2641708
-1.2591708,-1.2591708
-1.2541708,-1.2541708
-1.2491708,-1.2491708
-1.2441708,-1.2441708
-1.2391708,-1.2391708
-1.2341708,-1.2341708
-1.2291708,-1.2291708
-1.2241708,-1.2241708
-1.2191708,-1.2191708
-1.2141708,-1.2141708
-1.2091708,-1.2091708
-1.2041708,-1.2041708
-1.1991708,-1.1991708
-1.1941708,-1.1941708
-1.1891708,-1.1891708
-1.1841708,-1.1841708
-1.1791708,-1.1791708
-1.1741708,-1.1741708
-1.1691708,-1.1691708
-1.1641708,-1.1641708
-1.1591708,-1.1591708
-1.1541708,-1.1541708
-1.1491708,-1.1491708
-1.1441708,-1.1441708
-1.1391708,-1.1391708
-1.1341708,-1.1341708
-1.1291708,-1.1291708
-1.1241708,-1.1241708
-1.1191708,-1.1191708
-1.1141708,-1.1141708
-1.1091708,-1.1091708
-1.1041708,-1.1041708
-1.0991708,-1.0991708
-1.0941708,-1.0941708
-1.0891708,-1.0891708
-1.0841708,-1.0841708
-1.0791708,-1.0791708
-1.0741708,-1.0741708
-1.0691708,-1.0691708
-1.0641708,-1.0641708
-1.0591708,-1.0591708
-1.0541708,-1.0541708
-1.0491708,-1.0491708
-1.0441708,-1.0441708
-1.0391708,-1.0391708
-1.0341708,-1.0341708
-1.0291708,-1.0291708
-1.0241708,-1.0241708
-1.0191708,-1.0191708
-1.0141708,-1.0141708
-1.0091708,-1.0091708
-1.0041708,-1.0041708
-0.9991708,-0.9991708
-0.9941708,-0.9941708
-0.9891708,-0.9891708
-0.9841708,-0.9841708
-0.9791708,-0.9791708
-0.9741708,-0.9741708
-0.9691708,-0.9691708
-0.9641708,-0.9641708
-0.9591708,-0.9591708
-0.9541708,-0.9541708
-0.9491708,-0.9491708
-0.9441708,-0.9441708
-0.9391708,-0.9391708
-0.9341708,-0.9341708
-0.9291708,-0.9291708
-0.9241708,-0.9241708
-0.9191708,-0.9191708
-0.9141708,-0.9141708
-0.9091708,-0.9091708
-0.9041708,-0.9041708
-0.8991708,-0.8991708
-0.8941708,-0.8941708
-0.8891708,-0.8891708
-0.8841708,-0.8841708
-0.8791708,-0.8791708
-0.8741708,-0.8741708
-0.8691708,-0.8691708
-0.8641708,-0.8641708
-0.8591708,-0.8591708
-0.8541708,-0.8541708
-0.8491708,-0.8491708
-0.8441708,-0.8441708
-0.8391708,-0.8391708
-0.8341708,-0.8341708
-0.8291708,-0.8291708
-0.8241708,-0.8241708
-0.8191708,-0.8191708
-0.8141708,-0.8141708
-0.8091708,-0.8091708
-0.8041708,-0.8041708
-0.7991708,-0.7991708
-0.7941708,-0.7941708
-0.7891708,-0.7891708
-0.7841708,-0.7841708
-0.7791708,-0.7791708
-0.7741708,-0.7741708
-0.7691708,-0.7691708
-0.7641708,-0.7641708
-0.7591708,-0.7591708
-0.7541708,-0.7541708
-0.7491708,-0.7491708
-0.7441708,-0.7441708
-0.7391708,-0.7391708
-0.7341708,-0.7341708
-0.7291708,-0.7291708
-0.7241708,-0.7241708
-0.7191708,-0.7191708
-0.7141708,-0.7141708
-0.7091708,-0.7091708
-0.7041708,-0.7041708
-0.6991708,-0.6991708
-0.6941708,-0.6941708
-0.6891708,-0.6891708
-0.6841708,-0.6841708
-0.6791708,-0.6791708
-0.6741708,-0.6741708
-0.6691708,-0.6691708
-0.6641708,-0.6641708
-0.6591708,-0.6591708
-0.6541708,-0.6541708
-0.6491708,-0.6491708
-0.6441708,-0.6441708
-0.6391708,-0.6391708
-0.6341708,-0.6341708
-0.6291708,-0.6291708
-0.6241708,-0.6241708
-0.6191708,-0.6191708
-0.6141708,-0.6141708
-0.6091708,-0.6091708
-0.6041708,-0.6041708
-0.5991708,-0.5991708
-0.5941708,-0.5941708
-0.5891708,-0.5891708
-0.5841708,-0.5841708
-0.5791708,-0.5791708
-0.5741708,-0.5741708
-0.5691708,-0.5691708
-0.5641708,-0.5641708
-0.5591708,-0.5591708
-0.5541708,-0.5541708
-0.5491708,-0.5491708
-0.5441708,-0.5441708
-0.5391708,-0.5391708
-0.5341708,-0.5341708
-0.5291708,-0.5291708
-0.5241708,-0.5241708
-0.5191708,-0.5191708
-0.5141708,-0.5141708
-0.5091708,-0.5091708
-0.5041708,-0.5041708
-0.4991708,-0.4991708
-0.4941708,-0.4941708
-0.4891708,-0.4891708
-0.4841708,-0.4841708
-0.4791708,-0.4791708
-0.4741708,-0.4741708
-0.4691708,-0.4691708
-0.4641708,-0.4641708
-0.4591708,-0.4591708
-0.4541708,-0.4541708
-0.4491708,-0.4491708
-0.4441708,-0.4441708
-0.4391708,-0.4391708
-0.4341708,-0.4341708
-0.4291708,-0.4291708
-0.4241708,-0.4241708
-0.4191708,-0.4191708
-0.4141708,-0.4141708
-0.4091708,-0.4091708
-0.4041708,-0.4041708
-0.3991708,-0.3991708
-0.3941708,-0.3941708
-0.3891708,-0.3891708
-0.3841708,-0.3841708
-0.3791708,-0.3791708
-0.3741708,-0.3741708
-0.3691708,-0.3691708
-0.3641708,-0.3641708
-0.3591708,-0.3591708
-0.3541708,-0.3541708
-0.3491708,-0.3491708
-0.3441708,-0.3441708
-0.3391708,-0.3391708
-0.3341708,-0.3341708
-0.3291708,-0.3291708
-0.3241708,-0.3241708
-0.3191708,-0.3191708
-0.3141708,-0.3141708
-0.3091708,-0.3091708
-0.3041708,-0.3041708
-0.2991708,-0.2991708
-0.2941708,-0.2941708
-0.2891708,-0.2891708
-0.2841708,-0.2841708
-0.2791708,-0.2791708
-0.2741708,-0.2741708
-0.2691708,-0.2691708
-0.2641708,-0.2641708
-0.2591708,-0.2591708
-0.2541708,-0.2541708
-0.2491708,-0.2491708
-0.2441708,-0.2441708
-0.2391708,-0.2391708
-0.2341708,-0.2341708
-0.2291708,-0.2291708
-0.2241708,-0.2241708
-0.2191708,-0.2191708
-0.2141708,-0.2141708
-0.2091708,-0.2091708
-0.2041708,-0.2041708
-0.1991708,-0.1991708
-0.1941708,-0.1941708
-0.1891708,-0.1891708
-0.1841708,-0.1841708
